phase,scenario,fps,latency_ms,raw_messages,filtered_messages,decision_messages,priority_score
C1,S3_multi_person,11.79,84.84,0,0,0,0.0
C1,S3_multi_person,11.8,84.76,0,0,0,0.0
C2,S3_multi_person,11.76,85.08,5611,234,0,0.0
C2,S3_multi_person,11.96,83.67,5611,233,0,0.0
C2,S3_multi_person,11.96,83.67,5611,232,0,0.0
C3,S3_multi_person,11.91,84.0,5611,233,91,0.673
C3,S3_multi_person,11.89,84.13,5611,233,91,0.673
C3,S3_multi_person,11.83,84.56,5611,233,91,0.673
C1,S4_walking_real,12.01,83.33,0,0,0,0.0
C1,S4_walking_real,11.81,84.74,0,0,0,0.0
C2,S4_walking_real,11.8,84.79,1977,312,0,0.0
C2,S4_walking_real,11.9,84.1,1977,312,0,0.0
C2,S4_walking_real,12.0,83.37,1977,312,0,0.0
C3,S4_walking_real,11.98,83.49,1977,312,38,0.626
C3,S4_walking_real,11.94,83.8,1977,312,38,0.626
C3,S4_walking_real,11.98,83.5,1977,312,38,0.626
C3,S4_walking_real_stabilized,11.82,84.68,1977,312,38,0.626
