timestamp,phase,scenario,run_id,frame,fps_instant,latency_ms,cpu_percent,detections_count,raw_messages,filtered_messages,decision_messages,mean_priority_score,final_messages,raw_decision_messages
1779518616.27,C1,P1_dynamic_multi_person_C1,1,0,2.14,467.83,9.6,10,0,0,0,0,,0
1779518616.378,C1,P1_dynamic_multi_person_C1,1,1,10.63,94.06,62.8,10,0,0,0,0,,0
1779518616.472,C1,P1_dynamic_multi_person_C1,1,2,12.24,81.72,61.8,10,0,0,0,0,,0
1779518616.56,C1,P1_dynamic_multi_person_C1,1,3,13.82,72.37,70.3,8,0,0,0,0,,0
1779518616.669,C1,P1_dynamic_multi_person_C1,1,4,10.66,93.84,69.0,8,0,0,0,0,,0
1779518616.767,C1,P1_dynamic_multi_person_C1,1,5,11.53,86.75,63.2,7,0,0,0,0,,0
1779518616.855,C1,P1_dynamic_multi_person_C1,1,6,13.72,72.89,66.7,9,0,0,0,0,,0
1779518616.948,C1,P1_dynamic_multi_person_C1,1,7,12.42,80.49,64.9,9,0,0,0,0,,0
1779518617.033,C1,P1_dynamic_multi_person_C1,1,8,13.52,73.95,72.7,9,0,0,0,0,,0
1779518617.13,C1,P1_dynamic_multi_person_C1,1,9,12.45,80.31,65.8,8,0,0,0,0,,0
1779518617.221,C1,P1_dynamic_multi_person_C1,1,10,13.46,74.29,63.9,8,0,0,0,0,,0
1779518617.319,C1,P1_dynamic_multi_person_C1,1,11,11.97,83.54,64.1,13,0,0,0,0,,0
1779518617.403,C1,P1_dynamic_multi_person_C1,1,12,13.62,73.41,71.9,10,0,0,0,0,,0
1779518617.492,C1,P1_dynamic_multi_person_C1,1,13,12.99,77.0,67.6,10,0,0,0,0,,0
1779518617.586,C1,P1_dynamic_multi_person_C1,1,14,12.14,82.39,65.8,11,0,0,0,0,,0
1779518617.675,C1,P1_dynamic_multi_person_C1,1,15,13.16,76.0,72.2,13,0,0,0,0,,0
1779518617.761,C1,P1_dynamic_multi_person_C1,1,16,13.56,73.75,72.7,9,0,0,0,0,,0
1779518617.846,C1,P1_dynamic_multi_person_C1,1,17,13.64,73.34,74.3,9,0,0,0,0,,0
1779518617.932,C1,P1_dynamic_multi_person_C1,1,18,13.69,73.06,69.7,11,0,0,0,0,,0
1779518618.028,C1,P1_dynamic_multi_person_C1,1,19,11.87,84.21,62.5,10,0,0,0,0,,0
1779518618.113,C1,P1_dynamic_multi_person_C1,1,20,13.51,74.0,73.5,12,0,0,0,0,,0
1779518618.199,C1,P1_dynamic_multi_person_C1,1,21,13.36,74.87,75.7,12,0,0,0,0,,0
1779518618.284,C1,P1_dynamic_multi_person_C1,1,22,13.53,73.88,72.7,12,0,0,0,0,,0
1779518618.39,C1,P1_dynamic_multi_person_C1,1,23,11.04,90.59,57.5,9,0,0,0,0,,0
1779518618.482,C1,P1_dynamic_multi_person_C1,1,24,12.34,81.04,70.3,12,0,0,0,0,,0
1779518618.594,C1,P1_dynamic_multi_person_C1,1,25,9.93,100.74,50.0,13,0,0,0,0,,0
1779518618.699,C1,P1_dynamic_multi_person_C1,1,26,10.69,93.53,48.6,11,0,0,0,0,,0
1779518618.788,C1,P1_dynamic_multi_person_C1,1,27,13.79,72.51,65.7,10,0,0,0,0,,0
1779518618.873,C1,P1_dynamic_multi_person_C1,1,28,13.4,74.64,75.0,8,0,0,0,0,,0
1779518618.966,C1,P1_dynamic_multi_person_C1,1,29,13.34,74.97,63.9,7,0,0,0,0,,0
1779518619.07,C1,P1_dynamic_multi_person_C1,1,30,12.17,82.16,52.6,9,0,0,0,0,,0
1779518619.159,C1,P1_dynamic_multi_person_C1,1,31,13.55,73.8,67.6,6,0,0,0,0,,0
1779518619.25,C1,P1_dynamic_multi_person_C1,1,32,13.18,75.89,72.2,8,0,0,0,0,,0
1779518619.337,C1,P1_dynamic_multi_person_C1,1,33,13.51,74.0,70.6,10,0,0,0,0,,0
1779518619.422,C1,P1_dynamic_multi_person_C1,1,34,13.61,73.45,68.6,9,0,0,0,0,,0
1779518619.507,C1,P1_dynamic_multi_person_C1,1,35,13.64,73.29,72.7,7,0,0,0,0,,0
1779518619.592,C1,P1_dynamic_multi_person_C1,1,36,13.54,73.83,72.7,10,0,0,0,0,,0
1779518619.678,C1,P1_dynamic_multi_person_C1,1,37,13.45,74.36,74.3,9,0,0,0,0,,0
1779518619.763,C1,P1_dynamic_multi_person_C1,1,38,13.66,73.18,70.6,9,0,0,0,0,,0
1779518619.847,C1,P1_dynamic_multi_person_C1,1,39,13.65,73.25,72.7,10,0,0,0,0,,0
1779518619.933,C1,P1_dynamic_multi_person_C1,1,40,13.47,74.23,71.9,9,0,0,0,0,,0
1779518620.018,C1,P1_dynamic_multi_person_C1,1,41,13.64,73.29,74.3,5,0,0,0,0,,0
1779518620.102,C1,P1_dynamic_multi_person_C1,1,42,13.71,72.95,69.7,7,0,0,0,0,,0
1779518620.187,C1,P1_dynamic_multi_person_C1,1,43,13.68,73.09,66.7,7,0,0,0,0,,0
1779518620.273,C1,P1_dynamic_multi_person_C1,1,44,13.51,74.0,75.8,6,0,0,0,0,,0
1779518620.359,C1,P1_dynamic_multi_person_C1,1,45,13.43,74.43,71.4,7,0,0,0,0,,0
1779518620.444,C1,P1_dynamic_multi_person_C1,1,46,13.7,73.01,72.7,7,0,0,0,0,,0
1779518620.528,C1,P1_dynamic_multi_person_C1,1,47,13.65,73.28,70.6,5,0,0,0,0,,0
1779518620.615,C1,P1_dynamic_multi_person_C1,1,48,13.65,73.24,73.5,8,0,0,0,0,,0
1779518620.7,C1,P1_dynamic_multi_person_C1,1,49,13.57,73.71,73.5,6,0,0,0,0,,0
1779518620.784,C1,P1_dynamic_multi_person_C1,1,50,13.72,72.87,71.4,4,0,0,0,0,,0
1779518620.869,C1,P1_dynamic_multi_person_C1,1,51,13.71,72.95,72.7,5,0,0,0,0,,0
1779518620.954,C1,P1_dynamic_multi_person_C1,1,52,13.64,73.29,74.3,6,0,0,0,0,,0
1779518621.038,C1,P1_dynamic_multi_person_C1,1,53,13.73,72.84,69.7,4,0,0,0,0,,0
1779518621.122,C1,P1_dynamic_multi_person_C1,1,54,13.7,73.02,71.9,6,0,0,0,0,,0
1779518621.209,C1,P1_dynamic_multi_person_C1,1,55,13.37,74.77,66.7,7,0,0,0,0,,0
1779518621.295,C1,P1_dynamic_multi_person_C1,1,56,13.46,74.28,77.8,6,0,0,0,0,,0
1779518621.38,C1,P1_dynamic_multi_person_C1,1,57,13.5,74.05,72.7,8,0,0,0,0,,0
1779518621.467,C1,P1_dynamic_multi_person_C1,1,58,13.7,72.99,64.7,6,0,0,0,0,,0
1779518621.552,C1,P1_dynamic_multi_person_C1,1,59,13.59,73.61,72.7,8,0,0,0,0,,0
1779518621.659,C1,P1_dynamic_multi_person_C1,1,60,10.92,91.61,70.5,5,0,0,0,0,,0
1779518621.744,C1,P1_dynamic_multi_person_C1,1,61,13.51,74.04,69.7,9,0,0,0,0,,0
1779518621.829,C1,P1_dynamic_multi_person_C1,1,62,13.63,73.35,71.4,7,0,0,0,0,,0
1779518621.914,C1,P1_dynamic_multi_person_C1,1,63,13.57,73.7,70.6,7,0,0,0,0,,0
1779518622.0,C1,P1_dynamic_multi_person_C1,1,64,13.62,73.4,73.5,7,0,0,0,0,,0
1779518622.086,C1,P1_dynamic_multi_person_C1,1,65,13.65,73.28,71.4,6,0,0,0,0,,0
1779518622.17,C1,P1_dynamic_multi_person_C1,1,66,13.7,72.98,69.7,8,0,0,0,0,,0
1779518622.256,C1,P1_dynamic_multi_person_C1,1,67,13.34,74.96,71.4,7,0,0,0,0,,0
1779518622.342,C1,P1_dynamic_multi_person_C1,1,68,13.53,73.88,75.0,8,0,0,0,0,,0
1779518622.427,C1,P1_dynamic_multi_person_C1,1,69,13.68,73.12,71.9,7,0,0,0,0,,0
1779518622.511,C1,P1_dynamic_multi_person_C1,1,70,13.8,72.48,68.7,6,0,0,0,0,,0
1779518622.595,C1,P1_dynamic_multi_person_C1,1,71,13.74,72.75,68.8,6,0,0,0,0,,0
1779518622.689,C1,P1_dynamic_multi_person_C1,1,72,12.14,82.37,73.0,5,0,0,0,0,,0
1779518622.776,C1,P1_dynamic_multi_person_C1,1,73,13.63,73.36,69.4,8,0,0,0,0,,0
1779518622.86,C1,P1_dynamic_multi_person_C1,1,74,13.74,72.8,72.2,7,0,0,0,0,,0
1779518622.944,C1,P1_dynamic_multi_person_C1,1,75,13.64,73.33,72.7,7,0,0,0,0,,0
1779518623.032,C1,P1_dynamic_multi_person_C1,1,76,13.61,73.48,71.4,7,0,0,0,0,,0
1779518623.117,C1,P1_dynamic_multi_person_C1,1,77,13.6,73.55,75.0,7,0,0,0,0,,0
1779518623.202,C1,P1_dynamic_multi_person_C1,1,78,13.46,74.3,74.3,6,0,0,0,0,,0
1779518623.286,C1,P1_dynamic_multi_person_C1,1,79,13.71,72.94,71.9,7,0,0,0,0,,0
