timestamp,phase,scenario,run_id,frame,fps_instant,latency_ms,cpu_percent,detections_count,raw_messages,filtered_messages,decision_messages,mean_priority_score,final_messages,raw_decision_messages
1779397690.203,C3,P3_static_small_movement,1,0,2.21,451.69,9.3,2,2,2,0,0,,0
1779397690.305,C3,P3_static_small_movement,1,1,11.39,87.83,65.9,2,2,0,0,0,,0
1779397690.405,C3,P3_static_small_movement,1,2,11.84,84.44,63.2,2,2,0,0,0,,0
1779397690.491,C3,P3_static_small_movement,1,3,14.02,71.3,68.6,2,2,0,0,0,,0
1779397690.591,C3,P3_static_small_movement,1,4,11.4,87.7,75.0,2,2,0,0,0,,0
1779397690.696,C3,P3_static_small_movement,1,5,10.77,92.87,56.4,2,2,0,0,0,,0
1779397690.787,C3,P3_static_small_movement,1,6,12.67,78.93,61.8,2,2,0,0,0,,0
1779397690.869,C3,P3_static_small_movement,1,7,14.04,71.21,72.7,2,2,0,0,0,,0
1779397690.972,C3,P3_static_small_movement,1,8,11.75,85.07,59.0,1,1,0,0,0,,0
1779397691.063,C3,P3_static_small_movement,1,9,12.6,79.35,60.6,2,2,0,0,0,,0
1779397691.159,C3,P3_static_small_movement,1,10,11.81,84.67,54.5,2,2,0,0,0,,0
1779397691.264,C3,P3_static_small_movement,1,11,10.64,94.02,56.4,1,1,0,0,0,,0
1779397691.351,C3,P3_static_small_movement,1,12,13.33,75.02,78.9,2,2,0,0,0,,0
1779397691.449,C3,P3_static_small_movement,1,13,13.1,76.32,62.5,1,1,0,0,0,,0
1779397691.532,C3,P3_static_small_movement,1,14,13.75,72.75,68.8,1,1,0,0,0,,0
1779397691.63,C3,P3_static_small_movement,1,15,12.4,80.61,65.8,1,1,0,0,0,,0
1779397691.714,C3,P3_static_small_movement,1,16,13.91,71.89,72.7,1,1,0,0,0,,0
1779397691.799,C3,P3_static_small_movement,1,17,13.81,72.42,68.7,1,1,0,0,0,,0
1779397691.881,C3,P3_static_small_movement,1,18,14.18,70.54,69.7,1,1,0,0,0,,0
1779397691.971,C3,P3_static_small_movement,1,19,13.44,74.41,64.9,0,0,0,0,0,,0
1779397692.054,C3,P3_static_small_movement,1,20,13.95,71.68,75.0,0,0,0,0,0,,0
1779397692.141,C3,P3_static_small_movement,1,21,13.29,75.23,68.6,0,0,0,0,0,,0
1779397692.222,C3,P3_static_small_movement,1,22,14.28,70.0,69.7,0,0,0,0,0,,0
1779397692.309,C3,P3_static_small_movement,1,23,13.27,75.37,64.7,0,0,0,0,0,,0
1779397692.393,C3,P3_static_small_movement,1,24,13.87,72.12,78.1,0,0,0,0,0,,0
1779397692.475,C3,P3_static_small_movement,1,25,14.11,70.89,69.7,0,0,0,0,0,,0
1779397692.567,C3,P3_static_small_movement,1,26,12.47,80.18,60.0,0,0,0,0,0,,0
1779397692.651,C3,P3_static_small_movement,1,27,14.01,71.4,66.7,0,0,0,0,0,,0
1779397692.735,C3,P3_static_small_movement,1,28,13.93,71.77,75.0,0,0,0,0,0,,0
1779397692.817,C3,P3_static_small_movement,1,29,14.14,70.73,71.0,0,0,0,0,0,,0
1779397692.899,C3,P3_static_small_movement,1,30,14.28,70.03,71.4,0,0,0,0,0,,0
1779397692.982,C3,P3_static_small_movement,1,31,14.14,70.71,68.7,0,0,0,0,0,,0
1779397693.066,C3,P3_static_small_movement,1,32,13.88,72.04,79.4,0,0,0,0,0,,0
1779397693.148,C3,P3_static_small_movement,1,33,14.07,71.07,74.3,0,0,0,0,0,,0
1779397693.23,C3,P3_static_small_movement,1,34,14.18,70.54,69.7,1,1,1,0,0,,0
1779397693.312,C3,P3_static_small_movement,1,35,14.2,70.42,74.3,0,0,0,0,0,,0
1779397693.395,C3,P3_static_small_movement,1,36,13.77,72.63,77.4,1,1,0,0,0,,0
1779397693.478,C3,P3_static_small_movement,1,37,13.93,71.77,70.0,1,1,0,0,0,,0
1779397693.56,C3,P3_static_small_movement,1,38,14.08,71.03,69.7,1,1,1,0,0,,0
1779397693.646,C3,P3_static_small_movement,1,39,13.4,74.65,70.6,1,1,0,0,0,,0
1779397693.73,C3,P3_static_small_movement,1,40,13.75,72.7,78.1,0,0,0,0,0,,0
1779397693.814,C3,P3_static_small_movement,1,41,13.85,72.17,74.3,2,2,0,0,0,,0
1779397693.896,C3,P3_static_small_movement,1,42,14.02,71.3,72.2,2,2,0,0,0,,0
1779397693.979,C3,P3_static_small_movement,1,43,13.91,71.87,71.9,2,2,0,0,0,,0
1779397694.063,C3,P3_static_small_movement,1,44,13.74,72.77,76.5,2,2,0,0,0,,0
1779397694.146,C3,P3_static_small_movement,1,45,13.88,72.04,72.7,2,2,0,0,0,,0
1779397694.228,C3,P3_static_small_movement,1,46,14.08,71.04,73.5,1,1,0,0,0,,0
1779397694.311,C3,P3_static_small_movement,1,47,13.97,71.56,73.5,2,2,0,0,0,,0
1779397694.395,C3,P3_static_small_movement,1,48,13.82,72.36,79.4,1,1,0,0,0,,0
1779397694.478,C3,P3_static_small_movement,1,49,13.92,71.82,72.7,1,1,1,0,0,,0
1779397694.56,C3,P3_static_small_movement,1,50,14.09,70.98,73.5,1,1,0,0,0,,0
1779397694.645,C3,P3_static_small_movement,1,51,13.61,73.48,72.7,1,1,0,0,0,,0
1779397694.728,C3,P3_static_small_movement,1,52,13.81,72.43,75.8,2,2,0,0,0,,0
1779397694.81,C3,P3_static_small_movement,1,53,14.07,71.07,71.9,0,0,0,0,0,,0
1779397694.893,C3,P3_static_small_movement,1,54,13.92,71.83,73.5,1,1,0,0,0,,0
1779397694.977,C3,P3_static_small_movement,1,55,13.85,72.21,71.4,1,1,0,0,0,,0
1779397695.061,C3,P3_static_small_movement,1,56,13.68,73.09,76.5,1,1,1,1,0.567,car approaching on your right,1
1779397695.15,C3,P3_static_small_movement,1,57,13.97,71.6,67.6,1,1,0,0,0,,0
1779397695.233,C3,P3_static_small_movement,1,58,14.01,71.37,73.5,2,2,1,0,0,,1
1779397695.315,C3,P3_static_small_movement,1,59,14.0,71.4,70.0,1,1,0,0,0,,0
1779397695.4,C3,P3_static_small_movement,1,60,13.63,73.37,73.5,1,1,0,0,0,,0
1779397695.483,C3,P3_static_small_movement,1,61,13.97,71.58,72.7,2,2,1,0,0,,0
1779397695.58,C3,P3_static_small_movement,1,62,11.63,86.01,73.2,1,1,1,0,0,,1
1779397695.665,C3,P3_static_small_movement,1,63,13.53,73.91,75.0,1,1,0,0,0,,0
1779397695.748,C3,P3_static_small_movement,1,64,13.82,72.38,75.8,1,1,0,0,0,,0
1779397695.831,C3,P3_static_small_movement,1,65,13.94,71.74,73.3,1,1,0,0,0,,0
1779397695.913,C3,P3_static_small_movement,1,66,14.09,70.95,71.4,0,0,0,0,0,,0
1779397695.996,C3,P3_static_small_movement,1,67,13.99,71.5,73.5,1,1,0,0,0,,0
1779397696.079,C3,P3_static_small_movement,1,68,13.91,71.89,71.0,2,2,0,0,0,,0
1779397696.161,C3,P3_static_small_movement,1,69,13.95,71.7,74.2,1,1,0,0,0,,0
1779397696.244,C3,P3_static_small_movement,1,70,13.96,71.61,71.4,1,1,0,0,0,,0
1779397696.327,C3,P3_static_small_movement,1,71,13.98,71.53,71.9,1,1,0,0,0,,0
1779397696.411,C3,P3_static_small_movement,1,72,13.78,72.59,73.3,1,1,0,0,0,,0
1779397696.493,C3,P3_static_small_movement,1,73,13.94,71.72,73.5,1,1,0,0,0,,0
1779397696.585,C3,P3_static_small_movement,1,74,12.41,80.55,69.2,2,2,0,0,0,,0
1779397696.679,C3,P3_static_small_movement,1,75,12.06,82.93,65.7,1,1,0,0,0,,0
1779397696.763,C3,P3_static_small_movement,1,76,13.82,72.34,71.9,1,1,0,0,0,,0
1779397696.846,C3,P3_static_small_movement,1,77,13.98,71.5,72.7,1,1,0,0,0,,0
1779397696.927,C3,P3_static_small_movement,1,78,14.14,70.72,73.5,1,1,0,0,0,,0
1779397697.01,C3,P3_static_small_movement,1,79,13.91,71.88,71.9,1,1,0,0,0,,0
1779397697.094,C3,P3_static_small_movement,1,80,13.8,72.45,76.5,1,1,0,0,0,,0
1779397697.177,C3,P3_static_small_movement,1,81,13.94,71.71,75.0,1,1,0,0,0,,0
1779397697.26,C3,P3_static_small_movement,1,82,13.93,71.81,70.6,1,1,0,0,0,,0
1779397697.343,C3,P3_static_small_movement,1,83,13.87,72.07,70.0,1,1,0,0,0,,0
1779397697.427,C3,P3_static_small_movement,1,84,13.77,72.62,75.8,1,1,0,0,0,,0
1779397697.51,C3,P3_static_small_movement,1,85,13.97,71.56,71.9,1,1,0,0,0,,0
1779397697.593,C3,P3_static_small_movement,1,86,14.02,71.31,71.4,1,1,0,0,0,,0
1779397697.677,C3,P3_static_small_movement,1,87,14.05,71.17,74.3,1,1,0,0,0,,0
1779397697.761,C3,P3_static_small_movement,1,88,13.78,72.54,75.8,1,1,0,0,0,,0
1779397697.843,C3,P3_static_small_movement,1,89,13.97,71.58,73.5,1,1,0,0,0,,0
1779397697.926,C3,P3_static_small_movement,1,90,14.02,71.33,68.7,1,1,0,0,0,,0
1779397698.009,C3,P3_static_small_movement,1,91,14.02,71.35,75.0,1,1,0,0,0,,0
1779397698.093,C3,P3_static_small_movement,1,92,13.78,72.58,75.8,1,1,0,0,0,,0
1779397698.176,C3,P3_static_small_movement,1,93,13.93,71.78,73.5,1,1,0,0,0,,0
1779397698.259,C3,P3_static_small_movement,1,94,13.98,71.53,71.9,1,1,0,0,0,,0
1779397698.341,C3,P3_static_small_movement,1,95,14.02,71.33,71.9,1,1,0,0,0,,0
1779397698.425,C3,P3_static_small_movement,1,96,13.74,72.8,74.3,1,1,0,0,0,,0
1779397698.508,C3,P3_static_small_movement,1,97,13.94,71.75,72.7,1,1,0,0,0,,0
1779397698.591,C3,P3_static_small_movement,1,98,13.99,71.45,71.0,1,1,0,0,0,,0
1779397698.675,C3,P3_static_small_movement,1,99,13.77,72.63,71.9,1,1,0,0,0,,0
1779397698.758,C3,P3_static_small_movement,1,100,13.81,72.42,75.8,1,1,0,0,0,,0
1779397698.841,C3,P3_static_small_movement,1,101,13.95,71.69,74.3,1,1,0,0,0,,0
1779397698.925,C3,P3_static_small_movement,1,102,13.93,71.8,75.7,1,1,0,0,0,,0
1779397699.008,C3,P3_static_small_movement,1,103,13.98,71.51,71.0,1,1,0,0,0,,0
1779397699.09,C3,P3_static_small_movement,1,104,14.04,71.25,76.5,1,1,0,0,0,,0
1779397699.173,C3,P3_static_small_movement,1,105,14.0,71.42,74.3,1,1,0,0,0,,0
1779397699.254,C3,P3_static_small_movement,1,106,14.19,70.46,68.7,1,1,0,0,0,,0
1779397699.337,C3,P3_static_small_movement,1,107,14.03,71.3,73.5,1,1,0,0,0,,0
1779397699.42,C3,P3_static_small_movement,1,108,13.87,72.08,74.2,1,1,0,0,0,,0
1779397699.502,C3,P3_static_small_movement,1,109,13.99,71.46,71.0,1,1,0,0,0,,0
1779397699.585,C3,P3_static_small_movement,1,110,14.07,71.05,72.7,1,1,0,0,0,,0
1779397699.668,C3,P3_static_small_movement,1,111,13.84,72.23,71.4,1,1,0,0,0,,0
1779397699.751,C3,P3_static_small_movement,1,112,13.93,71.79,75.0,1,1,0,0,0,,0
1779397699.833,C3,P3_static_small_movement,1,113,14.06,71.12,73.5,1,1,0,0,0,,0
1779397699.915,C3,P3_static_small_movement,1,114,14.09,70.96,68.8,1,1,0,0,0,,0
1779397699.997,C3,P3_static_small_movement,1,115,14.07,71.07,71.0,1,1,0,0,0,,0
1779397700.08,C3,P3_static_small_movement,1,116,13.97,71.59,75.0,1,1,0,0,0,,0
1779397700.162,C3,P3_static_small_movement,1,117,14.03,71.29,71.9,1,1,0,0,0,,0
1779397700.245,C3,P3_static_small_movement,1,118,14.11,70.88,73.5,1,1,0,0,0,,0
1779397700.327,C3,P3_static_small_movement,1,119,14.11,70.86,69.7,1,1,0,0,0,,0
1779397700.41,C3,P3_static_small_movement,1,120,13.84,72.24,75.8,1,1,0,0,0,,0
