timestamp,phase,scenario,run_id,frame,fps_instant,latency_ms,cpu_percent,detections_count,raw_messages,filtered_messages,decision_messages,mean_priority_score,final_messages
1779113743.072,C3,S1_static,2,0,7.12,140.46,28.9,1,1,1,1,0.718,Person very close ahead
1779113743.157,C3,S1_static,2,1,12.05,82.98,58.8,1,1,0,0,0,
1779113743.24,C3,S1_static,2,2,12.23,81.8,58.8,1,1,0,0,0,
1779113743.323,C3,S1_static,2,3,12.21,81.89,62.9,1,1,0,0,0,
1779113743.408,C3,S1_static,2,4,11.94,83.72,55.9,1,1,0,0,0,
1779113743.491,C3,S1_static,2,5,12.15,82.31,61.8,1,1,0,0,0,
1779113743.575,C3,S1_static,2,6,12.23,81.74,56.3,1,1,0,0,0,
1779113743.657,C3,S1_static,2,7,12.24,81.67,57.6,1,1,0,0,0,
1779113743.74,C3,S1_static,2,8,12.2,81.94,57.6,1,1,0,0,0,
1779113743.823,C3,S1_static,2,9,12.23,81.74,60.0,1,1,0,0,0,
1779113743.908,C3,S1_static,2,10,12.09,82.71,57.6,1,1,0,0,0,
1779113743.99,C3,S1_static,2,11,12.23,81.77,60.6,1,1,0,0,0,
1779113744.073,C3,S1_static,2,12,12.25,81.65,54.8,1,1,0,0,0,
1779113744.156,C3,S1_static,2,13,12.22,81.85,58.8,1,1,0,0,0,
1779113744.24,C3,S1_static,2,14,12.18,82.07,58.8,1,1,0,0,0,
1779113744.323,C3,S1_static,2,15,12.2,81.95,56.3,1,1,0,0,0,
1779113744.406,C3,S1_static,2,16,12.14,82.4,56.3,1,1,0,0,0,
1779113744.49,C3,S1_static,2,17,12.17,82.18,58.1,1,1,0,0,0,
1779113744.573,C3,S1_static,2,18,12.25,81.62,57.6,1,1,0,0,0,
1779113744.656,C3,S1_static,2,19,12.18,82.11,58.8,1,1,0,0,0,
1779113744.74,C3,S1_static,2,20,12.11,82.59,61.1,1,1,0,0,0,
1779113744.823,C3,S1_static,2,21,12.11,82.55,57.6,1,1,0,0,0,
1779113744.907,C3,S1_static,2,22,12.12,82.53,58.8,1,1,0,0,0,
1779113744.99,C3,S1_static,2,23,12.16,82.25,54.8,1,1,0,0,0,
1779113745.073,C3,S1_static,2,24,12.18,82.09,57.6,1,1,0,0,0,
