timestamp,phase,scenario,run_id,frame,fps_instant,latency_ms,cpu_percent,detections_count,raw_messages,filtered_messages,decision_messages,mean_priority_score,final_messages
1779114695.925,C3,S2_slow_approach,1,0,7.17,139.42,29.0,1,1,1,1,0.742,Person very close ahead
1779114696.01,C3,S2_slow_approach,1,1,11.88,84.15,61.8,1,1,0,0,0,
1779114696.094,C3,S2_slow_approach,1,2,12.16,82.23,54.8,1,1,0,0,0,
1779114696.177,C3,S2_slow_approach,1,3,12.22,81.84,58.8,1,1,0,0,0,
1779114696.26,C3,S2_slow_approach,1,4,12.21,81.89,57.6,1,1,0,0,0,
1779114696.343,C3,S2_slow_approach,1,5,12.23,81.77,60.0,1,1,0,0,0,
1779114696.428,C3,S2_slow_approach,1,6,11.96,83.61,60.0,1,1,0,0,0,
1779114696.512,C3,S2_slow_approach,1,7,12.01,83.27,58.8,1,1,0,0,0,
1779114696.596,C3,S2_slow_approach,1,8,12.16,82.21,60.0,1,1,0,0,0,
1779114696.679,C3,S2_slow_approach,1,9,12.17,82.19,56.7,1,1,0,0,0,
1779114696.763,C3,S2_slow_approach,1,10,12.19,82.02,58.3,1,1,0,0,0,
1779114696.847,C3,S2_slow_approach,1,11,12.09,82.69,60.6,1,1,0,0,0,
1779114696.931,C3,S2_slow_approach,1,12,12.18,82.12,56.3,1,1,0,0,0,
1779114697.014,C3,S2_slow_approach,1,13,12.13,82.46,54.8,2,2,1,0,0,
1779114697.11,C3,S2_slow_approach,1,14,10.68,93.65,56.8,2,2,0,0,0,
1779114697.192,C3,S2_slow_approach,1,15,12.23,81.76,60.6,2,2,0,0,0,
1779114697.276,C3,S2_slow_approach,1,16,12.22,81.8,58.8,2,2,0,0,0,
1779114697.358,C3,S2_slow_approach,1,17,12.23,81.8,56.3,2,2,0,0,0,
1779114697.444,C3,S2_slow_approach,1,18,11.87,84.23,58.8,2,2,0,0,0,
1779114697.527,C3,S2_slow_approach,1,19,12.14,82.35,54.8,2,2,0,0,0,
1779114697.611,C3,S2_slow_approach,1,20,12.22,81.85,56.2,3,3,1,0,0,
1779114697.694,C3,S2_slow_approach,1,21,12.21,81.92,54.8,4,4,1,0,0,
1779114697.777,C3,S2_slow_approach,1,22,12.23,81.77,61.8,4,4,0,0,0,
1779114697.86,C3,S2_slow_approach,1,23,12.16,82.26,60.0,4,4,0,0,0,
1779114697.944,C3,S2_slow_approach,1,24,12.15,82.28,57.6,5,5,1,0,0,
1779114698.027,C3,S2_slow_approach,1,25,12.1,82.65,61.1,3,3,0,0,0,
1779114698.112,C3,S2_slow_approach,1,26,12.08,82.8,58.8,3,3,0,0,0,
1779114698.194,C3,S2_slow_approach,1,27,12.25,81.6,58.1,1,1,0,0,0,
1779114698.277,C3,S2_slow_approach,1,28,12.32,81.18,51.7,1,1,0,0,0,
1779114698.359,C3,S2_slow_approach,1,29,12.32,81.19,57.6,1,1,0,0,0,
1779114698.444,C3,S2_slow_approach,1,30,12.03,83.1,54.8,1,1,0,0,0,
1779114698.526,C3,S2_slow_approach,1,31,12.25,81.63,57.6,1,1,0,0,0,
1779114698.609,C3,S2_slow_approach,1,32,12.28,81.43,54.8,1,1,0,0,0,
1779114698.691,C3,S2_slow_approach,1,33,12.3,81.31,62.9,1,1,0,0,0,
1779114698.774,C3,S2_slow_approach,1,34,12.28,81.41,57.6,1,1,0,0,0,
1779114698.857,C3,S2_slow_approach,1,35,12.23,81.78,53.3,1,1,0,0,0,
1779114698.941,C3,S2_slow_approach,1,36,12.17,82.18,62.2,1,1,0,0,0,
1779114699.024,C3,S2_slow_approach,1,37,12.2,81.98,58.8,1,1,0,0,0,
1779114699.107,C3,S2_slow_approach,1,38,12.24,81.7,57.6,1,1,0,0,0,
1779114699.19,C3,S2_slow_approach,1,39,12.22,81.8,56.7,1,1,0,0,0,
1779114699.273,C3,S2_slow_approach,1,40,12.21,81.87,61.1,1,1,0,0,0,
1779114699.355,C3,S2_slow_approach,1,41,12.25,81.65,58.8,1,1,0,0,0,
1779114699.44,C3,S2_slow_approach,1,42,12.01,83.26,57.6,1,1,0,0,0,
1779114699.524,C3,S2_slow_approach,1,43,12.13,82.45,56.2,1,1,0,0,0,
1779114699.607,C3,S2_slow_approach,1,44,12.18,82.08,57.6,1,1,0,0,0,
1779114699.689,C3,S2_slow_approach,1,45,12.23,81.77,56.7,1,1,0,0,0,
1779114699.773,C3,S2_slow_approach,1,46,12.24,81.68,62.2,1,1,0,0,0,
1779114699.855,C3,S2_slow_approach,1,47,12.24,81.72,56.3,1,1,0,0,0,
1779114699.938,C3,S2_slow_approach,1,48,12.24,81.67,54.8,1,1,0,0,0,
1779114700.021,C3,S2_slow_approach,1,49,12.2,81.95,63.9,1,1,0,0,0,
1779114700.104,C3,S2_slow_approach,1,50,12.19,82.04,58.8,1,1,0,0,0,
1779114700.188,C3,S2_slow_approach,1,51,12.05,83.0,60.0,1,1,0,0,0,
1779114700.272,C3,S2_slow_approach,1,52,12.04,83.05,56.3,1,1,0,0,0,
1779114700.357,C3,S2_slow_approach,1,53,11.99,83.37,60.0,1,1,0,0,0,
1779114700.443,C3,S2_slow_approach,1,54,11.73,85.22,58.8,1,1,0,0,0,
1779114700.528,C3,S2_slow_approach,1,55,11.98,83.48,58.8,1,1,0,0,0,
1779114700.612,C3,S2_slow_approach,1,56,12.02,83.18,58.8,1,1,0,0,0,
1779114700.696,C3,S2_slow_approach,1,57,12.03,83.16,60.0,1,1,0,0,0,
1779114700.781,C3,S2_slow_approach,1,58,12.03,83.1,58.8,1,1,0,0,0,
1779114700.864,C3,S2_slow_approach,1,59,12.06,82.95,58.8,1,1,0,0,0,
1779114700.949,C3,S2_slow_approach,1,60,12.03,83.11,60.0,1,1,0,0,0,
1779114701.033,C3,S2_slow_approach,1,61,12.02,83.22,61.1,1,1,0,0,0,
1779114701.119,C3,S2_slow_approach,1,62,11.95,83.66,56.3,2,2,1,0,0,
1779114701.203,C3,S2_slow_approach,1,63,12.04,83.02,54.8,2,2,0,0,0,
1779114701.287,C3,S2_slow_approach,1,64,12.03,83.11,57.6,2,2,0,0,0,
1779114701.371,C3,S2_slow_approach,1,65,12.06,82.89,58.8,2,2,0,0,0,
1779114701.456,C3,S2_slow_approach,1,66,11.89,84.12,56.3,2,2,0,0,0,
1779114701.54,C3,S2_slow_approach,1,67,12.03,83.09,58.8,2,2,0,0,0,
1779114701.624,C3,S2_slow_approach,1,68,12.05,83.01,56.3,2,2,0,0,0,
1779114701.708,C3,S2_slow_approach,1,69,12.04,83.09,61.1,2,2,0,0,0,
1779114701.793,C3,S2_slow_approach,1,70,12.06,82.94,60.0,2,2,0,0,0,
1779114701.877,C3,S2_slow_approach,1,71,12.09,82.72,61.1,2,2,0,0,0,
1779114701.961,C3,S2_slow_approach,1,72,12.06,82.93,62.2,2,2,0,0,0,
1779114702.045,C3,S2_slow_approach,1,73,11.98,83.47,62.2,2,2,0,0,0,
1779114702.138,C3,S2_slow_approach,1,74,11.01,90.81,62.9,2,2,0,0,0,
1779114702.222,C3,S2_slow_approach,1,75,12.08,82.79,56.3,2,2,0,0,0,
1779114702.305,C3,S2_slow_approach,1,76,12.19,82.0,58.8,2,2,0,0,0,
1779114702.389,C3,S2_slow_approach,1,77,12.04,83.03,56.3,2,2,0,0,0,
1779114702.478,C3,S2_slow_approach,1,78,11.57,86.4,57.1,2,2,0,0,0,
1779114702.562,C3,S2_slow_approach,1,79,11.99,83.39,58.8,2,2,0,0,0,
1779114702.646,C3,S2_slow_approach,1,80,12.03,83.12,54.8,1,1,0,0,0,
1779114702.73,C3,S2_slow_approach,1,81,12.02,83.19,56.3,1,1,0,0,0,
1779114702.815,C3,S2_slow_approach,1,82,12.0,83.31,57.6,1,1,0,0,0,
1779114702.899,C3,S2_slow_approach,1,83,12.02,83.21,56.3,1,1,0,0,0,
1779114702.984,C3,S2_slow_approach,1,84,12.0,83.36,56.3,1,1,0,0,0,
1779114703.068,C3,S2_slow_approach,1,85,11.98,83.5,60.6,1,1,0,0,0,
1779114703.164,C3,S2_slow_approach,1,86,10.63,94.07,57.5,1,1,0,0,0,
1779114703.248,C3,S2_slow_approach,1,87,12.04,83.05,60.0,1,1,0,0,0,
1779114703.332,C3,S2_slow_approach,1,88,12.01,83.25,57.6,1,1,0,0,0,
1779114703.418,C3,S2_slow_approach,1,89,11.78,84.88,62.2,1,1,0,0,0,
1779114703.503,C3,S2_slow_approach,1,90,11.98,83.47,56.3,1,1,0,0,0,
1779114703.587,C3,S2_slow_approach,1,91,12.01,83.26,58.8,1,1,0,0,0,
1779114703.672,C3,S2_slow_approach,1,92,11.95,83.65,54.8,1,1,0,0,0,
1779114703.756,C3,S2_slow_approach,1,93,12.02,83.22,60.6,1,1,0,0,0,
1779114703.84,C3,S2_slow_approach,1,94,12.0,83.36,60.0,1,1,0,0,0,
1779114703.924,C3,S2_slow_approach,1,95,12.02,83.18,60.0,1,1,0,0,0,
1779114704.008,C3,S2_slow_approach,1,96,12.02,83.19,60.0,1,1,0,0,0,
1779114704.093,C3,S2_slow_approach,1,97,12.0,83.37,62.2,1,1,0,0,0,
1779114704.177,C3,S2_slow_approach,1,98,12.03,83.15,62.2,1,1,0,0,0,
1779114704.261,C3,S2_slow_approach,1,99,12.03,83.13,61.1,1,1,0,0,0,
1779114704.346,C3,S2_slow_approach,1,100,12.02,83.16,60.0,1,1,0,0,0,
1779114704.437,C3,S2_slow_approach,1,101,11.01,90.85,59.5,1,1,0,0,0,
1779114704.52,C3,S2_slow_approach,1,102,12.17,82.2,60.0,1,1,0,0,0,
1779114704.604,C3,S2_slow_approach,1,103,12.09,82.69,58.8,1,1,0,0,0,
1779114704.688,C3,S2_slow_approach,1,104,12.04,83.03,58.8,1,1,0,0,0,
1779114704.772,C3,S2_slow_approach,1,105,12.06,82.93,57.6,1,1,0,0,0,
1779114704.856,C3,S2_slow_approach,1,106,12.07,82.85,58.8,1,1,0,0,0,
1779114704.94,C3,S2_slow_approach,1,107,12.04,83.05,58.8,1,1,0,0,0,
1779114705.024,C3,S2_slow_approach,1,108,12.03,83.12,58.8,1,1,0,0,0,
1779114705.108,C3,S2_slow_approach,1,109,12.07,82.85,59.4,1,1,0,0,0,
1779114705.192,C3,S2_slow_approach,1,110,12.09,82.71,58.8,1,1,0,0,0,
1779114705.276,C3,S2_slow_approach,1,111,12.06,82.93,58.8,1,1,0,0,0,
1779114705.36,C3,S2_slow_approach,1,112,12.06,82.91,60.0,1,1,1,1,0.688,Person very close ahead
1779114705.445,C3,S2_slow_approach,1,113,11.85,84.35,57.6,1,1,0,0,0,
1779114705.53,C3,S2_slow_approach,1,114,11.94,83.74,62.2,1,1,0,0,0,
1779114705.613,C3,S2_slow_approach,1,115,12.09,82.73,57.6,1,1,0,0,0,
1779114705.699,C3,S2_slow_approach,1,116,11.88,84.19,57.6,1,1,0,0,0,
1779114705.783,C3,S2_slow_approach,1,117,12.03,83.13,56.3,1,1,1,1,0.674,Person very close on your left
1779114705.867,C3,S2_slow_approach,1,118,12.06,82.91,56.3,1,1,0,0,0,
1779114705.951,C3,S2_slow_approach,1,119,12.05,82.96,58.8,1,1,0,0,0,
1779114706.035,C3,S2_slow_approach,1,120,12.04,83.07,56.3,1,1,0,0,0,
1779114706.12,C3,S2_slow_approach,1,121,11.96,83.64,61.8,1,1,0,0,0,
1779114706.204,C3,S2_slow_approach,1,122,12.06,82.93,57.6,1,1,0,0,0,
1779114706.287,C3,S2_slow_approach,1,123,12.08,82.77,58.8,1,1,0,0,0,
1779114706.371,C3,S2_slow_approach,1,124,12.09,82.71,56.2,1,1,0,0,0,
1779114706.457,C3,S2_slow_approach,1,125,11.86,84.31,57.6,1,1,0,0,0,
1779114706.541,C3,S2_slow_approach,1,126,12.04,83.08,62.2,1,1,0,0,0,
1779114706.623,C3,S2_slow_approach,1,127,12.22,81.81,54.8,1,1,0,0,0,
1779114706.708,C3,S2_slow_approach,1,128,12.05,82.96,57.6,1,1,0,0,0,
1779114706.792,C3,S2_slow_approach,1,129,11.95,83.68,58.8,1,1,0,0,0,
1779114706.876,C3,S2_slow_approach,1,130,12.02,83.18,60.0,1,1,0,0,0,
1779114706.96,C3,S2_slow_approach,1,131,12.05,83.01,61.8,1,1,0,0,0,
1779114707.045,C3,S2_slow_approach,1,132,11.98,83.45,59.5,1,1,0,0,0,
1779114707.139,C3,S2_slow_approach,1,133,10.71,93.36,65.0,2,2,1,0,0,
1779114707.224,C3,S2_slow_approach,1,134,11.95,83.69,56.3,1,1,0,0,0,
1779114707.308,C3,S2_slow_approach,1,135,12.02,83.21,61.8,1,1,0,0,0,
1779114707.392,C3,S2_slow_approach,1,136,12.06,82.91,58.8,1,1,0,0,0,
1779114707.477,C3,S2_slow_approach,1,137,11.87,84.27,62.2,1,1,0,0,0,
1779114707.562,C3,S2_slow_approach,1,138,11.99,83.4,58.8,1,1,0,0,0,
1779114707.646,C3,S2_slow_approach,1,139,12.04,83.07,58.8,1,1,0,0,0,
1779114707.73,C3,S2_slow_approach,1,140,12.03,83.13,57.6,1,1,0,0,0,
1779114707.814,C3,S2_slow_approach,1,141,12.05,82.96,53.3,1,1,0,0,0,
1779114707.898,C3,S2_slow_approach,1,142,11.99,83.39,56.3,1,1,0,0,0,
1779114707.982,C3,S2_slow_approach,1,143,12.01,83.27,57.6,1,1,0,0,0,
1779114708.067,C3,S2_slow_approach,1,144,11.93,83.79,58.8,2,2,0,0,0,
1779114708.154,C3,S2_slow_approach,1,145,11.7,85.44,57.6,2,2,0,0,0,
1779114708.238,C3,S2_slow_approach,1,146,12.02,83.22,58.8,2,2,0,0,0,
1779114708.322,C3,S2_slow_approach,1,147,12.04,83.03,56.7,1,1,0,0,0,
1779114708.408,C3,S2_slow_approach,1,148,11.84,84.46,57.6,1,1,0,0,0,
1779114708.493,C3,S2_slow_approach,1,149,11.87,84.27,60.0,1,1,0,0,0,
1779114708.577,C3,S2_slow_approach,1,150,12.03,83.14,61.1,1,1,0,0,0,
1779114708.662,C3,S2_slow_approach,1,151,11.99,83.38,60.0,1,1,0,0,0,
1779114708.746,C3,S2_slow_approach,1,152,11.99,83.4,57.6,1,1,0,0,0,
1779114708.83,C3,S2_slow_approach,1,153,12.03,83.13,53.3,2,2,0,0,0,
1779114708.914,C3,S2_slow_approach,1,154,12.04,83.02,54.8,1,1,0,0,0,
1779114708.998,C3,S2_slow_approach,1,155,12.1,82.63,58.8,1,1,0,0,0,
1779114709.082,C3,S2_slow_approach,1,156,12.07,82.87,56.3,1,1,0,0,0,
1779114709.165,C3,S2_slow_approach,1,157,12.14,82.38,56.3,1,1,0,0,0,
1779114709.25,C3,S2_slow_approach,1,158,12.04,83.04,62.9,1,1,0,0,0,
1779114709.333,C3,S2_slow_approach,1,159,12.16,82.23,61.1,1,1,0,0,0,
1779114709.418,C3,S2_slow_approach,1,160,11.95,83.68,62.2,1,1,0,0,0,
