timestamp,phase,scenario,run_id,frame,fps_instant,latency_ms,cpu_percent,detections_count,raw_messages,filtered_messages,decision_messages,mean_priority_score,final_messages
1779116256.343,C3,S3_multi_person,2,0,6.99,142.98,28.6,1,1,1,1,0.63,Person very close on your right
1779116256.431,C3,S3_multi_person,2,1,11.66,85.78,57.1,1,1,0,0,0,
1779116256.517,C3,S3_multi_person,2,2,11.76,85.04,56.3,2,2,1,1,0.656,Person very close on your left
1779116256.601,C3,S3_multi_person,2,3,12.1,82.64,61.1,2,2,0,0,0,
1779116256.684,C3,S3_multi_person,2,4,12.14,82.4,61.1,1,1,0,0,0,
1779116256.768,C3,S3_multi_person,2,5,12.1,82.61,60.0,1,1,0,0,0,
1779116256.852,C3,S3_multi_person,2,6,12.08,82.78,60.0,1,1,0,0,0,
1779116256.936,C3,S3_multi_person,2,7,12.05,82.97,60.0,1,1,0,0,0,
1779116257.021,C3,S3_multi_person,2,8,12.0,83.32,60.0,1,1,0,0,0,
1779116257.106,C3,S3_multi_person,2,9,12.0,83.31,57.6,1,1,0,0,0,
1779116257.191,C3,S3_multi_person,2,10,12.07,82.88,57.6,1,1,0,0,0,
1779116257.275,C3,S3_multi_person,2,11,12.03,83.12,54.8,1,1,0,0,0,
1779116257.359,C3,S3_multi_person,2,12,12.05,83.02,54.8,2,2,0,0,0,
1779116257.445,C3,S3_multi_person,2,13,11.78,84.86,57.6,2,2,0,0,0,
1779116257.529,C3,S3_multi_person,2,14,11.99,83.41,61.1,1,1,0,0,0,
1779116257.613,C3,S3_multi_person,2,15,12.07,82.83,57.6,1,1,0,0,0,
1779116257.697,C3,S3_multi_person,2,16,12.06,82.93,62.2,1,1,0,0,0,
1779116257.782,C3,S3_multi_person,2,17,12.07,82.86,57.6,1,1,0,0,0,
1779116257.866,C3,S3_multi_person,2,18,12.07,82.83,54.8,1,1,0,0,0,
1779116257.95,C3,S3_multi_person,2,19,12.04,83.03,56.3,2,2,1,1,0.683,Person very close ahead
1779116258.034,C3,S3_multi_person,2,20,12.03,83.13,58.8,2,2,0,0,0,
1779116258.119,C3,S3_multi_person,2,21,12.01,83.29,60.0,3,3,1,1,0.748,Person very close ahead
1779116258.203,C3,S3_multi_person,2,22,12.04,83.03,60.0,2,2,0,0,0,
1779116258.287,C3,S3_multi_person,2,23,12.02,83.2,58.8,2,2,1,1,0.743,Person very close on your right
1779116258.372,C3,S3_multi_person,2,24,11.88,84.16,54.8,1,1,0,0,0,
1779116258.46,C3,S3_multi_person,2,25,11.59,86.3,58.3,2,2,0,0,0,
1779116258.554,C3,S3_multi_person,2,26,10.76,92.94,61.8,1,1,0,0,0,
1779116258.639,C3,S3_multi_person,2,27,11.88,84.21,58.8,1,1,0,0,0,
1779116258.724,C3,S3_multi_person,2,28,11.92,83.92,58.8,1,1,0,0,0,
1779116258.809,C3,S3_multi_person,2,29,11.89,84.12,57.1,1,1,0,0,0,
1779116258.894,C3,S3_multi_person,2,30,11.91,83.96,57.6,1,1,0,0,0,
1779116258.982,C3,S3_multi_person,2,31,11.57,86.45,56.3,2,2,1,0,0,
1779116259.068,C3,S3_multi_person,2,32,11.67,85.66,57.6,3,3,1,0,0,
1779116259.154,C3,S3_multi_person,2,33,11.88,84.15,55.9,3,3,0,0,0,
1779116259.24,C3,S3_multi_person,2,34,11.86,84.34,57.6,2,2,0,0,0,
1779116259.325,C3,S3_multi_person,2,35,11.86,84.35,62.2,2,2,0,0,0,
1779116259.412,C3,S3_multi_person,2,36,11.64,85.89,62.2,2,2,0,0,0,
1779116259.5,C3,S3_multi_person,2,37,11.58,86.36,61.5,2,2,0,0,0,
1779116259.586,C3,S3_multi_person,2,38,11.8,84.76,60.0,2,2,0,0,0,
1779116259.671,C3,S3_multi_person,2,39,11.86,84.34,58.8,2,2,0,0,0,
1779116259.756,C3,S3_multi_person,2,40,11.88,84.2,56.3,2,2,0,0,0,
1779116259.842,C3,S3_multi_person,2,41,11.86,84.33,62.2,2,2,0,0,0,
1779116259.927,C3,S3_multi_person,2,42,11.89,84.1,56.3,3,3,0,0,0,
1779116260.012,C3,S3_multi_person,2,43,11.86,84.32,54.8,2,2,0,0,0,
1779116260.098,C3,S3_multi_person,2,44,11.88,84.2,61.1,2,2,0,0,0,
1779116260.184,C3,S3_multi_person,2,45,11.83,84.52,57.1,2,2,0,0,0,
1779116260.269,C3,S3_multi_person,2,46,11.85,84.38,61.1,2,2,0,0,0,
1779116260.354,C3,S3_multi_person,2,47,11.91,83.97,61.1,1,1,0,0,0,
1779116260.441,C3,S3_multi_person,2,48,11.66,85.73,56.3,1,1,0,0,0,
1779116260.528,C3,S3_multi_person,2,49,11.78,84.86,58.8,2,2,1,0,0,
1779116260.612,C3,S3_multi_person,2,50,12.03,83.12,56.3,1,1,0,0,0,
1779116260.697,C3,S3_multi_person,2,51,11.95,83.68,60.0,2,2,0,0,0,
1779116260.781,C3,S3_multi_person,2,52,11.95,83.65,61.1,2,2,0,0,0,
1779116260.867,C3,S3_multi_person,2,53,11.95,83.67,55.9,2,2,0,0,0,
1779116260.952,C3,S3_multi_person,2,54,11.94,83.73,56.3,2,2,0,0,0,
1779116261.037,C3,S3_multi_person,2,55,11.85,84.42,62.2,5,5,2,2,0.546,Person very close on your right | Person on your right
1779116261.122,C3,S3_multi_person,2,56,11.95,83.66,58.8,3,3,0,0,0,
1779116261.207,C3,S3_multi_person,2,57,11.88,84.14,54.8,3,3,0,0,0,
