timestamp,phase,scenario,run_id,frame,fps_instant,latency_ms,cpu_percent,detections_count,raw_messages,filtered_messages,decision_messages,mean_priority_score,final_messages
1779285971.499,C3,S4_walking_real_safe_v2,1,0,6.87,145.62,28.7,1,1,1,0,0,
1779285971.586,C3,S4_walking_real_safe_v2,1,1,11.73,85.24,57.6,1,1,0,0,0,
1779285971.67,C3,S4_walking_real_safe_v2,1,2,12.1,82.66,57.6,1,1,0,0,0,
1779285971.754,C3,S4_walking_real_safe_v2,1,3,12.11,82.58,63.2,1,1,0,0,0,
1779285971.837,C3,S4_walking_real_safe_v2,1,4,12.19,82.06,58.8,0,0,0,0,0,
1779285971.92,C3,S4_walking_real_safe_v2,1,5,12.19,82.02,61.1,0,0,0,0,0,
1779285972.004,C3,S4_walking_real_safe_v2,1,6,12.22,81.86,56.3,0,0,0,0,0,
1779285972.087,C3,S4_walking_real_safe_v2,1,7,12.14,82.36,57.6,0,0,0,0,0,
1779285972.171,C3,S4_walking_real_safe_v2,1,8,12.2,81.98,56.3,0,0,0,0,0,
1779285972.256,C3,S4_walking_real_safe_v2,1,9,11.82,84.6,60.0,1,1,1,1,0.733,Person very close ahead
1779285972.341,C3,S4_walking_real_safe_v2,1,10,12.14,82.39,54.8,1,1,0,0,0,
1779285972.424,C3,S4_walking_real_safe_v2,1,11,12.22,81.86,54.8,0,0,0,0,0,
1779285972.507,C3,S4_walking_real_safe_v2,1,12,12.15,82.27,56.3,1,1,0,0,0,
1779285972.59,C3,S4_walking_real_safe_v2,1,13,12.23,81.76,59.4,0,0,0,0,0,
1779285972.673,C3,S4_walking_real_safe_v2,1,14,12.25,81.64,60.0,0,0,0,0,0,
1779285972.756,C3,S4_walking_real_safe_v2,1,15,12.18,82.08,56.3,0,0,0,0,0,
1779285972.847,C3,S4_walking_real_safe_v2,1,16,11.1,90.08,58.3,0,0,0,0,0,
1779285972.934,C3,S4_walking_real_safe_v2,1,17,11.77,84.93,62.9,1,1,1,0,0,
1779285973.018,C3,S4_walking_real_safe_v2,1,18,12.13,82.45,59.5,0,0,0,0,0,
1779285973.101,C3,S4_walking_real_safe_v2,1,19,12.11,82.58,61.8,1,1,1,1,0.599,Person very close on your left
1779285973.184,C3,S4_walking_real_safe_v2,1,20,12.23,81.79,57.6,0,0,0,0,0,
1779285973.269,C3,S4_walking_real_safe_v2,1,21,11.98,83.5,54.8,0,0,0,0,0,
1779285973.353,C3,S4_walking_real_safe_v2,1,22,12.09,82.71,60.0,0,0,0,0,0,
1779285973.443,C3,S4_walking_real_safe_v2,1,23,11.23,89.03,62.9,0,0,0,0,0,
1779285973.528,C3,S4_walking_real_safe_v2,1,24,12.06,82.91,54.8,0,0,0,0,0,
1779285973.611,C3,S4_walking_real_safe_v2,1,25,12.13,82.43,56.3,0,0,0,0,0,
1779285973.696,C3,S4_walking_real_safe_v2,1,26,12.01,83.27,56.3,0,0,0,0,0,
1779285973.78,C3,S4_walking_real_safe_v2,1,27,12.05,83.0,54.8,0,0,0,0,0,
1779285973.864,C3,S4_walking_real_safe_v2,1,28,12.01,83.27,58.8,0,0,0,0,0,
1779285973.948,C3,S4_walking_real_safe_v2,1,29,12.07,82.88,57.6,0,0,0,0,0,
1779285974.033,C3,S4_walking_real_safe_v2,1,30,11.98,83.48,53.3,0,0,0,0,0,
1779285974.118,C3,S4_walking_real_safe_v2,1,31,11.93,83.83,60.0,0,0,0,0,0,
1779285974.202,C3,S4_walking_real_safe_v2,1,32,12.07,82.81,61.1,0,0,0,0,0,
1779285974.288,C3,S4_walking_real_safe_v2,1,33,11.72,85.32,60.0,0,0,0,0,0,
1779285974.373,C3,S4_walking_real_safe_v2,1,34,12.02,83.16,53.3,0,0,0,0,0,
1779285974.459,C3,S4_walking_real_safe_v2,1,35,11.87,84.24,62.2,0,0,0,0,0,
1779285974.543,C3,S4_walking_real_safe_v2,1,36,12.03,83.1,54.8,0,0,0,0,0,
1779285974.627,C3,S4_walking_real_safe_v2,1,37,12.08,82.8,58.8,0,0,0,0,0,
1779285974.711,C3,S4_walking_real_safe_v2,1,38,12.07,82.85,56.3,0,0,0,0,0,
