timestamp,phase,scenario,run_id,frame,fps_instant,latency_ms,cpu_percent,detections_count,raw_messages,filtered_messages,decision_messages,mean_priority_score,final_messages
1779284740.622,C3,S4_walking_real_stabilized,2,0,6.96,143.74,29.0,1,1,1,0,0,
1779284740.706,C3,S4_walking_real_stabilized,2,1,11.96,83.58,62.2,1,1,0,0,0,
1779284740.791,C3,S4_walking_real_stabilized,2,2,12.11,82.57,58.8,1,1,0,0,0,
1779284740.874,C3,S4_walking_real_stabilized,2,3,12.1,82.67,60.0,1,1,0,0,0,
1779284740.957,C3,S4_walking_real_stabilized,2,4,12.22,81.85,60.0,0,0,0,0,0,
1779284741.041,C3,S4_walking_real_stabilized,2,5,12.14,82.39,58.8,0,0,0,0,0,
1779284741.125,C3,S4_walking_real_stabilized,2,6,12.2,81.96,58.8,0,0,0,0,0,
1779284741.207,C3,S4_walking_real_stabilized,2,7,12.27,81.51,58.1,0,0,0,0,0,
1779284741.291,C3,S4_walking_real_stabilized,2,8,12.08,82.8,58.8,0,0,0,0,0,
1779284741.374,C3,S4_walking_real_stabilized,2,9,12.13,82.41,56.3,1,1,1,1,0.733,Person very close ahead
1779284741.458,C3,S4_walking_real_stabilized,2,10,12.09,82.73,61.1,1,1,0,0,0,
1779284741.541,C3,S4_walking_real_stabilized,2,11,12.21,81.89,60.6,0,0,0,0,0,
1779284741.624,C3,S4_walking_real_stabilized,2,12,12.22,81.82,60.0,1,1,0,0,0,
1779284741.706,C3,S4_walking_real_stabilized,2,13,12.29,81.37,56.2,0,0,0,0,0,
1779284741.79,C3,S4_walking_real_stabilized,2,14,12.23,81.77,62.2,0,0,0,0,0,
1779284741.872,C3,S4_walking_real_stabilized,2,15,12.25,81.64,58.8,0,0,0,0,0,
1779284741.955,C3,S4_walking_real_stabilized,2,16,12.21,81.92,56.7,0,0,0,0,0,
1779284742.038,C3,S4_walking_real_stabilized,2,17,12.2,81.99,54.8,1,1,1,0,0,
1779284742.122,C3,S4_walking_real_stabilized,2,18,12.16,82.25,61.1,0,0,0,0,0,
1779284742.205,C3,S4_walking_real_stabilized,2,19,12.13,82.46,60.0,1,1,1,1,0.599,Person very close on your left
1779284742.289,C3,S4_walking_real_stabilized,2,20,12.14,82.39,58.8,0,0,0,0,0,
1779284742.372,C3,S4_walking_real_stabilized,2,21,12.18,82.09,59.4,0,0,0,0,0,
1779284742.455,C3,S4_walking_real_stabilized,2,22,12.22,81.86,56.3,0,0,0,0,0,
1779284742.538,C3,S4_walking_real_stabilized,2,23,12.28,81.45,56.3,0,0,0,0,0,
1779284742.626,C3,S4_walking_real_stabilized,2,24,11.51,86.9,67.6,0,0,0,0,0,
1779284742.708,C3,S4_walking_real_stabilized,2,25,12.26,81.55,56.3,0,0,0,0,0,
1779284742.793,C3,S4_walking_real_stabilized,2,26,12.1,82.63,57.6,0,0,0,0,0,
1779284742.876,C3,S4_walking_real_stabilized,2,27,12.1,82.66,56.2,0,0,0,0,0,
1779284742.961,C3,S4_walking_real_stabilized,2,28,12.01,83.24,56.3,0,0,0,0,0,
1779284743.044,C3,S4_walking_real_stabilized,2,29,12.13,82.47,56.3,0,0,0,0,0,
1779284743.129,C3,S4_walking_real_stabilized,2,30,12.06,82.94,57.6,0,0,0,0,0,
1779284743.215,C3,S4_walking_real_stabilized,2,31,11.73,85.22,57.6,0,0,0,0,0,
1779284743.3,C3,S4_walking_real_stabilized,2,32,12.03,83.11,56.3,0,0,0,0,0,
1779284743.383,C3,S4_walking_real_stabilized,2,33,12.09,82.7,54.8,0,0,0,0,0,
1779284743.468,C3,S4_walking_real_stabilized,2,34,12.02,83.17,54.8,0,0,0,0,0,
1779284743.552,C3,S4_walking_real_stabilized,2,35,12.1,82.67,56.3,0,0,0,0,0,
1779284743.636,C3,S4_walking_real_stabilized,2,36,11.99,83.41,58.1,0,0,0,0,0,
1779284743.72,C3,S4_walking_real_stabilized,2,37,12.14,82.37,56.3,0,0,0,0,0,
1779284743.804,C3,S4_walking_real_stabilized,2,38,12.12,82.49,56.3,0,0,0,0,0,
1779284743.888,C3,S4_walking_real_stabilized,2,39,12.12,82.53,56.2,0,0,0,0,0,
1779284743.971,C3,S4_walking_real_stabilized,2,40,12.09,82.7,54.8,0,0,0,0,0,
1779284744.055,C3,S4_walking_real_stabilized,2,41,12.13,82.41,56.3,0,0,0,0,0,
1779284744.139,C3,S4_walking_real_stabilized,2,42,12.13,82.46,54.8,0,0,0,0,0,
1779284744.224,C3,S4_walking_real_stabilized,2,43,11.85,84.39,58.8,0,0,0,0,0,
1779284744.308,C3,S4_walking_real_stabilized,2,44,12.08,82.78,57.6,0,0,0,0,0,
1779284744.393,C3,S4_walking_real_stabilized,2,45,12.07,82.82,54.8,0,0,0,0,0,
1779284744.476,C3,S4_walking_real_stabilized,2,46,12.12,82.47,57.6,0,0,0,0,0,
1779284744.56,C3,S4_walking_real_stabilized,2,47,12.1,82.62,56.3,0,0,0,0,0,
1779284744.644,C3,S4_walking_real_stabilized,2,48,12.08,82.8,56.2,1,1,1,0,0,
1779284744.727,C3,S4_walking_real_stabilized,2,49,12.13,82.42,54.8,0,0,0,0,0,
1779284744.811,C3,S4_walking_real_stabilized,2,50,12.19,82.02,54.8,0,0,0,0,0,
1779284744.895,C3,S4_walking_real_stabilized,2,51,11.96,83.59,58.8,0,0,0,0,0,
1779284744.98,C3,S4_walking_real_stabilized,2,52,12.01,83.27,57.6,0,0,0,0,0,
1779284745.064,C3,S4_walking_real_stabilized,2,53,12.01,83.28,54.8,0,0,0,0,0,
1779284745.148,C3,S4_walking_real_stabilized,2,54,12.07,82.87,56.3,0,0,0,0,0,
1779284745.234,C3,S4_walking_real_stabilized,2,55,11.84,84.47,60.0,0,0,0,0,0,
1779284745.318,C3,S4_walking_real_stabilized,2,56,12.11,82.59,63.9,0,0,0,0,0,
1779284745.402,C3,S4_walking_real_stabilized,2,57,11.97,83.56,60.0,0,0,0,0,0,
1779284745.487,C3,S4_walking_real_stabilized,2,58,11.98,83.45,59.5,0,0,0,0,0,
1779284745.571,C3,S4_walking_real_stabilized,2,59,12.11,82.57,56.3,0,0,0,0,0,
1779284745.655,C3,S4_walking_real_stabilized,2,60,12.09,82.68,57.6,1,1,1,0,0,
1779284745.739,C3,S4_walking_real_stabilized,2,61,12.12,82.47,60.6,0,0,0,0,0,
1779284745.823,C3,S4_walking_real_stabilized,2,62,12.08,82.8,60.0,0,0,0,0,0,
