frame,fps,latency_ms,cpu_percent,detections,raw_messages,context_messages,decision_messages,audio_spoken,final_messages
0,6.83,141.49,28.4,1,1,1,1,0,Person very close ahead
1,7.58,130.11,64.0,1,1,0,0,0,
2,11.66,84.88,58.8,1,1,0,0,0,
3,11.56,85.17,62.2,1,1,0,0,0,
4,11.65,84.61,57.6,1,1,0,0,0,
5,11.65,84.73,60.0,1,1,0,0,0,
6,11.71,84.66,56.3,1,1,0,0,0,
7,11.44,86.15,60.5,1,1,0,0,0,
8,11.51,85.66,63.2,1,1,0,0,0,
9,11.59,85.4,56.3,1,1,0,0,0,
10,11.65,84.92,57.6,1,1,0,0,0,
11,11.57,85.4,61.1,1,1,0,0,0,
12,11.66,84.8,56.2,1,1,0,0,0,
13,11.44,86.55,58.8,1,1,0,0,0,
14,11.69,84.6,62.2,1,1,0,0,0,
15,11.65,84.51,60.0,1,1,0,0,0,
16,11.63,85.15,58.8,1,1,0,0,0,
17,11.53,85.77,60.0,1,1,0,0,0,
18,11.49,86.08,57.6,1,1,0,0,0,
19,11.45,85.93,60.0,1,1,0,0,0,
20,11.55,85.65,59.5,1,1,0,0,0,
21,11.53,85.84,56.3,1,1,0,0,0,
22,8.72,113.77,60.0,1,1,0,0,0,
23,11.46,85.72,54.5,1,1,0,0,0,
24,11.23,88.04,58.8,1,1,0,0,0,
25,10.22,96.86,57.9,1,1,0,0,0,
26,8.8,112.67,65.2,1,1,0,0,0,
27,11.65,84.86,57.6,1,1,0,0,0,
28,11.59,85.38,60.0,1,1,0,0,1,
29,11.63,85.04,58.8,1,1,0,0,1,
30,11.47,86.26,64.1,1,1,0,0,1,
31,11.56,85.61,57.6,1,1,0,0,1,
32,11.56,85.39,54.8,1,1,0,0,1,
33,11.37,87.26,62.2,1,1,0,0,1,
34,11.66,84.94,63.2,1,1,0,0,1,
35,11.48,86.02,56.2,1,1,0,0,1,
36,10.39,95.06,60.0,1,1,0,0,1,
37,11.53,85.93,57.6,1,1,0,0,1,
38,11.59,85.38,57.6,1,1,0,0,1,
39,11.63,84.96,60.0,1,1,0,0,1,
40,11.6,85.12,57.1,1,1,0,0,1,
41,11.65,85.07,63.9,1,1,0,0,1,
42,11.64,85.1,58.8,1,1,0,0,1,
