timestamp,tracker,scenario,run_id,frame,fps_instant,latency_ms,cpu_percent,detections_count,objects_count,unique_ids,raw_messages,filtered_messages,decision_messages,mean_priority_score,final_messages
1779294525.32,bytetrack,S4_walking_real,1,0,2.63,379.96,28.2,1,1,1,1,1,0,0,
1779294525.406,bytetrack,S4_walking_real,1,1,11.69,85.55,56.2,1,1,1,1,0,0,0,
1779294525.492,bytetrack,S4_walking_real,1,2,11.95,83.66,55.9,1,1,1,1,0,0,0,
1779294525.576,bytetrack,S4_walking_real,1,3,12.0,83.32,53.3,1,0,1,0,0,0,0,
1779294525.66,bytetrack,S4_walking_real,1,4,12.01,83.29,57.6,0,0,1,0,0,0,0,
1779294525.744,bytetrack,S4_walking_real,1,5,12.11,82.57,57.6,0,0,1,0,0,0,0,
1779294525.828,bytetrack,S4_walking_real,1,6,12.14,82.34,58.8,0,0,1,0,0,0,0,
1779294525.911,bytetrack,S4_walking_real,1,7,12.17,82.19,54.8,0,0,1,0,0,0,0,
1779294525.995,bytetrack,S4_walking_real,1,8,12.1,82.63,53.3,0,0,1,0,0,0,0,
1779294526.079,bytetrack,S4_walking_real,1,9,12.02,83.18,56.3,1,0,1,0,0,0,0,
1779294526.165,bytetrack,S4_walking_real,1,10,11.97,83.57,57.1,1,1,2,1,1,1,0.849,Person very close ahead
1779294526.25,bytetrack,S4_walking_real,1,11,11.93,83.8,57.6,0,0,2,0,0,0,0,
1779294526.334,bytetrack,S4_walking_real,1,12,11.95,83.65,58.8,1,1,2,1,0,0,0,
1779294526.418,bytetrack,S4_walking_real,1,13,12.11,82.58,60.5,0,0,2,0,0,0,0,
1779294526.502,bytetrack,S4_walking_real,1,14,12.15,82.3,61.1,0,0,2,0,0,0,0,
1779294526.585,bytetrack,S4_walking_real,1,15,12.12,82.49,60.0,0,0,2,0,0,0,0,
1779294526.669,bytetrack,S4_walking_real,1,16,12.13,82.43,57.6,0,0,2,0,0,0,0,
1779294526.763,bytetrack,S4_walking_real,1,17,10.73,93.18,61.1,1,0,2,0,0,0,0,
1779294526.847,bytetrack,S4_walking_real,1,18,12.03,83.14,54.8,0,0,2,0,0,0,0,
1779294526.932,bytetrack,S4_walking_real,1,19,11.98,83.5,54.5,1,0,2,0,0,0,0,
1779294527.016,bytetrack,S4_walking_real,1,20,12.1,82.62,57.6,0,0,2,0,0,0,0,
1779294527.099,bytetrack,S4_walking_real,1,21,12.11,82.59,53.3,0,0,2,0,0,0,0,
1779294527.183,bytetrack,S4_walking_real,1,22,12.15,82.29,51.7,0,0,2,0,0,0,0,
1779294527.268,bytetrack,S4_walking_real,1,23,11.9,84.05,57.6,0,0,2,0,0,0,0,
1779294527.353,bytetrack,S4_walking_real,1,24,11.91,83.96,57.6,0,0,2,0,0,0,0,
1779294527.438,bytetrack,S4_walking_real,1,25,11.94,83.77,60.0,0,0,2,0,0,0,0,
1779294527.523,bytetrack,S4_walking_real,1,26,11.97,83.55,60.0,0,0,2,0,0,0,0,
1779294527.607,bytetrack,S4_walking_real,1,27,12.03,83.11,57.6,0,0,2,0,0,0,0,
1779294527.692,bytetrack,S4_walking_real,1,28,11.93,83.79,55.9,0,0,2,0,0,0,0,
1779294527.779,bytetrack,S4_walking_real,1,29,11.72,85.35,59.4,0,0,2,0,0,0,0,
1779294527.864,bytetrack,S4_walking_real,1,30,11.9,84.03,55.9,0,0,2,0,0,0,0,
1779294527.949,bytetrack,S4_walking_real,1,31,11.88,84.2,54.8,0,0,2,0,0,0,0,
1779294528.034,bytetrack,S4_walking_real,1,32,11.98,83.46,61.1,0,0,2,0,0,0,0,
1779294528.119,bytetrack,S4_walking_real,1,33,11.93,83.83,61.1,0,0,2,0,0,0,0,
1779294528.204,bytetrack,S4_walking_real,1,34,11.9,84.03,57.6,0,0,2,0,0,0,0,
1779294528.291,bytetrack,S4_walking_real,1,35,11.71,85.4,61.1,0,0,2,0,0,0,0,
1779294528.376,bytetrack,S4_walking_real,1,36,11.92,83.87,57.1,0,0,2,0,0,0,0,
1779294528.46,bytetrack,S4_walking_real,1,37,11.98,83.47,53.3,0,0,2,0,0,0,0,
1779294528.545,bytetrack,S4_walking_real,1,38,11.99,83.41,57.6,0,0,2,0,0,0,0,
1779294528.629,bytetrack,S4_walking_real,1,39,12.03,83.12,58.8,0,0,2,0,0,0,0,
1779294528.714,bytetrack,S4_walking_real,1,40,12.02,83.17,60.0,0,0,2,0,0,0,0,
1779294528.798,bytetrack,S4_walking_real,1,41,12.01,83.28,62.2,0,0,2,0,0,0,0,
1779294528.882,bytetrack,S4_walking_real,1,42,11.98,83.46,61.1,0,0,2,0,0,0,0,
1779294528.967,bytetrack,S4_walking_real,1,43,11.98,83.47,56.2,0,0,2,0,0,0,0,
1779294529.052,bytetrack,S4_walking_real,1,44,12.02,83.17,54.5,0,0,2,0,0,0,0,
1779294529.137,bytetrack,S4_walking_real,1,45,12.02,83.18,56.3,0,0,2,0,0,0,0,
1779294529.222,bytetrack,S4_walking_real,1,46,11.85,84.38,58.8,0,0,2,0,0,0,0,
1779294529.307,bytetrack,S4_walking_real,1,47,11.99,83.39,57.6,0,0,2,0,0,0,0,
1779294529.393,bytetrack,S4_walking_real,1,48,11.89,84.12,56.3,1,0,2,0,0,0,0,
1779294529.477,bytetrack,S4_walking_real,1,49,11.95,83.66,56.3,0,0,2,0,0,0,0,
1779294529.562,bytetrack,S4_walking_real,1,50,12.02,83.19,57.6,0,0,2,0,0,0,0,
1779294529.646,bytetrack,S4_walking_real,1,51,12.02,83.22,60.5,0,0,2,0,0,0,0,
1779294529.731,bytetrack,S4_walking_real,1,52,12.04,83.06,58.8,0,0,2,0,0,0,0,
1779294529.815,bytetrack,S4_walking_real,1,53,12.02,83.16,58.8,0,0,2,0,0,0,0,
1779294529.9,bytetrack,S4_walking_real,1,54,11.92,83.88,57.6,0,0,2,0,0,0,0,
