timestamp,tracker,scenario,run_id,frame,fps_instant,latency_ms,cpu_percent,detections_count,objects_count,unique_ids,raw_messages,filtered_messages,decision_messages,mean_priority_score,final_messages
1779293255.185,old,S3_multi_person,1,0,6.95,143.9,28.6,1,1,1,1,1,1,0.63,Person very close on your right
1779293255.275,old,S3_multi_person,1,1,11.36,88.05,62.2,1,1,1,1,0,0,0,
1779293255.362,old,S3_multi_person,1,2,11.74,85.16,55.9,2,2,2,2,1,1,0.656,Person very close on your left
1779293255.447,old,S3_multi_person,1,3,11.95,83.7,61.1,2,2,2,2,0,0,0,
1779293255.532,old,S3_multi_person,1,4,11.91,83.95,56.3,1,2,2,1,0,0,0,
1779293255.617,old,S3_multi_person,1,5,11.96,83.63,57.6,1,2,2,1,0,0,0,
1779293255.705,old,S3_multi_person,1,6,11.56,86.5,62.2,1,2,2,1,0,0,0,
1779293255.789,old,S3_multi_person,1,7,11.94,83.73,54.8,1,2,2,1,0,0,0,
1779293255.874,old,S3_multi_person,1,8,11.92,83.92,62.2,1,2,2,1,0,0,0,
1779293255.96,old,S3_multi_person,1,9,11.95,83.65,53.1,1,2,2,1,0,0,0,
1779293256.045,old,S3_multi_person,1,10,11.99,83.39,58.8,1,2,2,1,0,0,0,
1779293256.129,old,S3_multi_person,1,11,11.96,83.61,57.6,1,2,2,1,0,0,0,
1779293256.216,old,S3_multi_person,1,12,11.68,85.64,59.5,2,2,2,2,0,0,0,
1779293256.301,old,S3_multi_person,1,13,11.99,83.4,56.2,2,2,2,2,0,0,0,
1779293256.386,old,S3_multi_person,1,14,11.97,83.54,60.0,1,2,2,1,0,0,0,
1779293256.471,old,S3_multi_person,1,15,12.01,83.28,60.0,1,2,2,1,0,0,0,
1779293256.556,old,S3_multi_person,1,16,11.92,83.91,57.6,1,2,2,1,0,0,0,
1779293256.641,old,S3_multi_person,1,17,11.98,83.49,53.3,1,2,2,1,0,0,0,
1779293256.726,old,S3_multi_person,1,18,11.95,83.67,61.1,1,2,2,1,0,0,0,
1779293256.811,old,S3_multi_person,1,19,11.94,83.78,60.0,2,3,3,2,1,1,0.683,Person very close ahead
1779293256.896,old,S3_multi_person,1,20,11.89,84.07,54.8,2,3,3,2,0,0,0,
1779293256.981,old,S3_multi_person,1,21,11.9,84.04,58.8,3,3,3,3,1,1,0.748,Person very close ahead
1779293257.066,old,S3_multi_person,1,22,11.94,83.73,58.8,2,3,3,2,0,0,0,
1779293257.151,old,S3_multi_person,1,23,11.9,84.0,62.2,2,3,3,2,1,1,0.743,Person very close on your right
1779293257.24,old,S3_multi_person,1,24,11.43,87.48,60.5,1,3,3,1,0,0,0,
1779293257.328,old,S3_multi_person,1,25,11.6,86.18,54.5,2,3,3,2,0,0,0,
1779293257.413,old,S3_multi_person,1,26,11.89,84.09,57.6,1,3,3,1,0,0,0,
1779293257.499,old,S3_multi_person,1,27,11.77,84.93,60.0,1,3,3,1,0,0,0,
1779293257.586,old,S3_multi_person,1,28,11.67,85.66,58.3,1,3,3,1,0,0,0,
