timestamp,tracker,scenario,run_id,frame,fps_instant,latency_ms,cpu_percent,detections_count,objects_count,unique_ids,raw_messages,filtered_messages,decision_messages,mean_priority_score,final_messages
1779294242.487,old,S4_walking_real,1,0,7.06,141.73,28.5,1,1,1,1,1,0,0,
1779294242.574,old,S4_walking_real,1,1,11.72,85.35,58.8,1,1,1,1,0,0,0,
1779294242.659,old,S4_walking_real,1,2,11.91,83.97,58.8,1,1,1,1,0,0,0,
1779294242.745,old,S4_walking_real,1,3,11.85,84.35,56.3,1,1,1,1,0,0,0,
1779294242.829,old,S4_walking_real,1,4,12.06,82.91,58.8,0,1,1,0,0,0,0,
1779294242.913,old,S4_walking_real,1,5,12.06,82.91,57.6,0,1,1,0,0,0,0,
1779294242.997,old,S4_walking_real,1,6,12.1,82.67,57.6,0,1,1,0,0,0,0,
1779294243.081,old,S4_walking_real,1,7,12.04,83.02,60.0,0,1,1,0,0,0,0,
1779294243.166,old,S4_walking_real,1,8,12.08,82.79,61.1,0,1,1,0,0,0,0,
1779294243.251,old,S4_walking_real,1,9,11.8,84.73,60.0,1,2,2,1,1,1,0.733,Person very close ahead
1779294243.337,old,S4_walking_real,1,10,11.94,83.74,56.3,1,2,2,1,0,0,0,
1779294243.421,old,S4_walking_real,1,11,12.06,82.94,55.9,0,2,2,0,0,0,0,
1779294243.505,old,S4_walking_real,1,12,12.06,82.92,57.6,1,2,2,1,0,0,0,
1779294243.589,old,S4_walking_real,1,13,12.08,82.77,57.6,0,2,2,0,0,0,0,
1779294243.673,old,S4_walking_real,1,14,12.06,82.94,60.0,0,1,2,0,0,0,0,
1779294243.757,old,S4_walking_real,1,15,12.08,82.8,58.8,0,1,2,0,0,0,0,
1779294243.841,old,S4_walking_real,1,16,12.08,82.8,58.8,0,1,2,0,0,0,0,
1779294243.925,old,S4_walking_real,1,17,12.02,83.18,58.8,1,2,3,1,1,0,0,
1779294244.009,old,S4_walking_real,1,18,12.1,82.64,60.0,0,2,3,0,0,0,0,
1779294244.094,old,S4_walking_real,1,19,11.99,83.42,60.0,1,3,4,1,1,1,0.599,Person very close on your left
1779294244.179,old,S4_walking_real,1,20,12.02,83.16,62.2,0,3,4,0,0,0,0,
1779294244.264,old,S4_walking_real,1,21,11.8,84.77,60.0,0,3,4,0,0,0,0,
1779294244.349,old,S4_walking_real,1,22,12.04,83.06,57.6,0,3,4,0,0,0,0,
1779294244.433,old,S4_walking_real,1,23,12.08,82.75,57.6,0,2,4,0,0,0,0,
1779294244.542,old,S4_walking_real,1,24,9.27,107.88,60.0,0,2,4,0,0,0,0,
1779294244.627,old,S4_walking_real,1,25,12.01,83.29,62.2,0,2,4,0,0,0,0,
1779294244.711,old,S4_walking_real,1,26,12.01,83.29,56.3,0,2,4,0,0,0,0,
1779294244.796,old,S4_walking_real,1,27,12.03,83.11,56.3,0,2,4,0,0,0,0,
1779294244.88,old,S4_walking_real,1,28,12.06,82.95,57.6,0,1,4,0,0,0,0,
1779294244.964,old,S4_walking_real,1,29,12.02,83.17,60.0,0,1,4,0,0,0,0,
1779294245.048,old,S4_walking_real,1,30,12.09,82.72,57.6,0,0,4,0,0,0,0,
1779294245.134,old,S4_walking_real,1,31,11.89,84.11,61.1,0,0,4,0,0,0,0,
1779294245.221,old,S4_walking_real,1,32,11.74,85.19,59.5,0,0,4,0,0,0,0,
1779294245.305,old,S4_walking_real,1,33,12.01,83.27,57.6,0,0,4,0,0,0,0,
1779294245.389,old,S4_walking_real,1,34,12.04,83.06,57.6,0,0,4,0,0,0,0,
1779294245.474,old,S4_walking_real,1,35,12.05,82.96,61.1,0,0,4,0,0,0,0,
1779294245.56,old,S4_walking_real,1,36,11.76,85.05,62.2,0,0,4,0,0,0,0,
1779294245.644,old,S4_walking_real,1,37,12.02,83.18,58.8,0,0,4,0,0,0,0,
1779294245.729,old,S4_walking_real,1,38,11.98,83.45,56.3,0,0,4,0,0,0,0,
1779294245.814,old,S4_walking_real,1,39,12.05,82.98,62.2,0,0,4,0,0,0,0,
1779294245.898,old,S4_walking_real,1,40,12.05,82.98,60.0,0,0,4,0,0,0,0,
1779294245.982,old,S4_walking_real,1,41,12.05,83.0,62.2,0,0,4,0,0,0,0,
1779294246.066,old,S4_walking_real,1,42,12.07,82.87,58.8,0,0,4,0,0,0,0,
1779294246.151,old,S4_walking_real,1,43,12.0,83.32,61.1,0,0,4,0,0,0,0,
1779294246.238,old,S4_walking_real,1,44,11.7,85.48,58.3,0,0,4,0,0,0,0,
