frame,time_s,latency_ms,fps,cpu_percent,ram_percent,temperature_c,detections
0,0.0,232.52,4.3,7.6,16.5,43.3,1
1,1.424,176.01,5.68,57.7,16.6,43.9,1
2,1.603,167.56,5.97,53.7,16.6,44.4,1
3,1.773,167.98,5.95,52.9,16.6,43.9,1
4,1.945,168.01,5.95,53.7,16.6,44.4,1
5,2.116,168.91,5.92,51.6,16.6,45.0,1
6,2.287,167.89,5.96,55.1,16.6,44.4,1
7,2.458,169.65,5.89,55.1,16.6,45.5,1
8,2.631,167.75,5.96,55.7,16.6,46.1,1
9,2.801,167.86,5.96,54.4,16.6,45.5,1
10,2.972,168.08,5.95,51.6,16.6,45.5,1
11,3.143,169.82,5.89,56.3,16.6,46.1,1
12,3.316,168.6,5.93,51.6,16.6,46.6,1
13,3.487,167.71,5.96,55.1,16.6,46.1,1
14,3.658,167.75,5.96,49.2,16.6,46.6,2
15,3.829,167.58,5.97,52.3,16.6,46.6,1
16,3.999,168.05,5.95,56.3,16.6,47.2,1
17,4.17,169.43,5.9,53.7,16.6,47.7,1
18,4.342,169.07,5.91,55.1,16.6,47.2,1
19,4.514,168.8,5.92,55.6,16.6,47.7,1
20,4.686,168.22,5.94,51.6,16.6,47.7,1
21,4.857,168.95,5.92,51.6,16.6,48.3,1
22,5.029,168.45,5.94,50.0,16.6,47.7,1
23,5.201,169.4,5.9,51.5,16.6,48.3,1
24,5.373,168.79,5.92,54.4,16.6,48.3,1
25,5.545,168.89,5.92,55.1,16.6,48.3,1
26,5.716,168.47,5.94,53.7,16.6,48.3,1
27,5.888,168.78,5.92,53.0,16.6,48.3,1
28,6.059,168.35,5.94,53.7,16.6,48.8,1
29,6.231,186.22,5.37,51.4,16.6,47.7,1
30,6.42,184.86,5.41,56.0,16.6,48.3,1
31,6.608,170.16,5.88,52.3,16.6,47.7,1
32,6.781,169.75,5.89,52.2,16.6,48.8,1
33,6.953,169.26,5.91,52.9,16.6,49.9,1
34,7.126,170.37,5.87,52.3,16.6,48.3,1
35,7.299,169.02,5.92,53.6,16.6,49.4,1
36,7.471,170.11,5.88,53.7,16.6,48.3,1
37,7.644,169.38,5.9,54.3,16.6,49.4,1
38,7.816,169.53,5.9,55.1,16.6,49.4,1
39,7.988,170.84,5.85,52.9,16.6,48.8,1
40,8.162,172.6,5.79,56.2,16.6,49.9,1
41,8.338,170.38,5.87,52.9,16.6,49.9,1
42,8.511,170.5,5.87,55.1,16.6,49.9,1
43,8.684,170.12,5.88,52.9,16.6,49.4,1
44,8.857,170.47,5.87,52.9,16.7,48.8,1
45,9.031,170.44,5.87,55.6,16.7,49.9,1
46,9.204,171.82,5.82,52.9,16.7,49.9,1
47,9.379,171.5,5.83,54.3,16.7,49.9,1
48,9.553,170.38,5.87,54.9,16.7,50.5,1
49,9.727,170.72,5.86,54.3,16.7,49.9,1
50,9.9,170.23,5.87,51.5,16.7,50.5,1
51,10.073,170.08,5.88,54.4,16.7,49.9,1
52,10.246,171.76,5.82,54.9,16.7,50.5,1
53,10.421,169.96,5.88,51.5,16.7,51.0,1
54,10.594,170.6,5.86,55.6,16.7,50.5,1
55,10.767,170.68,5.86,53.7,16.7,50.5,1
56,10.941,168.95,5.92,49.2,16.7,50.5,1
57,11.113,170.12,5.88,54.3,16.7,49.4,1
58,11.286,169.01,5.92,57.5,16.7,51.6,1
59,11.458,176.12,5.68,55.7,16.7,50.5,1
60,11.637,168.63,5.93,50.0,16.7,51.0,1
61,11.808,169.46,5.9,52.2,16.7,51.0,1
62,11.981,168.2,5.95,54.4,16.7,51.0,1
63,12.152,170.94,5.85,51.6,16.7,51.0,1
64,12.326,168.87,5.92,56.2,16.7,52.1,1
65,12.498,169.18,5.91,55.9,16.7,51.0,1
66,12.67,168.27,5.94,55.7,16.7,51.6,1
67,12.841,168.45,5.94,50.0,16.7,51.6,1
68,13.013,168.94,5.92,50.8,16.6,52.1,1
