frame,time_s,latency_ms,fps,cpu_percent,ram_percent,temperature_c,detections
0,0.0,166.36,6.01,6.2,16.3,42.2,1
1,1.339,115.84,8.63,50.0,16.4,41.7,1
2,1.458,113.24,8.83,47.7,16.4,42.8,1
3,1.574,122.63,8.15,51.1,16.4,42.8,1
4,1.699,112.87,8.86,50.0,16.4,42.2,1
5,1.815,112.83,8.86,54.2,16.4,43.3,1
6,1.93,112.89,8.86,51.1,16.4,43.9,1
7,2.046,113.2,8.83,47.7,16.4,43.9,1
8,2.162,114.56,8.73,47.7,16.4,43.9,1
9,2.279,112.69,8.87,52.2,16.4,43.9,1
10,2.394,113.27,8.83,53.1,16.4,43.3,1
11,2.51,114.47,8.74,46.5,16.4,43.9,1
12,2.628,114.1,8.76,51.1,16.4,43.9,1
13,2.744,112.73,8.87,54.2,16.4,44.4,1
14,2.86,113.15,8.84,47.7,16.4,45.5,1
15,2.976,113.76,8.79,53.1,16.4,44.4,1
16,3.092,112.97,8.85,50.0,16.4,44.4,1
17,3.208,114.78,8.71,52.2,16.4,45.5,1
18,3.325,113.28,8.83,48.9,16.4,44.4,1
19,3.441,113.6,8.8,47.7,16.4,45.5,1
20,3.558,113.56,8.81,48.9,16.4,45.0,1
21,3.674,113.44,8.82,53.2,16.4,45.5,1
22,3.79,113.12,8.84,51.1,16.4,45.5,1
23,3.906,113.31,8.82,53.2,16.4,45.0,1
24,4.022,113.3,8.83,50.0,16.4,46.1,1
25,4.138,113.57,8.81,50.0,16.4,45.5,1
26,4.254,113.32,8.82,56.0,16.4,46.6,1
27,4.37,113.03,8.85,54.9,16.4,46.1,1
28,4.486,113.35,8.82,54.9,16.4,46.6,1
29,4.602,113.28,8.83,56.0,16.4,46.6,1
30,4.718,113.23,8.83,53.1,16.4,46.1,1
31,4.834,114.1,8.76,53.1,16.4,45.5,1
32,4.951,113.77,8.79,45.2,16.4,46.6,1
33,5.067,113.22,8.83,45.0,16.4,47.2,1
34,5.183,114.39,8.74,46.5,16.4,46.1,1
35,5.3,113.28,8.83,48.9,16.4,47.2,1
36,5.416,113.61,8.8,46.5,16.4,45.5,1
37,5.532,113.43,8.82,51.1,16.4,46.6,1
38,5.649,113.99,8.77,50.0,16.4,46.6,1
39,5.765,114.07,8.77,51.1,16.4,47.7,1
40,5.882,113.15,8.84,54.9,16.4,47.2,1
41,5.998,114.67,8.72,48.8,16.4,46.6,1
42,6.115,117.35,8.52,50.0,16.4,47.2,1
43,6.237,114.14,8.76,54.9,16.4,48.3,1
44,6.354,113.89,8.78,50.0,16.4,47.7,1
45,6.471,113.45,8.81,46.5,16.4,48.3,1
46,6.587,121.95,8.2,56.0,16.4,47.7,1
47,6.712,113.98,8.77,47.7,16.4,47.7,1
48,6.829,113.31,8.83,52.1,16.4,47.7,1
49,6.945,113.42,8.82,50.0,16.4,48.3,1
50,7.061,113.29,8.83,53.2,16.4,47.7,1
51,7.177,115.61,8.65,51.1,16.4,47.7,1
52,7.295,113.64,8.8,45.2,16.4,47.7,1
53,7.411,113.21,8.83,47.7,16.4,48.3,1
54,7.527,114.93,8.7,47.6,16.4,47.7,1
55,7.645,114.06,8.77,47.7,16.3,48.3,1
56,7.762,113.51,8.81,50.0,16.3,47.7,1
57,7.878,113.45,8.81,54.0,16.3,48.3,1
58,7.994,113.25,8.83,56.0,16.3,47.7,1
59,8.11,113.34,8.82,54.0,16.3,48.3,1
60,8.226,115.74,8.64,45.2,16.3,48.8,1
61,8.345,114.15,8.76,52.1,16.3,48.3,1
62,8.462,113.8,8.79,54.0,16.3,48.8,1
63,8.578,113.4,8.82,53.2,16.3,48.8,1
64,8.695,113.44,8.82,47.7,16.3,48.8,1
65,8.811,113.71,8.79,45.2,16.3,48.3,1
66,8.927,113.51,8.81,45.2,16.3,48.8,1
