frame,time_s,latency_ms,fps,cpu_percent,ram_percent,temperature_c,detections,active_tracks,track_ids
0,0.0,177.92,5.62,7.6,16.5,42.8,1,1,[1]
1,1.349,108.9,9.18,53.5,16.5,42.2,1,1,[1]
2,1.46,106.89,9.36,53.5,16.5,42.2,1,1,[1]
3,1.57,108.67,9.2,57.8,16.5,42.8,1,1,[1]
4,1.681,109.97,9.09,54.5,16.5,42.8,1,1,[1]
5,1.794,106.84,9.36,57.8,16.5,43.3,1,1,[1]
6,1.903,106.91,9.35,53.5,16.5,42.8,1,1,[1]
7,2.013,107.07,9.34,53.5,16.5,43.9,1,1,[1]
8,2.123,106.64,9.38,51.3,16.5,43.9,1,1,[1]
9,2.232,106.9,9.35,55.6,16.5,43.9,1,1,[1]
10,2.342,106.61,9.38,55.6,16.5,42.8,1,1,[1]
11,2.451,108.17,9.25,55.8,16.5,44.4,1,1,[1]
12,2.562,108.68,9.2,51.2,16.5,43.9,1,1,[1]
13,2.674,107.09,9.34,56.5,16.5,45.5,1,1,[1]
14,2.783,107.45,9.31,52.4,16.5,45.5,1,1,[1]
15,2.894,106.8,9.36,58.7,16.5,45.0,1,1,[1]
16,3.003,108.28,9.24,56.5,16.5,45.5,1,1,[1]
17,3.114,106.9,9.35,52.4,16.5,44.4,1,1,[1]
18,3.224,107.32,9.32,50.0,16.5,45.5,1,1,[1]
19,3.334,106.92,9.35,57.8,16.5,45.5,1,1,[1]
20,3.443,107.21,9.33,52.4,16.5,43.9,1,1,[1]
21,3.554,109.47,9.13,54.5,16.5,45.5,1,1,[1]
22,3.666,107.46,9.31,55.8,16.5,45.5,1,1,[1]
23,3.776,107.65,9.29,52.4,16.5,46.6,1,1,[1]
24,3.886,107.35,9.32,53.5,16.5,45.5,1,1,[1]
25,3.996,107.7,9.29,55.6,16.5,46.1,1,1,[1]
26,4.108,107.71,9.28,53.5,16.5,47.2,1,1,[1]
27,4.218,107.39,9.31,56.8,16.5,46.6,1,1,[1]
28,4.328,107.71,9.28,56.5,16.5,45.5,1,1,[1]
29,4.439,107.74,9.28,53.5,16.5,46.6,1,1,[1]
30,4.549,108.4,9.23,53.5,16.5,46.6,1,1,[1]
31,4.66,108.15,9.25,60.4,16.5,46.1,1,1,[1]
32,4.771,107.43,9.31,53.5,16.5,45.5,1,1,[1]
33,4.881,107.14,9.33,55.6,16.5,46.6,1,1,[1]
34,4.991,107.39,9.31,55.8,16.5,46.6,1,1,[1]
35,5.101,107.13,9.33,56.5,16.5,47.2,1,1,[1]
36,5.211,107.59,9.29,52.4,16.5,46.6,1,1,[1]
37,5.321,107.49,9.3,58.7,16.5,45.5,1,1,[1]
38,5.432,107.7,9.29,53.5,16.5,46.6,1,1,[1]
39,5.542,107.75,9.28,53.5,16.5,47.7,1,1,[1]
40,5.653,112.65,8.88,60.0,16.5,47.2,1,1,[1]
41,5.768,107.97,9.26,56.5,16.5,46.6,1,1,[1]
42,5.879,108.24,9.24,53.5,16.5,47.7,1,1,[1]
43,5.99,107.73,9.28,56.8,16.5,47.2,1,1,[1]
44,6.1,107.35,9.31,52.4,16.5,48.3,1,1,[1]
45,6.211,107.19,9.33,55.6,16.5,47.2,1,1,[1]
46,6.321,107.39,9.31,55.6,16.5,47.2,1,1,[1]
47,6.431,107.4,9.31,54.8,16.5,47.7,1,1,[1]
