frame,time_s,latency_ms,fps,cpu_percent,ram_percent,temperature_c,detections,tracks,raw_messages,context_messages,message,reason
0,0.0,164.53,6.08,6.5,16.8,41.7,1,1,1,1,person ahead,new_object
1,1.369,105.34,9.49,53.7,16.8,42.2,1,1,1,0,,
2,1.477,104.33,9.58,53.8,16.8,42.2,1,1,1,0,,
3,1.584,104.3,9.59,55.8,16.8,42.8,1,1,1,0,,
4,1.691,104.31,9.59,57.8,16.8,42.2,1,1,1,0,,
5,1.799,113.72,8.79,60.4,16.9,43.3,1,1,1,0,,
6,1.915,104.4,9.58,53.8,16.9,42.8,1,1,1,0,,
7,2.022,104.2,9.6,57.8,16.9,43.9,1,1,1,0,,
8,2.129,106.3,9.41,53.7,16.9,43.3,1,1,1,0,,
9,2.238,104.15,9.6,55.8,16.9,43.9,1,1,1,0,,
10,2.345,104.17,9.6,56.1,16.9,43.9,1,1,1,0,,
11,2.452,105.12,9.51,56.8,16.9,44.4,1,1,1,0,,
12,2.56,104.39,9.58,53.7,16.9,43.9,1,1,1,0,,
13,2.667,104.29,9.59,54.8,16.9,45.0,1,1,1,0,,
14,2.774,106.06,9.43,55.8,16.9,45.0,1,1,1,0,,
15,2.882,104.19,9.6,58.1,16.9,44.4,1,1,1,0,,
16,2.989,104.31,9.59,55.8,16.9,45.0,1,1,1,0,,
17,3.096,104.83,9.54,55.8,16.9,45.0,1,1,1,0,,
18,3.204,104.72,9.55,56.8,16.9,45.0,1,1,1,0,,
19,3.311,104.09,9.61,56.1,16.9,45.5,1,1,1,0,,
20,3.418,104.77,9.54,57.8,16.9,45.5,1,1,1,0,,
21,3.525,105.58,9.47,56.8,16.9,46.1,1,1,1,0,,
22,3.634,104.77,9.54,58.1,16.9,44.4,1,1,1,0,,
23,3.741,104.88,9.54,52.5,16.9,46.1,1,1,1,0,,
24,3.849,104.71,9.55,55.8,16.9,46.1,1,1,1,0,,
25,3.956,104.47,9.57,56.8,16.9,46.1,1,1,1,0,,
26,4.063,104.75,9.55,55.0,16.9,45.5,1,1,1,0,,
27,4.171,105.94,9.44,56.8,16.9,46.1,1,1,1,0,,
28,4.279,104.9,9.53,54.8,16.9,45.5,1,1,1,0,,
29,4.387,104.73,9.55,55.8,16.9,46.1,1,1,1,0,,
30,4.494,105.21,9.5,58.1,16.9,46.1,1,1,1,0,,
31,4.602,105.42,9.49,56.8,16.9,46.6,1,1,1,0,,
32,4.71,104.89,9.53,55.8,16.9,46.6,1,1,1,0,,
33,4.818,104.56,9.56,58.1,16.9,45.5,1,1,1,0,,
34,4.925,105.17,9.51,54.8,16.9,46.6,1,1,1,0,,
35,5.033,104.76,9.55,53.7,16.9,46.6,1,1,1,0,,
36,5.14,106.41,9.4,60.4,16.9,47.2,1,1,1,0,,
37,5.249,104.84,9.54,56.8,16.9,47.2,1,1,1,0,,
38,5.357,104.87,9.54,50.0,16.9,46.6,1,1,1,0,,
39,5.465,104.82,9.54,56.8,16.9,47.7,1,1,1,0,,
40,5.572,104.94,9.53,55.8,16.9,47.2,1,1,1,0,,
41,5.68,105.26,9.5,53.7,16.9,47.2,1,1,1,0,,
42,5.788,105.19,9.51,58.1,16.9,48.3,1,1,1,0,,
43,5.895,104.89,9.53,52.5,16.9,47.7,1,1,1,0,,
44,6.003,104.65,9.56,56.8,16.9,47.2,1,1,1,0,,
45,6.11,105.96,9.44,54.8,16.9,47.2,1,1,1,0,,
46,6.219,104.84,9.54,55.8,16.9,47.7,1,1,1,0,,
47,6.327,104.8,9.54,52.5,16.9,48.3,1,1,1,1,person ahead,cooldown
48,6.434,104.88,9.53,58.1,16.9,47.7,1,1,1,0,,
49,6.542,104.99,9.52,57.8,16.9,47.2,1,1,1,0,,
50,6.649,104.86,9.54,58.7,16.9,48.3,1,1,1,0,,
51,6.757,117.41,8.52,58.3,16.9,47.7,1,1,1,0,,
52,6.877,105.15,9.51,54.8,16.9,48.8,1,1,1,0,,
53,6.985,104.65,9.56,56.1,16.9,47.7,1,1,1,0,,
54,7.092,106.79,9.36,54.5,16.9,48.3,1,1,1,0,,
55,7.202,104.86,9.54,59.1,16.9,47.7,1,1,1,0,,
