frame,time_s,latency_ms,fps,cpu_percent,ram_percent,temperature_c,detections,tracks,raw_messages,context_messages,message,reason
0,0.0,164.05,6.1,6.2,16.5,40.0,1,1,1,1,person ahead,new_object
1,1.328,105.35,9.49,55.8,16.5,42.2,1,1,1,0,,
2,1.436,105.27,9.5,57.8,16.5,41.7,1,1,1,0,,
3,1.544,104.77,9.55,53.7,16.5,42.2,1,1,1,0,,
4,1.652,105.71,9.46,52.5,16.5,41.7,1,1,1,0,,
5,1.76,104.15,9.6,54.8,16.5,43.3,1,1,1,0,,
6,1.867,106.19,9.42,54.8,16.5,42.2,1,1,1,0,,
7,1.976,109.03,9.17,59.5,16.6,42.8,1,1,1,0,,
8,2.088,103.86,9.63,51.3,16.6,43.3,1,1,1,0,,
9,2.194,103.84,9.63,58.1,16.6,42.8,1,1,1,0,,
10,2.301,104.04,9.61,57.8,16.6,43.9,1,1,1,0,,
11,2.407,104.14,9.6,58.1,16.6,43.9,1,1,1,0,,
12,2.514,104.12,9.6,55.8,16.6,44.4,1,1,1,0,,
13,2.621,105.27,9.5,54.8,16.6,44.4,1,1,1,0,,
14,2.729,104.64,9.56,52.5,16.6,44.4,1,1,1,0,,
15,2.836,104.07,9.61,58.1,16.6,43.9,1,1,1,0,,
16,2.943,106.56,9.38,55.0,16.6,44.4,1,1,1,0,,
17,3.052,103.79,9.63,53.7,16.6,44.4,1,1,1,0,,
18,3.159,103.72,9.64,60.0,16.6,44.4,1,1,1,0,,
19,3.265,104.14,9.6,53.7,16.6,45.5,1,1,1,0,,
20,3.372,104.28,9.59,54.8,16.6,45.0,1,1,1,0,,
21,3.479,104.92,9.53,56.1,16.6,45.5,1,1,1,0,,
22,3.587,112.59,8.88,54.3,16.6,46.1,1,1,1,0,,
23,3.702,104.54,9.57,56.8,16.6,44.4,1,1,1,0,,
24,3.809,104.66,9.55,56.1,16.6,45.5,1,1,1,0,,
25,3.917,104.37,9.58,54.8,16.6,45.5,1,1,1,0,,
26,4.024,104.54,9.57,54.8,16.6,45.5,1,1,1,0,,
27,4.131,104.12,9.6,58.1,16.6,46.1,1,1,1,0,,
28,4.238,104.91,9.53,53.7,16.6,45.5,1,1,1,0,,
29,4.345,104.24,9.59,54.8,16.6,45.5,1,1,1,0,,
30,4.452,104.49,9.57,59.1,16.6,46.1,1,1,1,0,,
31,4.56,106.86,9.36,54.8,16.6,46.1,1,1,1,0,,
32,4.669,104.78,9.54,55.8,16.6,46.6,1,1,1,0,,
33,4.777,104.53,9.57,54.8,16.6,46.6,1,1,1,0,,
34,4.884,104.21,9.6,55.0,16.6,46.6,1,1,1,0,,
35,4.991,104.5,9.57,57.8,16.6,46.1,1,1,1,0,,
36,5.198,104.56,9.56,29.3,16.6,45.0,1,1,1,0,,
37,5.305,104.46,9.57,54.8,16.6,47.7,1,1,1,0,,
38,5.413,104.57,9.56,55.8,16.6,46.6,1,1,1,0,,
39,5.52,104.4,9.58,53.8,16.6,46.6,1,1,1,0,,
40,5.627,105.81,9.45,55.8,16.5,47.2,1,1,1,0,,
41,5.736,105.04,9.52,53.7,16.5,47.7,1,1,1,0,,
42,5.843,104.6,9.56,56.1,16.5,46.6,1,1,1,0,,
43,5.951,104.52,9.57,56.8,16.5,47.7,1,1,1,0,,
44,6.058,104.76,9.55,56.1,16.5,47.7,1,1,1,0,,
45,6.165,104.46,9.57,54.8,16.5,47.2,1,1,1,0,,
46,6.272,104.45,9.57,54.8,16.5,47.2,1,1,1,1,person ahead,cooldown
47,6.379,104.57,9.56,58.1,16.5,47.2,1,1,1,0,,
48,6.487,104.42,9.58,54.8,16.5,47.7,1,1,1,0,,
49,6.594,105.29,9.5,55.8,16.5,47.7,1,1,1,0,,
50,6.702,103.97,9.62,54.8,16.5,47.7,1,1,1,0,,
51,6.809,105.45,9.48,55.0,16.5,47.7,1,1,1,0,,
52,6.917,110.13,9.08,63.8,16.6,48.3,1,1,1,0,,
53,7.03,104.12,9.6,53.7,16.6,48.3,1,1,1,0,,
54,7.136,104.19,9.6,54.8,16.6,47.2,1,1,1,0,,
55,7.243,104.5,9.57,53.8,16.6,47.7,1,1,1,0,,
56,7.35,104.04,9.61,56.8,16.6,48.3,1,1,1,0,,
57,7.457,104.64,9.56,54.8,16.6,47.7,2,2,2,1,cat ahead,new_object
58,7.564,105.38,9.49,56.8,16.5,47.7,0,2,2,0,,
59,7.673,104.42,9.58,57.1,16.5,48.3,0,2,2,0,,
60,7.78,104.35,9.58,55.8,16.5,47.7,0,2,2,0,,
61,7.887,105.29,9.5,57.1,16.5,48.8,0,2,2,0,,
62,7.995,104.95,9.53,57.1,16.5,48.8,0,2,2,0,,
63,8.103,103.65,9.65,53.7,16.5,48.8,0,2,2,0,,
64,8.209,104.49,9.57,52.5,16.5,49.4,0,2,2,0,,
65,8.316,104.66,9.55,56.1,16.5,48.8,1,2,2,0,,
66,8.424,104.51,9.57,54.8,16.5,48.8,2,3,3,0,,
67,8.531,104.11,9.61,55.8,16.5,48.8,1,3,3,0,,
68,8.638,105.34,9.49,54.8,16.5,49.4,1,2,2,0,,
69,8.746,104.25,9.59,56.1,16.5,48.8,1,2,2,0,,
70,8.853,104.12,9.6,56.8,16.5,48.3,0,2,2,0,,
71,8.96,105.01,9.52,56.1,16.5,49.4,0,2,2,0,,
72,9.067,104.54,9.57,56.8,16.5,49.4,1,2,2,1,person on the left,position_changed
73,9.175,103.95,9.62,56.8,16.5,49.9,1,2,2,0,,
74,9.281,104.51,9.57,58.1,16.5,48.8,1,2,2,0,,
75,9.389,104.27,9.59,57.8,16.5,49.9,1,2,2,0,,
76,9.495,104.47,9.57,54.8,16.5,48.8,1,2,2,0,,
77,9.603,105.76,9.46,57.8,16.5,49.4,1,1,1,0,,
78,9.711,104.45,9.57,56.1,16.5,49.4,1,1,1,0,,
79,9.818,104.82,9.54,56.8,16.5,48.8,1,2,2,0,,
80,9.926,104.34,9.58,54.8,16.5,49.4,0,2,2,0,,
81,10.033,105.26,9.5,55.0,16.5,49.9,0,2,2,0,,
82,10.141,104.32,9.59,57.8,16.5,48.8,0,2,2,0,,
83,10.248,104.16,9.6,56.1,16.5,49.4,0,2,2,0,,
84,10.355,104.35,9.58,55.8,16.5,50.5,1,2,2,0,,
85,10.462,104.4,9.58,53.7,16.5,49.9,0,2,2,0,,
86,10.569,105.62,9.47,57.1,16.4,49.9,0,2,2,0,,
87,10.677,105.08,9.52,54.8,16.4,49.9,0,2,2,0,,
88,10.785,104.54,9.57,55.8,16.4,50.5,0,2,2,0,,
89,10.892,104.72,9.55,58.1,16.4,49.4,0,1,1,0,,
90,11.0,104.67,9.55,54.8,16.4,49.4,0,1,1,0,,
91,11.107,105.07,9.52,53.7,16.4,50.5,0,1,1,0,,
92,11.215,105.04,9.52,55.0,16.4,49.9,0,1,1,0,,
93,11.322,104.38,9.58,57.8,16.4,49.9,0,1,1,0,,
94,11.43,104.5,9.57,51.3,16.4,49.9,0,1,1,0,,
95,11.537,104.23,9.59,59.1,16.4,51.0,0,0,0,0,,
96,11.644,106.03,9.43,53.7,16.4,50.5,0,0,0,0,,
97,11.752,104.56,9.56,55.8,16.4,50.5,0,0,0,0,,
98,11.86,105.06,9.52,56.8,16.4,50.5,0,0,0,0,,
99,11.967,108.76,9.19,61.9,16.4,50.5,0,0,0,0,,
100,12.079,104.56,9.56,55.8,16.4,50.5,0,0,0,0,,
101,12.186,105.02,9.52,57.8,16.4,50.5,0,0,0,0,,
102,12.294,104.32,9.59,58.1,16.4,49.4,0,0,0,0,,
103,12.401,104.45,9.57,54.8,16.4,49.9,0,0,0,0,,
104,12.508,104.39,9.58,56.8,16.4,51.0,0,0,0,0,,
105,12.615,106.01,9.43,55.8,16.4,51.0,0,0,0,0,,
106,12.724,104.74,9.55,55.0,16.4,50.5,0,0,0,0,,
107,12.832,104.67,9.55,56.8,16.4,51.6,0,0,0,0,,
108,12.939,106.07,9.43,59.1,16.4,50.5,1,1,1,0,,
109,13.048,104.19,9.6,53.7,16.4,51.0,0,1,1,0,,
110,13.155,103.91,9.62,59.1,16.4,51.0,0,1,1,0,,
111,13.261,104.59,9.56,50.0,16.4,50.5,0,1,1,0,,
112,13.368,104.46,9.57,58.1,16.4,51.0,0,1,1,0,,
113,13.476,104.18,9.6,55.8,16.4,51.0,0,1,1,0,,
114,13.582,104.95,9.53,56.8,16.4,51.0,0,1,1,0,,
115,13.69,105.17,9.51,59.1,16.4,50.5,0,1,1,0,,
116,13.798,104.94,9.53,57.8,16.4,51.0,0,1,1,0,,
117,13.906,104.3,9.59,52.5,16.4,50.5,0,1,1,0,,
118,14.013,104.66,9.55,56.8,16.4,49.9,0,1,1,0,,
119,14.12,104.53,9.57,57.1,16.4,51.0,0,0,0,0,,
120,14.228,105.07,9.52,57.8,16.4,50.5,0,0,0,0,,
121,14.335,105.07,9.52,58.7,16.4,51.6,0,0,0,0,,
122,14.443,104.88,9.53,57.1,16.3,50.5,0,0,0,0,,
123,14.551,104.67,9.55,54.8,16.3,51.0,0,0,0,0,,
124,14.658,104.88,9.53,56.8,16.3,50.5,0,0,0,0,,
125,14.766,104.42,9.58,57.1,16.3,52.1,0,0,0,0,,
126,14.873,104.64,9.56,55.8,16.3,51.0,0,0,0,0,,
127,14.98,104.61,9.56,53.7,16.3,50.5,0,0,0,0,,
128,15.088,104.63,9.56,53.7,16.3,51.6,0,0,0,0,,
129,15.195,104.22,9.6,55.0,16.3,52.1,0,0,0,0,,
130,15.302,104.76,9.55,58.7,16.3,51.6,0,0,0,0,,
131,15.409,104.95,9.53,55.8,16.3,51.6,0,0,0,0,,
132,15.517,104.52,9.57,53.8,16.2,51.6,0,0,0,0,,
133,15.624,106.3,9.41,56.8,16.2,51.0,0,0,0,0,,
134,15.733,104.45,9.57,51.3,16.2,51.6,0,0,0,0,,
135,15.841,104.78,9.54,56.8,16.2,52.1,0,0,0,0,,
136,15.948,104.56,9.56,56.1,16.2,52.1,0,0,0,0,,
137,16.055,104.77,9.55,56.8,16.2,51.6,0,0,0,0,,
138,16.163,104.3,9.59,55.8,16.2,52.1,0,0,0,0,,
139,16.27,104.48,9.57,57.1,16.2,52.1,0,0,0,0,,
140,16.377,104.6,9.56,58.7,16.2,52.1,0,0,0,0,,
141,16.484,105.09,9.52,55.8,16.2,51.6,0,0,0,0,,
142,16.592,105.6,9.47,56.1,16.2,51.6,0,0,0,0,,
143,16.702,104.38,9.58,52.5,16.2,52.7,0,0,0,0,,
144,16.809,104.73,9.55,58.7,16.2,51.6,0,0,0,0,,
145,16.916,111.45,8.97,59.1,16.2,52.1,0,0,0,0,,
146,17.03,104.44,9.58,59.1,16.3,52.1,0,0,0,0,,
147,17.138,104.38,9.58,50.0,16.3,52.1,0,0,0,0,,
148,17.245,104.67,9.55,55.8,16.3,52.1,0,0,0,0,,
149,17.352,104.25,9.59,54.8,16.3,52.7,0,0,0,0,,
150,17.459,105.3,9.5,55.0,16.2,52.1,1,1,1,0,,
151,17.567,107.46,9.31,55.8,16.2,52.1,0,1,1,0,,
152,17.677,105.64,9.47,57.8,16.2,52.7,0,1,1,0,,
153,17.786,105.2,9.51,52.5,16.2,52.1,1,1,1,0,,
154,17.893,107.75,9.28,56.8,16.2,52.7,1,1,1,0,,
155,18.004,104.85,9.54,56.1,16.2,52.7,0,1,1,0,,
156,18.111,104.62,9.56,54.8,16.2,51.6,0,1,1,0,,
157,18.219,104.68,9.55,58.7,16.2,52.7,0,1,1,0,,
158,18.326,104.8,9.54,58.1,16.2,52.7,0,1,1,0,,
