frame,time_s,latency_ms,fps,cpu_percent,ram_percent,temperature_c,detections,tracks,raw_messages,context_messages,message,reason
0,0.0,166.27,6.01,7.1,16.3,41.7,1,1,1,1,person ahead,new_object
1,1.329,106.73,9.37,55.8,16.3,41.7,1,1,1,0,,
2,1.438,105.6,9.47,53.7,16.3,42.8,1,1,1,0,,
3,1.546,105.16,9.51,53.7,16.3,42.8,1,1,1,0,,
4,1.654,105.04,9.52,52.5,16.3,42.8,1,1,1,0,,
5,1.762,109.44,9.14,62.2,16.4,42.8,1,1,1,0,,
6,1.874,105.98,9.44,56.8,16.4,43.3,1,1,1,0,,
7,1.983,105.22,9.5,55.8,16.4,42.8,1,1,1,0,,
8,2.091,104.86,9.54,54.8,16.4,43.9,2,2,2,0,,
9,2.198,104.74,9.55,57.8,16.4,45.0,1,2,2,0,,
10,2.306,104.94,9.53,57.1,16.4,44.4,1,2,2,0,,
11,2.413,106.03,9.43,56.8,16.4,43.9,1,2,2,0,,
12,2.522,104.79,9.54,55.8,16.4,44.4,2,2,2,0,,
13,2.629,104.97,9.53,57.8,16.4,44.4,2,2,2,0,,
14,2.737,105.02,9.52,55.8,16.4,43.9,1,2,2,0,,
15,2.845,108.46,9.22,61.7,16.4,43.9,1,2,2,0,,
16,2.956,105.58,9.47,54.8,16.4,45.5,2,2,2,0,,
17,3.064,104.74,9.55,56.8,16.4,45.0,2,2,2,0,,
18,3.171,104.66,9.55,55.8,16.4,45.5,1,2,2,0,,
19,3.279,105.24,9.5,55.8,16.4,45.5,2,2,2,0,,
20,3.387,105.14,9.51,54.8,16.4,45.0,1,2,2,0,,
21,3.495,107.22,9.33,52.5,16.4,46.1,2,2,2,0,,
22,3.604,105.67,9.46,51.3,16.4,46.1,2,2,2,0,,
23,3.713,105.02,9.52,50.0,16.4,45.5,1,2,2,0,,
24,3.82,106.81,9.36,52.5,16.4,45.5,2,2,2,0,,
25,3.93,105.49,9.48,55.8,16.4,46.6,1,2,2,0,,
26,4.038,106.27,9.41,56.8,16.4,46.6,1,2,2,0,,
27,4.147,105.51,9.48,54.8,16.4,46.1,2,2,2,0,,
28,4.255,105.34,9.49,55.8,16.4,46.1,1,2,2,0,,
29,4.363,105.17,9.51,55.8,16.4,46.6,2,2,2,0,,
30,4.471,106.15,9.42,54.8,16.4,47.2,2,2,2,0,,
31,4.58,105.74,9.46,57.8,16.4,46.1,1,2,2,0,,
32,4.688,105.73,9.46,53.7,16.4,46.1,2,2,2,0,,
33,4.797,105.33,9.49,54.8,16.4,46.6,2,2,2,0,,
34,4.905,106.5,9.39,57.8,16.4,47.7,2,2,2,0,,
35,5.014,105.39,9.49,57.1,16.4,46.6,2,2,2,0,,
36,5.122,105.03,9.52,57.8,16.4,46.6,1,2,2,0,,
37,5.23,105.63,9.47,57.8,16.4,47.2,1,2,2,0,,
38,5.338,105.32,9.5,54.8,16.4,47.7,1,2,2,0,,
39,5.446,105.15,9.51,56.8,16.4,46.6,1,2,2,0,,
40,5.554,105.31,9.5,56.8,16.4,46.6,1,2,2,0,,
41,5.662,106.55,9.39,54.8,16.4,47.7,2,3,3,0,,
42,5.771,105.69,9.46,56.8,16.3,46.6,1,3,3,0,,
43,5.879,107.14,9.33,55.8,16.3,47.7,1,3,3,0,,
44,5.989,105.86,9.45,58.7,16.3,48.3,1,3,3,0,,
45,6.098,105.23,9.5,56.8,16.3,47.7,1,3,3,0,,
46,6.205,105.26,9.5,59.1,16.3,47.7,2,3,3,0,,
47,6.313,105.71,9.46,59.6,16.3,48.3,1,3,3,1,person ahead,cooldown
48,6.422,106.01,9.43,54.8,16.3,47.2,1,3,3,0,,
49,6.53,105.72,9.46,57.8,16.3,48.3,1,3,3,0,,
50,6.639,105.78,9.45,54.8,16.3,47.7,1,3,3,0,,
51,6.747,114.64,8.72,60.0,16.4,48.3,2,4,4,1,chair ahead,new_object
52,6.865,106.31,9.41,55.8,16.4,47.7,1,3,3,0,,
53,6.974,105.48,9.48,57.4,16.4,48.3,1,3,3,0,,
54,7.082,105.45,9.48,58.1,16.4,48.3,2,3,3,0,,
55,7.19,105.41,9.49,56.8,16.4,47.7,2,4,4,1,kite on the right,new_object
56,7.298,105.04,9.52,55.8,16.4,48.8,1,4,4,0,,
57,7.406,105.52,9.48,58.7,16.4,48.3,2,3,3,0,,
58,7.514,104.99,9.52,55.8,16.4,47.7,3,4,4,1,person ahead,new_object
59,7.622,105.29,9.5,57.8,16.4,49.4,2,4,4,0,,
60,7.73,105.48,9.48,57.8,16.4,47.7,2,4,4,0,,
61,7.838,108.38,9.23,62.5,16.4,49.4,1,4,4,0,,
62,7.949,105.33,9.49,53.7,16.4,48.3,2,4,4,0,,
63,8.057,105.14,9.51,51.3,16.4,49.4,2,4,4,0,,
64,8.165,105.39,9.49,54.8,16.4,48.3,1,4,4,0,,
65,8.273,105.55,9.47,53.7,16.4,48.8,3,5,5,0,,
66,8.381,105.07,9.52,51.3,16.4,48.8,1,4,4,0,,
67,8.488,105.54,9.47,52.5,16.4,49.4,1,4,4,0,,
68,8.597,105.91,9.44,54.8,16.4,49.4,1,4,4,0,,
69,8.705,105.69,9.46,58.7,16.4,49.4,1,3,3,0,,
70,8.814,106.8,9.36,57.8,16.4,49.9,1,3,3,0,,
71,8.923,106.57,9.38,56.8,16.4,48.3,1,3,3,0,,
72,9.032,105.31,9.5,53.7,16.4,47.7,0,3,3,0,,
73,9.14,105.27,9.5,51.3,16.4,48.8,1,3,3,0,,
74,9.248,105.17,9.51,52.5,16.4,49.4,2,4,4,0,,
75,9.356,104.52,9.57,55.0,16.4,49.4,0,4,4,0,,
