frame,timestamp,fps,latency_ms,cpu_percent,detections_count,labels
0,1778951299.74,0.77,144.69,18.8,3,"bottle,bottle,microwave"
1,1778951299.83,11.53,86.02,60.0,3,"bottle,bottle,microwave"
2,1778951299.92,11.68,84.91,61.1,3,"bottle,bottle,microwave"
3,1778951300.0,11.4,87.06,57.6,2,"bottle,bottle"
4,1778951300.09,11.7,84.76,58.8,3,"bottle,bottle,microwave"
5,1778951300.18,11.59,85.56,56.3,3,"bottle,microwave,bottle"
6,1778951300.26,11.64,85.16,58.8,3,"bottle,bottle,microwave"
7,1778951300.35,11.7,84.76,61.1,3,"bottle,bottle,microwave"
8,1778951300.44,11.59,85.57,57.6,3,"bottle,bottle,microwave"
9,1778951300.52,11.66,85.04,60.0,3,"bottle,bottle,microwave"
10,1778951300.61,11.38,87.16,58.3,3,"bottle,microwave,bottle"
11,1778951300.7,11.7,84.73,61.1,3,"microwave,bottle,bottle"
12,1778951300.78,11.7,84.78,61.1,3,"bottle,bottle,microwave"
13,1778951300.87,11.62,85.36,58.8,3,"bottle,microwave,bottle"
14,1778951300.95,11.69,84.87,58.8,4,"bottle,bottle,microwave,bottle"
15,1778951301.04,11.51,86.14,61.1,3,"bottle,microwave,bottle"
16,1778951301.13,11.64,85.22,62.2,3,"bottle,microwave,bottle"
17,1778951301.21,11.66,85.06,57.6,3,"bottle,microwave,bottle"
18,1778951301.3,11.61,85.4,61.1,3,"bottle,microwave,bottle"
19,1778951301.39,10.84,91.55,60.6,3,"bottle,bottle,microwave"
20,1778951301.48,11.7,84.74,61.1,3,"bottle,bottle,microwave"
21,1778951301.56,11.67,85.0,57.6,3,"bottle,microwave,bottle"
22,1778951301.65,11.68,84.82,56.3,3,"bottle,bottle,microwave"
23,1778951301.74,11.53,86.05,60.0,3,"bottle,bottle,microwave"
24,1778951301.82,11.7,84.79,61.1,3,"bottle,microwave,bottle"
25,1778951301.91,11.6,85.49,58.8,3,"bottle,bottle,microwave"
26,1778951302.0,11.37,87.24,60.5,3,"bottle,microwave,bottle"
27,1778951302.08,11.54,86.0,63.2,3,"bottle,microwave,bottle"
28,1778951302.17,11.62,85.33,58.8,3,"bottle,microwave,bottle"
29,1778951302.26,11.48,86.41,56.3,3,"bottle,microwave,bottle"
30,1778951302.34,11.64,85.21,58.8,3,"bottle,microwave,bottle"
31,1778951302.43,11.39,87.05,57.6,3,"bottle,microwave,bottle"
32,1778951302.52,11.71,84.69,54.8,4,"bottle,microwave,bottle,bottle"
33,1778951302.6,11.53,86.02,62.2,4,"bottle,bottle,microwave,bottle"
34,1778951302.69,11.61,85.44,60.0,4,"bottle,microwave,bottle,bottle"
35,1778951302.78,11.56,85.76,58.8,4,"bottle,bottle,microwave,bottle"
36,1778951302.86,11.61,85.45,63.2,4,"bottle,microwave,bottle,bottle"
