frame,timestamp,fps,latency_ms,cpu_percent,detections_count,labels
0,1778951552.82,0.76,149.96,18.8,1,person
1,1778951552.9,11.22,88.48,62.2,1,person
2,1778951553.0,11.02,90.05,60.5,1,person
3,1778951553.08,11.34,87.39,57.1,1,person
4,1778951553.17,11.29,87.8,58.3,1,person
5,1778951553.26,11.3,87.79,58.3,1,person
6,1778951553.35,11.34,87.51,60.0,1,person
7,1778951553.44,11.21,88.53,57.1,1,person
8,1778951553.53,11.25,88.24,62.5,1,person
9,1778951553.62,11.21,88.5,58.3,1,person
10,1778951553.71,11.19,88.7,59.5,1,person
11,1778951553.8,11.26,88.07,60.0,1,person
12,1778951553.89,11.17,88.89,59.5,1,person
13,1778951553.98,11.2,88.61,58.3,1,person
14,1778951554.07,10.57,93.81,59.0,1,person
15,1778951554.16,11.63,85.42,60.0,1,person
16,1778951554.24,11.71,84.79,60.0,1,person
17,1778951554.33,11.71,84.77,54.8,1,person
18,1778951554.41,11.81,84.06,62.2,1,person
19,1778951554.5,11.79,84.24,60.6,1,person
20,1778951554.58,11.73,84.65,56.3,1,person
21,1778951554.67,11.76,84.4,61.1,1,person
22,1778951554.75,11.76,84.43,58.8,1,person
23,1778951554.84,11.81,84.09,56.3,1,person
24,1778951554.92,11.72,84.71,60.6,1,person
25,1778951555.01,11.83,83.96,62.2,1,person
26,1778951555.1,11.69,84.92,57.6,1,person
27,1778951555.18,11.71,84.79,60.0,1,person
28,1778951555.27,11.71,84.75,58.8,1,person
29,1778951555.35,11.69,84.95,58.1,1,person
30,1778951555.44,11.72,84.67,63.2,1,person
31,1778951555.52,11.68,85.0,56.2,1,person
32,1778951555.61,11.77,84.37,61.1,1,person
33,1778951555.69,11.82,83.97,57.6,1,person
34,1778951555.78,11.78,84.29,58.1,1,person
35,1778951555.86,11.7,84.86,57.6,1,person
36,1778951555.95,11.8,84.1,62.2,1,person
37,1778951556.04,11.45,86.69,60.0,1,person
38,1778951556.12,11.8,84.11,56.3,1,person
39,1778951556.21,11.58,85.77,56.3,1,person
40,1778951556.29,11.83,83.93,62.2,1,person
41,1778951556.38,11.13,89.19,66.7,1,person
42,1778951556.47,11.81,84.05,62.9,1,person
43,1778951556.55,11.79,84.2,62.2,1,person
44,1778951556.64,11.81,84.08,56.3,1,person
45,1778951556.72,11.64,85.34,58.8,1,person
46,1778951556.81,11.87,83.64,61.1,1,person
47,1778951556.89,11.65,85.24,61.8,1,person
48,1778951556.98,11.67,85.08,61.1,1,person
49,1778951557.07,11.72,84.73,60.0,1,person
50,1778951557.15,11.73,84.61,60.6,1,person
51,1778951557.24,11.71,84.73,62.2,1,person
52,1778951557.32,11.72,84.66,57.6,1,person
53,1778951557.41,11.5,86.35,60.0,1,person
54,1778951557.5,11.67,85.09,53.3,1,person
55,1778951557.58,11.68,84.98,64.1,1,person
56,1778951557.67,11.67,85.12,56.3,1,person
57,1778951557.75,11.67,85.04,63.9,1,person
58,1778951557.84,11.67,85.11,57.6,1,person
59,1778951557.93,11.64,85.33,60.0,1,person
60,1778951558.01,11.5,86.34,56.3,1,person
61,1778951558.1,11.66,85.11,58.8,1,person
62,1778951558.19,11.65,85.23,61.1,1,person
63,1778951558.27,11.69,84.88,57.6,1,person
64,1778951558.36,11.63,85.4,61.1,1,person
65,1778951558.44,11.75,84.49,57.6,1,person
66,1778951558.53,11.7,84.88,54.8,1,person
67,1778951558.61,11.64,85.19,61.8,1,person
68,1778951558.7,11.75,84.52,54.8,1,person
69,1778951558.79,11.69,84.9,60.0,1,person
70,1778951558.87,11.71,84.77,57.6,1,person
71,1778951558.96,11.64,85.32,61.1,1,person
72,1778951559.04,11.52,86.17,56.3,1,person
73,1778951559.13,11.75,84.48,61.1,1,person
74,1778951559.22,11.71,84.76,59.4,1,person
75,1778951559.3,11.65,85.24,61.1,1,person
76,1778951559.39,11.91,83.32,61.1,1,person
77,1778951559.47,11.77,84.3,57.6,1,person
78,1778951559.56,11.63,85.39,57.6,1,person
79,1778951559.64,11.88,83.56,57.6,1,person
80,1778951559.73,11.83,83.88,61.8,1,person
81,1778951559.81,11.76,84.46,56.3,1,person
82,1778951559.9,11.75,84.5,60.0,1,person
83,1778951559.98,11.85,83.82,61.1,1,person
84,1778951560.07,11.66,85.17,61.8,1,person
85,1778951560.15,11.78,84.26,60.0,1,person
86,1778951560.24,11.83,83.9,62.2,1,person
87,1778951560.32,11.78,84.25,56.3,1,person
88,1778951560.41,11.78,84.27,56.3,1,person
89,1778951560.49,11.72,84.74,60.0,1,person
90,1778951560.58,11.87,83.62,60.6,1,person
91,1778951560.66,11.84,83.84,57.6,1,person
92,1778951560.75,11.8,84.11,58.8,1,person
93,1778951560.83,11.76,84.4,58.8,1,person
94,1778951560.92,11.78,84.3,62.2,1,person
95,1778951561.0,11.49,86.37,56.2,1,person
96,1778951561.09,11.74,84.53,61.8,1,person
97,1778951561.17,11.8,84.17,58.8,1,person
98,1778951561.26,11.71,84.77,60.0,1,person
99,1778951561.35,10.94,90.81,64.9,1,person
100,1778951561.44,11.73,84.65,61.1,1,person
101,1778951561.52,11.81,84.05,57.6,1,person
102,1778951561.61,11.99,82.82,58.1,1,person
103,1778951561.69,11.62,85.47,51.7,1,person
104,1778951561.78,11.82,83.99,62.2,1,person
105,1778951561.86,11.82,83.99,57.6,1,person
106,1778951561.95,11.74,84.5,54.8,1,person
107,1778951562.03,11.57,85.81,60.0,1,person
108,1778951562.12,11.77,84.33,58.1,1,person
109,1778951562.2,11.76,84.45,61.1,1,person
110,1778951562.29,11.86,83.72,60.0,1,person
111,1778951562.38,11.58,85.71,57.6,1,person
112,1778951562.46,11.8,84.17,65.8,1,person
113,1778951562.55,11.83,83.95,57.6,1,person
114,1778951562.63,11.84,83.83,57.6,1,person
115,1778951562.72,11.71,84.79,53.3,1,person
116,1778951562.8,11.84,83.86,64.1,1,person
117,1778951562.89,11.66,85.12,58.1,1,person
118,1778951562.97,11.82,84.03,56.2,1,person
119,1778951563.06,11.52,86.19,61.1,1,person
120,1778951563.14,11.69,84.91,56.3,1,person
121,1778951563.23,11.85,83.73,61.1,1,person
122,1778951563.31,11.89,83.46,61.8,1,person
123,1778951563.4,11.8,84.13,58.8,1,person
124,1778951563.48,11.83,83.93,57.6,1,person
125,1778951563.57,11.63,85.37,58.8,1,person
126,1778951563.65,11.75,84.52,58.8,1,person
127,1778951563.74,11.92,83.31,56.2,1,person
128,1778951563.82,11.65,85.25,58.8,1,person
129,1778951563.91,11.7,84.82,61.8,1,person
130,1778951564.0,11.33,87.63,58.3,1,person
131,1778951564.08,11.65,85.2,61.1,1,person
132,1778951564.17,11.81,84.09,54.8,1,person
133,1778951564.25,11.83,83.95,59.4,1,person
134,1778951564.34,11.64,85.33,58.8,1,person
135,1778951564.43,11.71,84.8,57.6,1,person
136,1778951564.51,11.74,84.61,54.8,1,person
137,1778951564.6,11.76,84.4,61.1,1,person
138,1778951564.68,11.75,84.49,57.6,1,person
139,1778951564.77,11.65,85.23,57.6,1,person
140,1778951564.85,11.68,84.97,58.8,1,person
141,1778951564.94,11.6,85.6,60.0,1,person
142,1778951565.03,11.58,85.76,60.0,1,person
143,1778951565.11,11.69,84.96,61.1,1,person
144,1778951565.2,11.76,84.46,57.6,1,person
145,1778951565.28,11.72,84.72,58.8,1,person
146,1778951565.37,11.62,85.43,60.0,1,person
147,1778951565.46,11.7,84.83,56.3,1,person
148,1778951565.54,11.7,84.86,61.8,1,person
149,1778951565.63,11.59,85.65,57.6,1,person
150,1778951565.71,11.69,84.81,60.0,1,person
151,1778951565.8,11.7,84.83,57.6,1,person
152,1778951565.89,11.56,85.9,63.2,1,person
153,1778951565.97,11.79,84.24,54.8,1,person
154,1778951566.06,11.53,86.15,61.1,1,person
155,1778951566.14,11.72,84.69,60.6,1,person
156,1778951566.23,11.75,84.54,62.2,1,person
157,1778951566.32,11.14,89.19,65.8,1,person
158,1778951566.41,11.56,85.78,62.9,1,person
159,1778951566.49,11.76,84.4,57.6,1,person
160,1778951566.58,11.71,84.82,57.6,1,person
161,1778951566.66,11.83,83.9,58.8,1,person
162,1778951566.75,11.66,85.14,61.8,1,person
163,1778951566.83,11.77,84.37,62.2,1,person
164,1778951566.92,11.69,84.89,58.8,1,person
165,1778951567.01,11.47,86.59,58.8,1,person
166,1778951567.09,11.74,84.6,56.3,1,person
167,1778951567.18,11.69,84.92,58.8,1,person
168,1778951567.26,11.82,83.95,62.2,1,person
169,1778951567.35,11.51,86.29,60.6,1,person
