frame,timestamp,fps,latency_ms,cpu_percent,detections_count,labels
0,1778952048.27,0.76,146.93,18.8,4,"person,person,person,bottle"
1,1778952048.35,11.43,86.62,53.3,4,"person,person,person,bottle"
2,1778952048.44,11.46,86.49,61.1,4,"person,person,person,bottle"
3,1778952048.53,11.55,85.86,60.0,4,"person,person,person,bottle"
4,1778952048.62,11.44,86.63,60.5,4,"person,person,person,bottle"
5,1778952048.7,11.46,86.59,61.1,2,"person,person"
6,1778952048.79,11.39,87.01,63.2,3,"person,person,bottle"
7,1778952048.88,11.52,86.11,58.3,4,"person,bottle,person,bottle"
8,1778952048.96,11.56,85.69,58.8,5,"person,bottle,person,bottle,chair"
9,1778952049.06,10.12,98.12,64.1,5,"person,bottle,bottle,person,chair"
10,1778952049.15,11.39,87.03,61.5,4,"person,bottle,person,bottle"
11,1778952049.24,11.42,86.84,60.0,4,"person,bottle,person,bottle"
12,1778952049.33,11.45,86.6,59.5,4,"person,bottle,person,chair"
13,1778952049.42,11.41,86.94,63.2,4,"person,bottle,chair,person"
14,1778952049.5,11.41,86.92,60.5,4,"person,bottle,chair,person"
15,1778952049.59,11.41,86.98,63.2,5,"person,bottle,bottle,bottle,person"
16,1778952049.68,11.41,86.88,63.2,5,"person,bottle,bottle,person,bottle"
17,1778952049.77,11.39,87.04,60.5,5,"person,bottle,person,bottle,bottle"
18,1778952049.86,11.39,87.01,63.2,5,"person,bottle,person,bottle,bottle"
19,1778952049.94,11.45,86.6,62.2,5,"person,bottle,person,bottle,bottle"
20,1778952050.03,10.89,91.06,62.5,5,"person,bottle,bottle,bottle,person"
21,1778952050.12,11.45,86.64,58.8,5,"person,bottle,bottle,chair,person"
22,1778952050.21,11.54,85.9,58.3,3,"person,bottle,chair"
23,1778952050.3,11.56,85.75,58.8,2,"person,person"
24,1778952050.38,11.4,86.99,58.8,2,"person,person"
25,1778952050.47,11.43,86.8,58.8,2,"person,person"
26,1778952050.56,11.57,85.66,59.5,3,"person,person,bottle"
27,1778952050.65,11.49,86.32,58.8,3,"person,person,bottle"
28,1778952050.73,11.57,85.64,58.8,3,"person,person,bottle"
29,1778952050.82,11.32,87.52,57.6,3,"person,person,bottle"
30,1778952050.91,11.31,87.68,60.0,3,"person,bottle,person"
31,1778952051.0,11.13,89.1,58.3,4,"person,bottle,person,bottle"
32,1778952051.09,11.29,87.84,57.1,4,"person,bottle,person,bottle"
33,1778952051.18,11.26,88.09,61.1,6,"person,bottle,person,bottle,bottle,bottle"
