frame,timestamp,fps,latency_ms,cpu_percent,detections_count,labels
0,1778952340.84,0.76,149.56,18.7,2,"person,bottle"
1,1778952340.93,10.93,90.73,58.3,3,"person,bottle,person"
2,1778952341.03,10.99,90.24,57.9,2,"person,bottle"
3,1778952341.12,11.13,89.12,54.5,2,"person,bottle"
4,1778952341.21,11.14,88.85,60.5,3,"person,bottle,bottle"
5,1778952341.3,11.15,88.97,57.1,3,"person,bottle,bottle"
6,1778952341.39,11.0,90.0,60.5,3,"person,bottle,bottle"
7,1778952341.48,11.18,88.73,55.9,4,"person,bottle,microwave,bottle"
8,1778952341.57,11.16,88.79,59.5,4,"person,microwave,bottle,bottle"
9,1778952341.66,11.22,88.37,58.3,5,"person,microwave,bottle,bottle,bottle"
10,1778952341.74,11.24,88.1,57.1,4,"person,microwave,bottle,bottle"
11,1778952341.83,11.22,88.37,60.5,4,"person,bottle,microwave,bottle"
12,1778952341.92,11.19,88.61,57.1,4,"person,bottle,microwave,bottle"
13,1778952342.01,11.05,89.64,59.5,4,"person,bottle,bottle,microwave"
14,1778952342.1,11.17,88.71,58.3,6,"person,bottle,microwave,bottle,bottle,bottle"
15,1778952342.19,11.22,88.44,55.9,5,"person,bottle,microwave,bottle,bottle"
16,1778952342.28,11.22,88.34,55.9,5,"person,bottle,bottle,microwave,bottle"
17,1778952342.37,11.21,88.47,60.5,4,"person,microwave,bottle,bottle"
18,1778952342.47,10.58,93.8,66.7,4,"person,microwave,bottle,bottle"
19,1778952342.56,11.11,89.31,58.3,4,"person,microwave,bottle,bottle"
20,1778952342.65,11.2,88.46,58.3,5,"person,microwave,bottle,bottle,bottle"
21,1778952342.74,11.26,88.09,61.5,4,"microwave,person,bottle,bottle"
22,1778952342.83,11.2,88.54,58.3,4,"person,bottle,microwave,bottle"
23,1778952342.92,11.17,88.81,54.5,5,"person,microwave,bottle,bottle,bottle"
24,1778952343.01,10.99,90.08,61.5,4,"person,microwave,bottle,bottle"
25,1778952343.1,11.13,89.15,57.1,4,"person,microwave,bottle,bottle"
26,1778952343.19,11.16,88.82,62.5,4,"person,microwave,bottle,bottle"
27,1778952343.28,11.28,87.87,55.9,4,"person,microwave,bottle,bottle"
28,1778952343.37,11.0,90.02,60.5,4,"person,microwave,bottle,bottle"
29,1778952343.46,11.19,88.62,55.9,4,"person,bottle,microwave,bottle"
30,1778952343.55,10.94,90.63,58.3,4,"microwave,bottle,person,bottle"
31,1778952343.64,11.21,88.38,59.5,5,"person,bottle,microwave,bottle,bottle"
32,1778952343.73,11.24,88.2,58.3,4,"person,microwave,bottle,bottle"
33,1778952343.82,11.22,88.4,55.9,6,"person,microwave,bottle,bottle,bottle,bottle"
34,1778952343.91,11.07,89.48,60.5,4,"bottle,bottle,bottle,person"
35,1778952344.0,10.93,90.82,58.3,4,"bottle,microwave,bottle,bottle"
36,1778952344.09,11.07,89.54,57.1,4,"bottle,bottle,bottle,microwave"
37,1778952344.18,11.06,89.68,59.5,5,"person,microwave,bottle,bottle,bottle"
38,1778952344.27,11.13,89.0,58.3,5,"person,bottle,microwave,bottle,bottle"
39,1778952344.36,11.07,89.59,55.9,5,"person,bottle,microwave,bottle,bottle"
40,1778952344.45,11.13,89.06,57.9,5,"person,bottle,microwave,bottle,bottle"
41,1778952344.54,11.12,89.22,54.5,5,"person,bottle,bottle,bottle,microwave"
42,1778952344.63,11.1,89.29,61.5,5,"person,microwave,bottle,bottle,bottle"
43,1778952344.72,11.07,89.61,58.3,5,"person,microwave,bottle,bottle,bottle"
44,1778952344.81,11.14,88.97,54.5,6,"person,microwave,bottle,bottle,bottle,bottle"
45,1778952344.9,11.04,89.73,60.5,6,"person,microwave,bottle,bottle,bottle,bottle"
46,1778952344.99,10.84,91.45,58.3,5,"person,bottle,bottle,bottle,microwave"
47,1778952345.09,11.06,89.69,57.1,6,"person,microwave,bottle,bottle,bottle,bottle"
48,1778952345.17,11.16,88.79,55.9,3,"person,bottle,bottle"
49,1778952345.27,11.11,89.29,57.1,5,"person,bottle,bottle,bottle,bottle"
50,1778952345.35,11.33,87.45,58.3,2,"person,bottle"
51,1778952345.44,11.11,89.19,59.5,1,person
52,1778952345.53,11.16,88.7,55.9,1,person
53,1778952345.62,11.17,88.81,54.5,1,person
54,1778952345.71,11.17,88.67,58.3,1,person
55,1778952345.8,11.15,88.9,55.9,2,"person,bottle"
56,1778952345.89,11.07,89.49,60.5,1,person
57,1778952345.98,11.15,88.98,58.3,1,person
58,1778952346.08,10.85,91.29,57.9,1,person
59,1778952346.17,11.09,89.47,59.5,1,person
60,1778952346.26,11.13,89.05,57.1,1,person
61,1778952346.35,11.17,88.83,59.5,1,person
