frame,time_s,latency_ms,fps,cpu_percent,ram_percent,temperature_c,detections
0,0.0,237.25,4.21,8.3,16.5,42.2,1
1,1.416,184.4,5.42,45.7,16.5,42.8,1
2,1.603,196.22,5.1,52.4,16.5,43.3,1
3,1.802,183.38,5.45,49.4,16.5,43.9,1
4,1.989,182.61,5.48,49.3,16.5,43.9,1
5,2.174,183.43,5.45,49.4,16.5,44.4,1
6,2.361,182.77,5.47,49.4,16.5,43.9,1
7,2.546,187.06,5.35,51.3,16.6,43.9,1
8,2.736,185.51,5.39,52.5,16.6,44.4,1
9,2.926,182.43,5.48,48.0,16.6,45.5,1
10,3.111,183.05,5.46,48.0,16.6,45.0,1
11,3.297,182.8,5.47,46.5,16.5,45.0,1
12,3.483,183.35,5.45,48.7,16.5,45.5,1
13,3.669,182.9,5.47,48.0,16.5,45.0,1
14,3.855,182.91,5.47,49.4,16.5,46.1,1
15,4.041,182.51,5.48,48.6,16.5,46.1,1
16,4.226,183.15,5.46,48.7,16.5,46.6,1
17,4.413,183.92,5.44,45.8,16.5,46.6,1
18,4.599,182.65,5.48,49.3,16.5,46.6,1
19,4.785,182.71,5.47,45.8,16.5,46.6,1
20,4.972,182.89,5.47,46.6,16.5,47.7,1
21,5.157,182.95,5.47,45.1,16.5,47.2,1
22,5.343,182.82,5.47,44.3,16.5,47.2,1
23,5.529,184.62,5.42,50.6,16.5,46.6,1
24,5.717,182.5,5.48,48.7,16.5,47.7,1
25,5.902,181.46,5.51,44.3,16.5,47.2,1
26,6.086,181.95,5.5,47.9,16.5,47.2,1
27,6.271,182.43,5.48,48.0,16.5,47.2,1
28,6.457,186.14,5.37,50.0,16.5,47.2,1
29,6.646,182.43,5.48,44.3,16.5,47.7,1
30,6.831,182.91,5.47,49.3,16.5,48.3,1
31,7.018,182.46,5.48,45.8,16.5,47.2,1
32,7.203,182.48,5.48,47.3,16.5,48.3,1
33,7.389,182.89,5.47,46.6,16.5,47.7,1
34,7.575,184.28,5.43,48.6,16.5,48.3,1
35,7.762,181.85,5.5,45.8,16.5,47.2,1
36,7.947,182.01,5.49,45.8,16.5,48.3,1
37,8.132,182.35,5.48,47.2,16.5,48.3,1
38,8.317,182.07,5.49,47.3,16.5,48.3,1
39,8.502,182.85,5.47,42.6,16.5,49.4,1
40,8.688,182.3,5.49,47.9,16.5,48.8,1
41,8.873,182.81,5.47,48.0,16.5,49.4,1
42,9.06,182.46,5.48,47.3,16.5,47.7,1
43,9.245,182.02,5.49,48.0,16.5,48.3,1
44,9.43,182.63,5.48,44.9,16.5,48.8,1
45,9.616,182.53,5.48,47.3,16.5,48.8,1
46,9.801,181.68,5.5,47.9,16.5,48.8,1
47,9.986,182.1,5.49,45.8,16.5,49.9,1
48,10.171,181.92,5.5,45.1,16.5,48.8,1
49,10.356,182.57,5.48,46.5,16.4,49.9,1
50,10.541,183.56,5.45,45.8,16.4,49.9,1
51,10.728,182.81,5.47,47.9,16.4,49.4,1
52,10.913,182.07,5.49,46.6,16.4,49.9,1
53,11.099,182.3,5.49,50.0,16.4,49.9,1
54,11.285,183.01,5.46,49.4,16.3,49.9,1
55,11.47,190.12,5.26,50.6,16.3,49.9,1
56,11.664,182.44,5.48,47.3,16.4,49.9,1
57,11.849,182.21,5.49,47.3,16.4,50.5,1
58,12.034,181.41,5.51,47.9,16.4,49.4,1
59,12.219,182.07,5.49,47.3,16.4,50.5,1
60,12.404,182.83,5.47,47.2,16.4,50.5,1
61,12.59,183.76,5.44,46.6,16.3,50.5,1
62,12.776,182.2,5.49,47.9,16.3,49.4,1
63,12.961,182.65,5.47,44.3,16.3,51.0,1
64,13.148,182.45,5.48,48.0,16.3,51.0,1
65,13.333,182.65,5.47,45.8,16.3,50.5,1
66,13.519,183.51,5.45,48.7,16.3,51.0,1
67,13.705,181.95,5.5,50.0,16.3,51.0,1
68,13.89,181.15,5.52,45.1,16.3,50.5,1
69,14.074,181.79,5.5,45.7,16.3,50.5,1
70,14.259,182.03,5.49,49.4,16.3,49.9,1
71,14.444,183.82,5.44,51.3,16.3,51.6,2
