frame,timestamp,fps,latency_ms,cpu_percent,detections_count,active_tracks,track_ids,labels,directions,proximities,risk_scores,missing_tracks
0,1778953072.58,0.74,143.69,18.5,1,1,1,person,center,0.86,0.0,0
1,1778953072.66,11.8,84.1,54.8,1,1,1,person,center,0.86,0.63,0
2,1778953072.75,11.84,83.8,61.1,1,1,1,person,center,0.86,0.63,0
3,1778953072.83,11.76,84.44,63.9,1,1,1,person,center,0.86,0.63,0
4,1778953072.92,11.78,84.22,57.1,1,1,1,person,center,0.86,0.63,0
5,1778953073.01,11.58,85.77,57.6,1,1,1,person,center,0.86,0.63,0
6,1778953073.09,11.83,83.83,56.3,1,1,1,person,center,0.86,0.63,0
7,1778953073.17,11.83,83.92,60.6,1,1,1,person,center,0.85,0.63,0
8,1778953073.26,11.83,83.89,56.3,1,1,1,person,center,0.85,0.63,0
9,1778953073.37,8.89,111.91,60.9,1,1,1,person,center,0.85,0.63,0
10,1778953073.46,11.74,84.57,58.8,1,1,1,person,center,0.85,0.63,0
11,1778953073.54,11.77,84.37,58.8,1,1,1,person,center,0.85,0.63,0
12,1778953073.63,11.78,84.24,61.8,1,1,1,person,center,0.85,0.63,0
13,1778953073.71,11.73,84.67,60.0,1,1,1,person,center,0.85,0.63,0
14,1778953073.8,11.74,84.5,58.8,1,1,1,person,center,0.85,0.63,0
15,1778953073.88,11.72,84.72,62.2,1,1,1,person,center,0.85,0.63,0
16,1778953073.97,11.8,84.09,57.6,1,1,1,person,center,0.85,0.63,0
17,1778953074.06,11.68,85.02,53.3,1,1,1,person,center,0.85,0.63,0
18,1778953074.14,11.63,85.3,61.1,1,1,1,person,center,0.85,0.63,0
19,1778953074.23,11.72,84.69,58.8,1,1,1,person,center,0.85,0.63,0
20,1778953074.31,11.67,85.02,62.2,1,1,1,person,center,0.85,0.63,0
21,1778953074.4,11.66,85.11,59.4,1,1,1,person,center,0.85,0.63,0
22,1778953074.49,11.68,84.95,60.0,1,1,1,person,center,0.85,0.63,0
23,1778953074.57,11.78,84.22,58.8,1,1,1,person,center,0.86,0.63,0
24,1778953074.66,11.74,84.55,58.8,1,1,1,person,center,0.86,0.63,0
25,1778953074.74,11.83,83.88,62.9,1,1,1,person,center,0.86,0.63,0
26,1778953074.83,11.65,85.21,58.8,1,1,1,person,center,0.85,0.63,0
27,1778953074.91,11.72,84.71,57.6,1,1,1,person,center,0.85,0.63,0
28,1778953075.0,11.47,86.5,60.0,1,1,1,person,center,0.85,0.63,0
29,1778953075.09,11.58,85.76,62.2,1,1,1,person,center,0.85,0.63,0
30,1778953075.17,11.73,84.62,58.8,1,1,1,person,center,0.85,0.62,0
31,1778953075.26,11.67,85.09,58.8,1,1,1,person,center,0.85,0.63,0
32,1778953075.34,11.75,84.4,58.8,1,1,1,person,center,0.85,0.63,0
33,1778953075.43,11.77,84.37,62.2,1,1,1,person,center,0.85,0.63,0
34,1778953075.51,11.62,85.4,58.8,1,1,1,person,center,0.85,0.63,0
35,1778953075.6,11.74,84.52,56.3,1,1,1,person,center,0.85,0.63,0
36,1778953075.69,11.68,84.97,61.1,1,1,1,person,center,0.85,0.63,0
37,1778953075.77,11.78,84.24,59.4,1,1,1,person,center,0.85,0.63,0
38,1778953075.86,11.73,84.58,60.0,1,1,1,person,center,0.85,0.62,0
39,1778953075.94,11.71,84.77,57.6,1,1,1,person,center,0.85,0.62,0
40,1778953076.03,11.55,85.91,57.6,1,1,1,person,center,0.85,0.62,0
41,1778953076.11,11.75,84.48,58.8,1,1,1,person,center,0.85,0.62,0
42,1778953076.2,11.71,84.74,56.2,1,1,1,person,center,0.84,0.62,0
43,1778953076.29,11.67,85.03,62.9,1,1,1,person,center,0.84,0.62,0
44,1778953076.37,11.77,84.33,58.8,1,1,1,person,center,0.84,0.63,0
45,1778953076.46,11.74,84.58,61.1,1,1,1,person,center,0.85,0.63,0
46,1778953076.54,11.7,84.82,57.6,1,1,1,person,center,0.85,0.68,0
47,1778953076.63,11.73,84.61,56.3,1,1,1,person,center,0.85,0.71,0
48,1778953076.71,11.65,85.16,61.1,1,1,1,person,center,0.85,0.68,0
49,1778953076.8,11.73,84.63,57.6,1,1,1,person,center,0.85,0.67,0
50,1778953076.89,11.66,85.13,60.0,1,1,1,person,center,0.85,0.65,0
51,1778953076.97,11.7,84.86,58.8,1,1,1,person,center,0.85,0.64,0
52,1778953077.06,11.51,86.21,61.1,1,1,1,person,center,0.85,0.64,0
53,1778953077.14,11.66,85.14,56.7,1,1,1,person,center,0.85,0.64,0
54,1778953077.23,11.6,85.55,55.9,1,1,1,person,center,0.85,0.63,0
55,1778953077.32,11.68,85.02,59.4,1,1,1,person,center,0.85,0.63,0
56,1778953077.4,11.65,85.17,58.8,1,1,1,person,center,0.85,0.63,0
57,1778953077.49,11.66,85.12,56.3,1,1,1,person,center,0.85,0.63,0
58,1778953077.57,11.65,85.2,57.6,1,1,1,person,center,0.85,0.63,0
59,1778953077.66,11.71,84.81,58.8,1,1,1,person,center,0.85,0.63,0
60,1778953077.75,11.66,85.07,56.2,1,1,1,person,center,0.85,0.63,0
61,1778953077.83,11.7,84.84,57.6,1,1,1,person,center,0.85,0.71,0
62,1778953077.92,11.59,85.66,61.1,1,1,1,person,center,0.85,0.69,0
63,1778953078.01,11.6,85.58,54.8,1,1,1,person,center,0.85,0.67,0
64,1778953078.09,11.55,85.94,57.6,1,1,1,person,center,0.85,0.66,0
65,1778953078.18,11.57,85.8,64.1,1,1,1,person,center,0.85,0.65,0
66,1778953078.26,11.73,84.62,56.2,1,1,1,person,center,0.85,0.64,0
67,1778953078.36,10.76,92.29,66.7,1,1,1,person,center,0.85,0.64,0
68,1778953078.44,11.6,85.49,60.0,1,1,1,person,center,0.85,0.64,0
69,1778953078.53,11.49,86.4,58.8,1,1,1,person,center,0.85,0.63,0
70,1778953078.62,11.65,85.15,61.1,1,1,1,person,center,0.85,0.63,0
71,1778953078.7,11.72,84.74,58.8,1,1,1,person,center,0.85,0.63,0
72,1778953078.79,11.72,84.63,58.1,1,1,1,person,center,0.85,0.63,0
73,1778953078.87,11.56,85.84,58.8,1,1,1,person,center,0.85,0.63,0
74,1778953078.96,11.67,85.03,56.3,1,1,1,person,center,0.85,0.63,0
75,1778953079.05,11.38,87.28,60.0,1,1,1,person,center,0.85,0.63,0
76,1778953079.13,11.75,84.41,58.8,1,1,1,person,center,0.85,0.63,0
77,1778953079.22,11.74,84.59,53.3,1,1,1,person,center,0.85,0.63,0
78,1778953079.31,11.75,84.44,62.2,1,1,1,person,center,0.85,0.63,0
79,1778953079.39,11.54,86.05,62.9,1,1,1,person,center,0.85,0.63,0
80,1778953079.48,11.69,84.91,61.1,1,1,1,person,center,0.86,0.63,0
81,1778953079.56,11.74,84.54,57.6,1,1,1,person,center,0.86,0.63,0
82,1778953079.65,11.66,85.1,60.0,1,1,1,person,center,0.86,0.63,0
83,1778953079.73,11.73,84.64,58.8,1,1,1,person,center,0.86,0.63,0
84,1778953079.82,11.7,84.81,56.3,1,1,1,person,center,0.86,0.63,0
85,1778953079.91,11.65,85.24,61.1,1,1,1,person,center,0.86,0.63,0
86,1778953079.99,11.62,85.4,54.8,1,1,1,person,center,0.85,0.63,0
87,1778953080.08,11.65,85.0,59.4,1,1,1,person,center,0.85,0.63,0
88,1778953080.16,11.73,84.6,54.8,1,1,1,person,center,0.85,0.63,0
89,1778953080.25,11.68,85.0,57.6,1,1,1,person,center,0.85,0.63,0
90,1778953080.34,11.77,84.35,56.2,1,1,1,person,center,0.85,0.63,0
91,1778953080.42,11.73,84.6,61.1,1,1,1,person,center,0.85,0.63,0
92,1778953080.51,11.66,85.09,61.1,1,1,1,person,center,0.85,0.63,0
93,1778953080.59,11.76,84.38,61.1,1,1,1,person,center,0.85,0.63,0
94,1778953080.68,11.63,85.35,60.0,1,1,1,person,center,0.85,0.63,0
95,1778953080.76,11.75,84.46,58.1,1,1,1,person,center,0.85,0.63,0
96,1778953080.85,11.69,84.86,62.2,1,1,1,person,center,0.85,0.63,0
97,1778953080.94,11.72,84.69,57.6,1,1,1,person,center,0.85,0.63,0
98,1778953081.02,11.51,86.25,57.6,1,1,1,person,center,0.85,0.63,0
99,1778953081.11,11.69,84.91,54.8,1,1,1,person,center,0.85,0.63,0
100,1778953081.19,11.69,84.89,62.2,1,1,1,person,center,0.85,0.63,0
101,1778953081.28,11.69,84.91,56.3,1,1,1,person,center,0.85,0.63,0
102,1778953081.36,11.83,83.91,58.8,1,1,1,person,center,0.85,0.63,0
103,1778953081.45,11.63,85.37,58.8,1,1,1,person,center,0.85,0.63,0
104,1778953081.54,11.71,84.75,56.3,1,1,1,person,center,0.85,0.63,0
105,1778953081.62,11.66,85.13,58.8,1,1,1,person,center,0.85,0.63,0
106,1778953081.71,11.75,84.43,59.4,1,1,1,person,center,0.85,0.63,0
107,1778953081.79,11.61,85.5,61.1,1,1,1,person,center,0.85,0.63,0
108,1778953081.88,11.68,84.94,57.6,1,1,1,person,center,0.85,0.63,0
109,1778953081.97,11.65,85.21,63.2,1,1,1,person,center,0.85,0.63,0
110,1778953082.05,11.58,85.67,57.6,1,1,1,person,center,0.85,0.63,0
111,1778953082.14,11.63,85.39,57.6,1,1,1,person,center,0.85,0.63,0
112,1778953082.23,11.62,85.41,57.6,1,1,1,person,center,0.85,0.63,0
113,1778953082.31,11.62,85.37,54.8,1,1,1,person,center,0.85,0.63,0
114,1778953082.4,11.65,85.14,60.0,1,1,1,person,center,0.85,0.63,0
115,1778953082.48,11.66,85.16,60.0,1,1,1,person,center,0.85,0.63,0
116,1778953082.57,11.75,84.45,61.1,1,1,1,person,center,0.85,0.63,0
117,1778953082.65,11.64,85.28,60.6,1,1,1,person,center,0.85,0.63,0
118,1778953082.74,11.71,84.74,58.8,1,1,1,person,center,0.85,0.63,0
119,1778953082.83,11.58,85.72,57.6,1,1,1,person,center,0.85,0.63,0
120,1778953082.91,11.68,84.94,61.1,1,1,1,person,center,0.85,0.63,0
121,1778953083.0,11.31,87.72,61.1,1,1,1,person,center,0.85,0.63,0
122,1778953083.09,11.72,84.71,56.3,1,1,1,person,center,0.85,0.63,0
123,1778953083.17,11.56,85.88,61.1,1,1,1,person,center,0.85,0.63,0
124,1778953083.26,11.73,84.6,56.3,1,1,1,person,center,0.85,0.63,0
125,1778953083.35,10.7,92.8,65.9,1,1,1,person,center,0.85,0.63,0
126,1778953083.44,11.5,86.26,60.0,1,1,1,person,center,0.85,0.63,0
127,1778953083.53,11.78,84.2,61.8,1,1,1,person,center,0.85,0.63,0
128,1778953083.61,11.75,84.47,57.6,1,1,1,person,center,0.85,0.63,0
129,1778953083.7,11.73,84.65,58.8,1,1,1,person,center,0.85,0.63,0
130,1778953083.78,11.7,84.83,56.3,1,1,1,person,center,0.85,0.63,0
131,1778953083.87,11.71,84.76,56.3,1,1,1,person,center,0.85,0.63,0
132,1778953083.95,11.67,85.07,63.2,1,1,1,person,center,0.85,0.63,0
133,1778953084.04,11.53,86.11,57.6,1,1,1,person,center,0.86,0.63,0
134,1778953084.13,11.54,85.99,58.8,1,1,1,person,center,0.86,0.63,0
135,1778953084.21,11.61,85.49,61.1,1,1,1,person,center,0.86,0.63,0
136,1778953084.3,11.69,84.92,59.4,1,1,1,person,center,0.86,0.63,0
137,1778953084.39,11.46,86.61,62.2,1,1,1,person,center,0.86,0.63,0
138,1778953084.47,11.7,84.8,61.1,1,1,1,person,center,0.86,0.63,0
139,1778953084.56,11.67,85.11,58.8,1,1,1,person,center,0.85,0.63,0
140,1778953084.64,11.72,84.7,56.3,1,1,1,person,center,0.86,0.63,0
141,1778953084.73,11.72,84.7,57.6,1,1,1,person,center,0.86,0.63,0
142,1778953084.82,11.72,84.69,56.3,1,1,1,person,center,0.86,0.63,0
