frame,timestamp,fps,latency_ms,cpu_percent,detections_count,active_tracks,track_ids,labels,directions,proximities,risk_scores,missing_tracks
0,1778953249.09,0.73,144.95,18.7,1,1,1,person,center,0.98,0.0,0
1,1778953249.18,11.62,85.43,55.9,1,1,1,person,center,0.98,0.69,0
2,1778953249.26,11.71,84.79,61.1,1,1,1,person,center,0.97,0.69,0
3,1778953249.35,11.64,85.33,54.8,1,1,1,person,center,0.96,0.68,0
4,1778953249.44,11.77,84.38,60.0,0,0,,,,,,1
5,1778953249.52,11.86,83.71,62.2,0,0,,,,,,1
6,1778953249.61,11.48,86.46,62.9,0,0,,,,,,1
7,1778953249.69,11.89,83.48,60.0,0,0,,,,,,1
8,1778953249.78,11.78,84.25,59.4,0,0,,,,,,1
9,1778953249.86,11.74,84.54,56.3,1,1,2,orange,center,0.97,0.0,1
10,1778953249.95,11.76,84.45,62.2,1,1,1,person,center,0.97,0.68,1
11,1778953250.04,11.5,86.37,58.8,1,1,1,person,center,0.96,0.68,1
12,1778953250.12,11.83,83.95,57.6,0,0,,,,,,2
13,1778953250.21,11.68,85.04,60.0,1,1,3,dining table,center,0.96,0.0,2
14,1778953250.29,11.71,84.79,57.6,1,1,1,person,center,0.97,0.69,2
15,1778953250.38,11.78,84.27,63.2,1,1,1,person,center,0.97,0.69,2
16,1778953250.46,11.61,85.53,56.3,1,1,1,person,center,0.98,0.7,2
17,1778953250.55,11.73,84.67,60.0,1,1,1,person,center,0.97,0.69,2
18,1778953250.63,11.73,84.66,60.0,1,1,1,person,center,0.98,0.75,2
19,1778953250.72,11.67,85.11,56.3,1,1,1,person,center,0.97,0.78,2
20,1778953250.81,11.76,84.4,57.6,2,2,"1,4","person,person","center,right","0.97,0.96","0.69,0.0",1
21,1778953250.89,11.76,84.45,56.3,1,1,4,person,right,0.98,0.72,2
22,1778953250.98,11.68,85.02,63.9,1,1,4,person,right,0.99,0.72,2
23,1778953251.06,11.49,86.39,57.1,1,1,4,person,right,0.99,0.7,2
24,1778953251.15,11.67,85.06,62.2,1,1,4,person,right,0.99,0.7,1
25,1778953251.24,11.8,84.15,58.1,1,1,4,person,right,0.98,0.7,1
26,1778953251.32,11.66,85.15,60.0,2,2,"4,5","person,cell phone","right,center","1.0,0.23","0.72,0.0",1
27,1778953251.41,11.8,84.1,57.6,1,1,4,person,right,1.0,0.71,2
28,1778953251.49,11.71,84.81,56.3,1,1,4,person,right,0.98,0.71,2
29,1778953251.58,11.71,84.78,61.1,1,1,4,person,center,0.9,0.7,2
30,1778953251.66,11.6,85.61,57.6,1,1,4,person,center,0.87,0.7,2
31,1778953251.75,11.78,84.29,61.1,1,1,4,person,center,0.84,0.68,1
32,1778953251.83,11.7,84.82,60.0,1,1,4,person,center,0.82,0.66,1
33,1778953251.92,11.77,84.36,57.6,1,1,4,person,center,0.79,0.64,1
34,1778953252.01,11.57,85.79,63.2,1,1,4,person,center,0.75,0.61,1
35,1778953252.09,11.63,85.33,57.6,1,1,4,person,center,0.72,0.59,1
36,1778953252.18,11.76,84.44,57.6,1,1,4,person,center,0.69,0.57,1
37,1778953252.26,11.69,84.91,54.8,1,1,4,person,center,0.66,0.56,0
