frame,timestamp,fps,latency_ms,cpu_percent,detections_count,active_tracks,track_ids,labels,directions,proximities,risk_scores,missing_tracks
0,1778953503.45,0.79,150.63,18.9,1,1,1,person,right,0.99,0.0,0
1,1778953503.54,11.12,88.99,59.5,1,1,1,person,right,0.99,0.7,0
2,1778953503.63,11.25,88.12,59.5,1,1,1,person,right,0.99,0.7,0
3,1778953503.72,11.26,88.1,59.5,1,1,1,person,right,0.99,0.7,0
4,1778953503.81,11.18,88.66,61.5,1,1,1,person,right,0.99,0.71,0
5,1778953503.9,11.25,88.22,54.5,1,1,1,person,right,0.99,0.7,0
6,1778953503.99,11.22,88.36,60.0,1,1,1,person,right,0.97,0.7,0
7,1778953504.08,10.97,90.41,51.5,1,1,1,person,right,0.87,0.67,0
8,1778953504.18,10.5,94.35,64.9,1,1,1,person,right,0.81,0.65,0
9,1778953504.27,11.17,88.78,59.5,1,1,1,person,right,0.79,0.65,0
10,1778953504.36,11.21,88.42,55.9,1,1,1,person,right,0.77,0.63,0
11,1778953504.45,11.12,89.22,57.1,2,2,"1,2","person,tv","center,right","0.73,0.23","0.62,0.0",0
12,1778953504.54,11.18,88.69,58.3,2,2,"1,3","person,microwave","center,right","0.69,0.25","0.61,0.0",1
13,1778953504.63,11.12,89.18,60.5,1,1,1,person,center,0.66,0.61,2
14,1778953504.71,11.25,88.11,58.3,1,1,1,person,center,0.62,0.59,2
15,1778953504.8,11.2,88.59,59.5,2,2,"1,4","person,refrigerator","center,right","0.6,0.69","0.57,0.0",2
16,1778953504.89,11.31,87.56,57.1,0,0,,,,,,4
17,1778953504.98,11.3,87.73,60.5,0,0,,,,,,4
18,1778953505.07,11.01,90.05,59.5,2,2,"1,3","person,microwave","center,right","0.35,0.28","0.41,0.22",2
19,1778953505.16,10.95,90.47,59.5,1,1,3,microwave,right,0.29,0.23,3
20,1778953505.25,11.25,88.02,55.9,1,1,3,microwave,right,0.29,0.22,3
21,1778953505.34,11.23,88.28,53.1,1,1,3,microwave,right,0.29,0.22,3
22,1778953505.43,11.21,88.43,60.5,1,1,3,microwave,right,0.3,0.22,2
23,1778953505.52,11.27,87.91,57.1,0,0,,,,,,3
24,1778953505.61,11.12,89.11,57.1,1,1,3,microwave,right,0.3,0.21,2
25,1778953505.7,11.21,88.44,58.3,0,0,,,,,,3
26,1778953505.79,11.05,89.72,57.1,1,1,3,microwave,right,0.3,0.21,1
27,1778953505.88,11.11,89.29,59.5,1,1,3,microwave,right,0.3,0.21,1
28,1778953505.97,11.12,89.19,55.9,1,1,3,microwave,right,0.3,0.21,1
29,1778953506.06,11.1,89.29,59.5,0,0,,,,,,1
30,1778953506.15,10.99,90.23,56.8,1,1,3,microwave,right,0.29,0.21,0
31,1778953506.24,11.15,88.98,57.1,1,1,3,microwave,right,0.29,0.21,0
32,1778953506.33,11.09,89.4,61.5,1,1,3,microwave,right,0.29,0.21,0
33,1778953506.42,11.07,89.58,59.5,1,1,3,microwave,right,0.29,0.21,0
34,1778953506.52,11.12,89.12,57.1,1,1,3,microwave,right,0.29,0.21,0
35,1778953506.6,11.17,88.75,57.1,0,0,,,,,,1
36,1778953506.7,11.06,89.59,55.9,1,1,3,microwave,right,0.29,0.21,0
37,1778953506.79,11.06,89.71,60.5,1,1,3,microwave,right,0.29,0.21,0
38,1778953506.88,10.99,90.24,60.5,1,1,3,microwave,right,0.29,0.21,0
39,1778953506.97,11.06,89.67,57.1,1,1,3,microwave,right,0.29,0.21,0
40,1778953507.06,10.88,91.01,57.9,1,1,3,microwave,right,0.29,0.21,0
41,1778953507.15,10.98,90.22,58.3,1,1,3,microwave,right,0.29,0.21,0
42,1778953507.24,11.07,89.57,60.5,1,1,3,microwave,right,0.29,0.21,0
43,1778953507.33,11.05,89.77,59.5,1,1,3,microwave,right,0.29,0.21,0
44,1778953507.42,11.07,89.51,54.3,1,1,3,microwave,right,0.3,0.21,0
45,1778953507.51,11.04,89.87,61.5,1,1,3,microwave,right,0.29,0.21,0
46,1778953507.6,11.14,88.98,57.1,0,0,,,,,,1
47,1778953507.7,11.07,89.47,59.5,1,1,3,microwave,right,0.29,0.21,0
48,1778953507.79,10.96,90.44,62.5,1,1,3,microwave,right,0.29,0.21,0
49,1778953507.88,11.06,89.7,59.5,1,1,3,microwave,right,0.29,0.21,0
50,1778953507.97,11.14,88.91,54.5,1,1,3,microwave,right,0.29,0.21,0
51,1778953508.06,10.88,91.18,60.0,1,1,3,microwave,right,0.29,0.21,0
52,1778953508.15,11.16,88.79,60.5,1,1,3,microwave,right,0.29,0.21,0
53,1778953508.24,11.13,89.15,57.1,1,1,3,microwave,right,0.29,0.21,0
54,1778953508.33,11.09,89.4,60.5,1,1,3,microwave,right,0.29,0.21,0
55,1778953508.42,11.16,88.88,55.9,1,1,3,microwave,right,0.29,0.21,0
56,1778953508.51,11.16,88.83,59.5,1,1,3,microwave,right,0.29,0.21,0
57,1778953508.6,11.21,88.5,57.1,1,1,3,microwave,right,0.29,0.21,0
58,1778953508.69,11.11,89.19,59.5,1,1,3,microwave,right,0.29,0.21,0
59,1778953508.78,11.14,89.0,55.6,1,1,3,microwave,right,0.29,0.21,0
