frame,fps,latency_ms,cpu_percent,raw_messages,filtered_messages,blocked_messages,messages
0,0.74,142.66,18.5,2,2,0,person on your right | microwave ahead
1,11.57,85.75,62.9,2,0,2,
2,11.74,84.55,57.6,2,0,2,
3,11.87,83.63,50.0,2,0,2,
4,11.81,84.06,58.8,2,0,2,
5,11.89,83.5,63.9,1,0,1,
6,11.86,83.68,58.8,2,0,2,
7,11.91,83.29,57.6,3,1,2,refrigerator on your left
8,11.8,84.04,57.6,2,0,2,
9,10.22,97.2,57.1,1,0,1,
10,11.98,82.81,62.2,2,0,2,
11,11.83,83.9,64.9,1,0,1,
12,11.78,84.23,56.3,2,0,2,
13,11.81,84.06,56.2,2,0,2,
14,11.9,83.4,56.3,3,0,3,
15,11.82,83.99,59.4,2,0,2,
16,11.81,84.03,61.1,2,0,2,
17,11.87,83.6,57.6,2,0,2,
18,11.68,84.93,56.3,3,0,3,
19,11.84,83.79,58.8,2,0,2,
20,11.78,84.18,64.9,2,0,2,
21,11.72,84.64,58.8,1,0,1,
22,11.86,83.63,60.6,2,0,2,
23,11.78,84.25,57.1,2,0,2,
24,11.46,86.55,60.0,3,0,3,
25,11.7,84.84,61.1,1,0,1,
26,11.73,84.54,58.8,2,0,2,
27,11.64,85.24,56.2,2,0,2,
28,11.64,85.24,59.4,2,0,2,
29,11.62,85.42,58.8,2,0,2,
30,11.74,84.48,58.8,2,0,2,
31,11.73,84.62,54.8,2,0,2,
32,11.56,85.84,61.1,2,0,2,
33,11.7,84.84,60.0,2,0,2,
34,11.72,84.65,56.3,1,0,1,
35,11.73,84.61,58.8,2,0,2,
36,11.61,85.45,61.1,1,0,1,
37,11.64,85.27,56.3,2,0,2,
38,11.79,84.13,62.2,2,0,2,
39,11.69,84.88,58.8,2,0,2,
40,11.66,85.09,61.1,2,0,2,
41,11.66,85.14,62.9,2,0,2,
42,11.73,84.57,58.8,2,0,2,
43,11.74,84.55,61.1,2,0,2,
44,11.72,84.64,57.6,2,0,2,
45,11.76,84.37,60.0,2,0,2,
46,11.75,84.41,56.3,2,0,2,
47,11.58,85.71,58.8,2,0,2,
48,11.59,85.6,60.0,2,0,2,
49,11.66,85.14,61.1,2,0,2,
50,11.81,84.03,58.8,2,0,2,
51,11.62,85.37,57.6,2,0,2,
52,11.72,84.61,60.0,2,0,2,
53,11.62,85.37,58.8,2,0,2,
54,11.69,84.85,63.9,2,0,2,
55,11.51,86.18,57.6,2,0,2,
56,11.6,85.52,57.1,2,0,2,
57,11.59,85.62,64.9,2,0,2,
58,11.58,85.65,54.5,2,0,2,
59,11.47,86.52,61.1,2,2,0,person on your right | microwave ahead
60,11.55,85.89,62.2,2,0,2,
61,11.66,85.14,56.3,2,0,2,
62,11.66,85.12,57.6,2,0,2,
63,11.65,85.17,56.3,2,0,2,
64,11.67,85.02,57.6,2,0,2,
65,11.67,85.03,58.8,2,0,2,
66,11.64,85.21,60.0,2,0,2,
67,9.26,107.38,56.8,2,0,2,
68,11.62,85.37,60.0,2,0,2,
69,11.57,85.75,60.0,2,0,2,
70,11.56,85.81,61.1,2,0,2,
71,11.63,85.34,58.8,2,0,2,
72,11.66,85.08,58.8,2,0,2,
73,11.66,85.08,54.8,2,0,2,
74,11.64,85.26,61.1,2,0,2,
75,11.62,85.39,54.8,2,0,2,
76,11.84,83.75,62.2,2,0,2,
77,11.63,85.34,57.6,2,0,2,
78,11.66,85.08,62.2,2,0,2,
79,11.5,86.26,60.6,2,0,2,
80,11.64,85.27,57.6,2,0,2,
81,11.68,84.99,60.0,2,0,2,
82,11.48,86.4,60.0,2,0,2,
83,11.63,85.31,60.0,2,0,2,
84,11.65,85.16,54.8,2,0,2,
85,11.63,85.31,60.0,3,1,2,refrigerator on your left
86,11.54,86.02,56.2,2,0,2,
87,11.67,85.04,58.8,2,0,2,
88,11.65,85.19,58.8,2,0,2,
89,11.54,85.98,57.6,2,0,2,
90,11.67,85.02,61.1,2,0,2,
91,11.65,85.21,54.8,2,0,2,
92,11.6,85.49,62.9,2,0,2,
93,11.46,86.58,60.0,2,0,2,
94,11.64,85.22,54.8,2,0,2,
95,11.61,85.46,61.1,2,0,2,
96,11.63,85.3,54.8,2,0,2,
97,11.58,85.72,58.8,2,0,2,
98,11.75,84.41,60.0,2,0,2,
99,11.58,85.68,58.8,2,0,2,
100,11.7,84.79,62.2,2,0,2,
