frame,fps,latency_ms,cpu_percent,raw_messages,filtered_messages,blocked_messages,messages
0,0.73,142.5,18.3,1,1,0,person ahead
1,11.73,84.6,57.6,1,0,1,
2,11.78,84.31,57.6,1,1,0,person on your right
3,11.64,85.32,60.0,1,0,1,
4,11.81,84.05,56.3,1,0,1,
5,11.85,83.77,58.8,1,0,1,
6,11.75,84.5,64.9,1,0,1,
7,11.77,84.35,61.1,1,0,1,
8,11.71,84.78,54.8,1,0,1,
9,11.71,84.8,61.1,1,0,1,
10,11.76,84.45,56.3,1,0,1,
11,11.7,84.86,60.0,1,0,1,
12,11.66,85.11,60.6,1,0,1,
13,11.64,85.32,57.6,1,0,1,
14,11.45,86.75,57.6,1,0,1,
15,11.75,84.48,61.1,1,0,1,
16,11.76,84.43,56.3,1,0,1,
17,11.75,84.52,56.3,1,0,1,
18,11.61,85.52,60.0,1,0,1,
19,10.92,90.98,63.9,1,0,1,
20,11.68,84.99,58.1,1,0,1,
21,11.73,84.65,58.8,1,0,1,
22,11.72,84.73,54.8,1,0,1,
23,11.76,84.47,60.0,1,0,1,
24,11.69,84.91,56.3,1,0,1,
25,11.76,84.41,58.8,1,1,0,person on your right
26,11.49,86.41,63.2,1,0,1,
27,11.62,85.42,60.6,1,0,1,
28,11.66,85.16,58.8,1,1,0,person on your right
29,11.65,85.25,61.1,1,0,1,
30,11.67,85.08,57.6,1,0,1,
31,11.5,86.34,61.1,1,0,1,
32,11.68,85.02,54.8,1,0,1,
33,11.66,85.2,61.1,1,1,0,person on your right
34,11.75,84.45,58.1,1,0,1,
35,11.7,84.88,61.1,1,0,1,
36,11.64,85.28,60.0,1,0,1,
37,11.37,87.37,58.8,1,0,1,
38,11.66,85.18,61.1,1,0,1,
39,11.62,85.47,58.8,1,0,1,
40,11.72,84.74,60.0,1,1,0,person on your right
41,11.63,85.39,58.8,1,0,1,
42,11.67,85.1,58.8,1,0,1,
43,11.58,85.72,60.6,1,0,1,
44,11.64,85.29,61.1,1,0,1,
45,11.69,84.96,57.6,1,0,1,
46,11.74,84.57,61.1,1,0,1,
47,11.63,85.35,60.0,1,0,1,
48,11.73,84.62,60.0,1,1,0,person on your right
49,11.41,87.07,61.1,1,0,1,
50,11.62,85.47,56.3,1,0,1,
51,11.65,85.21,61.1,1,0,1,
52,11.58,85.72,58.8,1,0,1,
53,11.6,85.58,64.1,1,0,1,
54,11.71,84.76,56.3,1,0,1,
55,11.62,85.46,61.1,1,0,1,
56,11.67,85.06,56.3,1,0,1,
57,11.62,85.44,62.2,1,0,1,
58,11.72,84.71,57.6,1,0,1,
59,11.63,85.41,60.0,1,0,1,
60,11.62,85.43,51.7,1,0,1,
61,11.45,86.74,63.9,1,0,1,
62,11.63,85.34,63.2,1,0,1,
63,11.62,85.43,56.3,1,0,1,
64,11.63,85.39,62.2,1,0,1,
65,11.68,85.04,57.6,1,0,1,
66,11.57,85.79,60.0,1,0,1,
67,11.66,85.17,58.8,1,0,1,
68,11.54,86.0,60.0,1,0,1,
69,11.69,84.98,61.1,1,0,1,
70,11.66,85.13,60.0,1,0,1,
71,11.59,85.71,62.2,1,0,1,
72,11.43,86.83,54.8,1,0,1,
73,11.62,85.46,58.8,1,0,1,
74,11.71,84.76,61.1,1,0,1,
75,11.6,85.57,57.6,1,0,1,
76,11.69,84.93,56.3,1,0,1,
77,10.57,94.01,64.9,1,0,1,
78,11.53,86.15,57.1,1,1,0,person on your right
79,11.57,85.88,63.2,1,0,1,
80,11.63,85.36,57.6,1,0,1,
81,11.55,86.01,57.6,1,0,1,
82,11.59,85.68,61.1,1,0,1,
83,11.6,85.65,53.3,1,0,1,
84,11.39,87.2,60.0,1,1,0,person on your right
85,11.5,86.35,57.6,1,0,1,
86,11.65,85.2,62.2,1,0,1,
87,11.56,85.93,57.6,1,0,1,
88,11.55,85.99,54.8,1,0,1,
89,11.37,87.32,61.1,1,0,1,
90,11.61,85.51,60.0,1,1,0,person on your right
91,11.63,85.38,57.6,1,0,1,
92,11.67,85.05,62.2,1,0,1,
