frame,fps,latency_ms,cpu_percent,raw_messages,filtered_messages,blocked_messages,messages
0,0.73,149.0,18.5,1,1,0,person ahead
1,10.96,90.45,57.1,1,0,1,
2,11.2,88.47,58.3,1,0,1,
3,11.17,88.81,55.9,1,0,1,
4,11.22,88.36,54.5,1,0,1,
5,11.21,88.36,51.6,1,0,1,
6,11.23,88.14,58.3,1,0,1,
7,11.2,88.58,54.5,1,1,0,person ahead
8,11.25,88.09,54.5,1,0,1,
9,11.03,89.79,57.1,1,0,1,
10,11.11,89.16,54.5,1,1,0,person on your left
11,11.24,88.27,51.6,1,0,1,
12,11.18,88.64,57.1,2,1,1,tv ahead
13,11.73,84.43,60.0,2,2,0,person on your left | microwave on your left
14,11.88,83.46,60.6,2,1,1,person on your left
15,11.83,83.88,60.0,2,0,2,
16,11.84,83.78,62.2,0,0,0,
17,11.88,83.48,63.9,1,0,1,
18,10.42,95.23,65.9,1,0,1,
19,11.91,83.3,61.1,2,1,1,tv on your left
20,11.61,85.41,58.8,1,0,1,
21,11.77,84.26,64.9,2,0,2,
22,11.9,83.34,63.2,1,0,1,
23,11.82,83.93,63.2,1,0,1,
24,11.75,84.36,61.8,1,0,1,
25,11.7,84.79,62.2,1,0,1,
26,11.74,84.43,61.1,1,0,1,
27,11.74,84.5,56.3,2,0,2,
28,11.77,84.26,62.9,1,0,1,
29,11.73,84.55,60.0,2,0,2,
30,11.54,85.89,64.1,2,0,2,
31,11.77,84.25,62.9,1,0,1,
32,11.42,86.84,57.6,2,0,2,
33,11.65,85.17,57.1,2,0,2,
34,11.74,84.47,64.9,2,0,2,
35,11.64,85.21,60.0,2,0,2,
36,11.72,84.64,63.2,1,0,1,
37,11.66,85.08,60.0,2,0,2,
38,11.72,84.61,57.6,2,0,2,
39,11.7,84.82,60.6,1,0,1,
40,11.68,84.9,56.3,1,0,1,
41,11.67,85.01,62.2,2,0,2,
42,11.69,84.83,56.3,2,0,2,
43,11.67,84.99,60.0,2,0,2,
44,8.25,120.52,53.1,2,0,2,
45,11.67,85.0,61.1,1,0,1,
46,11.66,85.04,57.6,1,0,1,
47,11.72,84.66,60.0,2,0,2,
48,11.6,85.48,60.0,1,0,1,
49,11.7,84.77,61.1,1,0,1,
50,11.87,83.54,62.9,1,0,1,
51,11.75,84.39,60.0,2,0,2,
52,11.54,85.85,58.8,2,0,2,
53,11.77,84.25,58.8,1,0,1,
54,11.67,84.99,56.3,1,0,1,
55,11.39,86.98,58.8,1,0,1,
56,11.67,84.98,59.4,2,0,2,
57,11.7,84.78,54.8,1,0,1,
58,11.72,84.65,62.2,1,0,1,
59,11.72,84.6,60.0,2,0,2,
60,11.75,84.34,63.9,1,0,1,
61,11.78,84.19,58.8,1,0,1,
62,11.66,85.05,58.8,1,0,1,
63,11.76,84.38,61.1,1,0,1,
64,11.69,84.82,60.6,1,0,1,
65,11.74,84.47,56.3,1,0,1,
66,11.41,86.94,64.1,2,0,2,
67,11.4,86.75,60.0,1,0,1,
68,11.57,85.69,63.2,2,0,2,
69,11.73,84.56,53.3,1,0,1,
70,11.76,84.33,61.1,1,0,1,
71,11.55,85.83,56.3,1,1,0,microwave on your left
72,11.54,85.92,60.0,1,0,1,
73,11.53,85.99,61.1,1,0,1,
74,11.5,86.25,57.6,1,0,1,
75,11.7,84.68,60.0,1,0,1,
76,11.06,89.65,66.7,2,0,2,
77,11.74,84.47,57.6,2,1,1,tv on your left
78,11.57,85.71,62.9,1,0,1,
79,11.65,85.13,57.6,1,0,1,
80,11.73,84.54,63.2,2,0,2,
81,11.66,85.02,58.8,2,0,2,
82,11.41,86.89,61.1,1,0,1,
83,11.79,84.14,60.0,1,0,1,
84,11.67,84.96,60.0,2,0,2,
85,11.66,85.0,56.7,2,0,2,
86,11.74,84.48,62.2,2,0,2,
87,11.57,85.73,58.8,1,0,1,
88,11.76,84.37,64.9,1,0,1,
89,11.72,84.58,57.6,2,0,2,
90,11.62,85.34,61.1,2,0,2,
91,11.74,84.52,56.3,1,0,1,
92,11.69,84.86,54.8,2,0,2,
