frame,fps,latency_ms,cpu_percent,raw_messages,filtered_messages,blocked_messages,messages
0,0.73,143.54,18.5,1,1,0,person ahead
1,11.65,85.2,54.8,1,0,1,
2,11.71,84.82,61.1,1,0,1,
3,11.73,84.66,58.8,1,0,1,
4,11.65,85.24,62.2,1,0,1,
5,11.63,85.36,57.6,1,0,1,
6,11.64,85.29,62.2,1,0,1,
7,11.68,85.07,58.8,1,0,1,
8,10.77,92.27,67.5,1,0,1,
9,11.64,85.36,60.0,1,0,1,
10,11.7,84.88,63.2,1,0,1,
11,11.71,84.84,61.1,1,0,1,
12,11.76,84.41,57.6,1,0,1,
13,11.76,84.43,61.1,1,1,0,person ahead
14,11.78,84.29,60.0,1,0,1,
15,11.7,84.91,58.8,1,0,1,
16,11.63,85.39,61.1,1,0,1,
17,11.71,84.82,57.6,1,1,0,person ahead
18,11.58,85.77,61.1,1,0,1,
19,11.66,85.13,56.2,1,0,1,
20,11.5,86.15,60.0,1,0,1,
21,11.73,84.65,63.9,1,1,0,person on your left
22,11.77,84.39,56.2,1,0,1,
23,11.75,84.51,57.6,1,0,1,
24,11.7,84.84,63.2,1,0,1,
25,11.73,84.68,60.0,1,0,1,
26,11.75,84.48,58.8,1,0,1,
27,11.65,85.21,61.1,1,0,1,
28,11.4,87.15,56.2,1,0,1,
29,11.72,84.65,56.3,1,0,1,
30,11.65,85.23,60.0,1,1,0,person on your left
31,11.78,84.29,57.6,1,0,1,
32,11.63,85.42,56.3,1,0,1,
33,11.58,85.77,61.1,1,0,1,
34,11.53,86.13,60.5,1,0,1,
35,11.68,85.03,56.3,1,0,1,
36,11.62,85.48,62.2,1,0,1,
37,11.61,85.57,57.6,1,0,1,
38,11.6,85.62,60.0,1,0,1,
39,11.47,86.57,63.2,2,1,1,person on your left
40,11.46,86.67,58.8,1,0,1,
41,11.67,85.08,57.6,1,0,1,
42,11.64,85.34,61.1,2,0,2,
43,11.72,84.72,54.8,1,0,1,
44,11.7,84.9,60.0,1,0,1,
45,11.77,84.38,58.8,1,0,1,
46,11.72,84.73,56.3,1,0,1,
47,11.66,85.19,63.2,1,0,1,
48,11.74,84.58,56.3,1,0,1,
49,11.62,85.46,62.2,1,0,1,
50,11.85,83.79,60.6,1,0,1,
51,11.69,84.95,51.6,1,0,1,
52,11.59,85.66,58.8,1,0,1,
53,11.7,84.89,59.4,1,0,1,
