frame,fps,latency_ms,cpu_percent,raw_messages,context_messages,decision_messages,priority_scores,priority_levels,final_messages
0,0.76,140.57,18.4,1,1,1,0.714,HIGH,Person very close ahead
1,11.85,83.72,56.3,1,0,0,,,
2,11.87,83.58,57.6,2,1,0,,,
3,12.05,82.4,56.7,1,0,0,,,
4,12.0,82.64,58.8,1,0,0,,,
5,12.03,82.46,53.6,1,0,0,,,
6,11.98,82.76,57.6,1,0,0,,,
7,12.0,82.73,60.6,1,0,0,,,
8,11.94,83.1,62.2,1,0,0,,,
9,11.81,84.04,62.2,1,0,0,,,
10,11.04,89.9,64.7,1,0,0,,,
11,11.91,83.36,61.1,1,0,0,,,
12,11.97,82.84,63.9,1,0,0,,,
13,12.01,82.59,58.8,1,0,0,,,
14,11.88,83.48,60.6,1,0,0,,,
15,11.96,82.98,62.2,2,1,0,,,
16,11.9,83.36,61.8,2,0,0,,,
17,12.03,82.46,57.6,2,0,0,,,
18,11.95,82.98,60.6,2,0,0,,,
19,11.87,83.62,57.6,1,0,0,,,
20,12.0,82.69,60.6,2,0,0,,,
21,11.98,82.85,57.6,1,0,0,,,
22,11.43,86.8,56.3,2,0,0,,,
23,12.0,82.73,58.1,2,0,0,,,
24,11.82,83.93,57.6,1,0,0,,,
25,11.86,83.69,59.4,2,0,0,,,
26,11.89,83.45,58.8,1,0,0,,,
27,11.84,83.83,65.8,1,0,0,,,
28,11.8,84.09,58.8,1,0,0,,,
29,11.81,84.07,56.2,1,0,0,,,
30,11.87,83.56,56.7,1,0,0,,,
31,11.81,84.05,57.6,1,0,0,,,
32,11.8,84.08,63.9,2,0,0,,,
33,11.84,83.83,57.6,1,0,0,,,
34,11.57,85.74,62.2,1,0,0,,,
35,11.83,83.86,61.1,1,0,0,,,
36,11.87,83.59,58.1,1,0,0,,,
37,11.85,83.75,56.2,1,0,0,,,
38,11.82,83.91,60.6,2,0,0,,,
39,11.81,84.04,53.3,2,0,0,,,
40,11.72,84.69,64.9,2,0,0,,,
41,11.83,83.87,58.8,2,0,0,,,
42,11.78,84.21,56.2,2,0,0,,,
43,11.8,84.14,60.0,2,0,0,,,
44,11.5,86.27,63.2,2,0,0,,,
45,11.7,84.87,60.0,2,1,0,,,
46,11.4,87.09,60.0,2,0,0,,,
47,11.76,84.43,57.6,2,0,0,,,
48,11.68,84.99,56.3,3,0,0,,,
49,11.75,84.51,62.9,3,0,0,,,
50,11.81,84.02,58.8,2,0,0,,,
51,11.6,85.53,60.0,2,0,0,,,
52,11.76,84.39,58.8,2,0,0,,,
53,11.79,84.2,56.3,2,0,0,,,
54,11.64,85.28,60.0,2,0,0,,,
55,11.78,84.23,59.4,2,0,0,,,
56,11.65,85.2,56.3,2,0,0,,,
57,11.52,86.17,58.8,2,0,0,,,
58,11.68,84.96,62.2,2,0,0,,,
59,11.67,85.02,62.2,2,1,1,0.769,HIGH,Person very close ahead
60,11.62,85.39,62.2,2,0,0,,,
61,11.58,85.69,61.8,2,0,0,,,
62,11.71,84.73,62.2,2,0,0,,,
63,11.66,85.13,58.8,2,0,0,,,
64,11.64,85.24,60.0,2,0,0,,,
65,11.77,84.35,58.8,2,0,0,,,
66,11.69,84.91,60.0,2,0,0,,,
67,11.76,84.42,58.8,2,0,0,,,
68,11.78,84.19,59.4,2,0,0,,,
69,10.35,95.97,61.5,2,0,0,,,
70,11.64,85.23,62.2,2,0,0,,,
71,11.78,84.29,57.6,2,0,0,,,
72,11.73,84.59,62.2,2,0,0,,,
73,11.83,83.91,60.0,2,0,0,,,
74,11.75,84.46,60.6,2,0,0,,,
75,11.71,84.78,54.8,2,0,0,,,
76,11.87,83.58,61.1,2,0,0,,,
77,11.7,84.85,57.6,2,0,0,,,
78,11.59,85.6,60.0,3,1,0,,,
79,11.73,84.58,57.6,3,0,0,,,
80,11.56,85.87,60.6,3,0,0,,,
81,11.36,87.37,58.8,3,0,0,,,
82,11.69,84.83,61.1,2,0,0,,,
83,11.63,85.34,61.1,3,0,0,,,
84,11.58,85.69,61.8,3,0,0,,,
85,11.68,85.01,62.2,2,0,0,,,
86,11.64,85.22,58.8,2,0,0,,,
87,11.67,85.05,62.2,3,0,0,,,
88,11.71,84.76,54.8,2,0,0,,,
89,11.68,84.98,62.2,2,0,0,,,
90,11.63,85.3,62.9,2,0,0,,,
91,11.58,85.71,58.3,2,0,0,,,
92,11.54,85.98,58.1,2,0,0,,,
93,11.6,85.53,60.0,2,0,0,,,
94,11.64,85.23,61.1,2,0,0,,,
95,11.65,85.21,60.0,2,0,0,,,
96,11.58,85.66,60.0,2,0,0,,,
97,11.7,84.84,56.3,3,0,0,,,
98,11.53,86.05,64.1,3,0,0,,,
99,11.66,85.16,57.6,3,0,0,,,
100,11.74,84.52,57.6,3,0,0,,,
101,11.74,84.56,50.0,3,0,0,,,
102,11.63,85.31,61.1,3,0,0,,,
103,11.8,84.15,54.8,3,0,0,,,
104,11.59,85.59,60.6,3,1,0,,,
105,11.75,84.47,60.0,3,0,0,,,
106,11.75,84.42,54.8,3,0,0,,,
107,11.68,84.99,62.2,3,0,0,,,
108,11.74,84.49,57.6,3,0,0,,,
109,11.66,85.15,63.2,3,0,0,,,
110,11.66,85.1,57.6,3,0,0,,,
111,11.66,85.12,62.2,3,0,0,,,
112,11.72,84.64,60.0,3,0,0,,,
113,11.81,84.09,58.1,3,0,0,,,
114,11.58,85.67,61.1,3,0,0,,,
115,11.7,84.81,58.8,3,0,0,,,
116,11.64,84.95,58.8,3,0,0,,,
117,11.76,84.42,54.8,3,0,0,,,
118,11.68,84.96,61.1,3,1,1,0.773,HIGH,Person very close ahead
119,11.77,84.33,60.0,3,0,0,,,
120,11.8,84.12,54.8,3,0,0,,,
121,11.6,85.6,61.1,3,0,0,,,
122,11.76,84.38,58.8,3,0,0,,,
123,11.73,84.61,60.0,3,0,0,,,
124,11.76,84.38,62.9,3,0,0,,,
125,11.78,84.25,54.8,3,0,0,,,
126,11.69,84.89,60.0,3,0,0,,,
127,10.23,97.09,65.9,3,0,0,,,
128,11.78,84.19,54.8,3,0,0,,,
129,11.63,85.37,63.2,3,0,0,,,
130,11.78,84.21,58.1,3,0,0,,,
131,11.76,84.4,61.1,3,0,0,,,
132,11.79,84.16,58.8,3,0,0,,,
133,11.69,84.91,56.3,3,0,0,,,
134,11.81,84.0,63.9,3,0,0,,,
135,11.22,88.48,60.5,3,0,0,,,
136,11.79,84.13,59.4,3,0,0,,,
137,11.64,85.24,58.8,3,1,0,,,
138,11.72,84.61,57.6,3,0,0,,,
139,11.26,88.14,60.0,3,0,0,,,
140,11.71,84.75,60.0,3,0,0,,,
141,11.77,84.28,59.4,3,0,0,,,
142,11.79,84.11,57.6,3,0,0,,,
143,11.77,84.29,62.2,3,0,0,,,
144,11.74,84.48,62.2,3,0,0,,,
145,11.71,84.71,58.1,2,0,0,,,
146,11.8,84.07,61.1,2,0,0,,,
147,11.75,84.46,63.9,3,0,0,,,
148,11.75,84.41,54.8,2,0,0,,,
149,11.73,84.61,58.8,3,0,0,,,
150,11.44,86.71,61.1,2,0,0,,,
151,11.71,84.73,61.8,2,0,0,,,
152,11.72,84.59,58.8,2,0,0,,,
153,11.83,83.87,57.6,2,0,0,,,
154,11.76,84.4,63.9,2,0,0,,,
155,11.76,84.41,60.0,2,0,0,,,
156,11.77,84.28,58.8,2,0,0,,,
157,11.78,84.26,60.0,2,0,0,,,
158,11.79,84.19,60.6,2,0,0,,,
159,11.69,84.89,56.3,2,0,0,,,
160,11.73,84.58,62.2,2,0,0,,,
161,11.75,84.45,56.2,2,0,0,,,
162,11.48,86.45,57.6,2,0,0,,,
163,11.7,84.8,56.7,2,1,0,,,
164,11.78,84.22,62.2,2,0,0,,,
165,11.78,84.24,60.0,2,0,0,,,
166,11.69,84.83,60.6,2,0,0,,,
167,11.78,84.24,60.0,2,0,0,,,
168,11.62,85.4,61.1,2,0,0,,,
169,11.79,84.2,57.6,2,0,0,,,
170,11.76,84.33,62.9,2,0,0,,,
171,11.7,84.82,60.0,1,0,0,,,
172,11.74,84.54,54.8,2,0,0,,,
173,11.75,84.48,63.2,1,0,0,,,
174,11.51,86.22,58.8,1,0,0,,,
175,11.68,84.91,61.8,1,0,0,,,
176,11.58,85.7,54.8,1,0,0,,,
177,11.73,84.58,58.8,1,1,1,0.765,HIGH,Person very close ahead
178,11.95,83.03,56.2,1,0,0,,,
179,11.86,83.68,58.1,1,0,0,,,
180,11.79,84.14,54.8,1,0,0,,,
181,11.82,83.99,62.2,1,0,0,,,
182,11.77,84.26,61.8,1,0,0,,,
183,11.87,83.65,54.8,1,0,0,,,
184,11.8,84.05,60.0,1,0,0,,,
185,10.99,90.4,68.4,1,0,0,,,
186,11.84,83.82,56.3,1,0,0,,,
187,11.81,84.03,62.9,1,0,0,,,
188,11.86,83.63,61.1,1,0,0,,,
189,11.8,84.08,61.1,1,0,0,,,
190,11.84,83.83,56.7,1,0,0,,,
191,11.81,84.05,56.3,1,0,0,,,
192,11.85,83.71,61.1,1,0,0,,,
193,11.83,83.89,63.9,1,0,0,,,
