frame,fps,latency_ms,cpu_percent,raw_messages,context_messages,decision_messages,priority_scores,priority_levels,final_messages
0,0.76,142.89,18.8,2,2,1,0.704,HIGH,Person very close ahead
1,11.73,84.67,57.6,2,0,0,,,
2,11.78,84.25,57.6,2,0,0,,,
3,11.72,84.77,58.8,1,0,0,,,
4,11.88,83.54,64.9,1,0,0,,,
5,11.89,83.56,58.8,2,0,0,,,
6,11.79,84.2,56.3,1,0,0,,,
7,11.76,84.43,56.3,2,1,1,0.736,HIGH,Person very close ahead
8,11.85,83.75,60.0,1,0,0,,,
9,11.76,84.46,64.1,1,0,0,,,
10,11.85,83.74,56.3,1,0,0,,,
11,11.81,84.07,58.1,1,0,0,,,
12,11.66,85.13,61.1,1,0,0,,,
13,11.91,83.4,58.8,2,1,1,0.694,MEDIUM,Person very close ahead
14,12.02,82.6,57.6,2,0,0,,,
15,11.85,83.78,60.6,2,0,0,,,
16,11.86,83.72,57.6,2,0,0,,,
17,11.85,83.8,57.6,2,1,1,0.672,MEDIUM,Person ahead
18,11.87,83.62,60.6,1,0,0,,,
19,11.85,83.81,56.3,2,0,0,,,
20,11.76,84.44,61.1,2,0,0,,,
21,11.86,83.73,61.1,2,0,0,,,
22,11.93,83.21,60.6,2,0,0,,,
23,11.62,85.46,60.0,2,0,0,,,
24,11.73,84.64,61.1,1,1,1,0.633,MEDIUM,Person on your right
25,11.77,84.43,60.0,1,0,0,,,
26,11.78,84.27,56.3,1,0,0,,,
27,11.79,84.21,61.1,1,0,0,,,
28,11.73,84.63,61.1,2,0,0,,,
29,11.82,84.01,58.8,1,0,0,,,
30,11.7,84.83,58.8,1,0,0,,,
31,11.75,84.5,63.9,1,0,0,,,
32,11.76,84.38,56.3,2,0,0,,,
33,11.7,84.88,56.3,2,0,0,,,
34,11.76,84.44,58.8,2,0,0,,,
35,11.59,85.71,58.8,2,0,0,,,
36,11.77,84.37,60.0,2,0,0,,,
37,11.78,84.26,58.8,1,0,0,,,
38,11.7,84.87,54.8,1,0,0,,,
39,11.74,84.58,61.1,1,1,1,0.613,MEDIUM,Person ahead
40,11.74,84.52,60.6,2,0,0,,,
41,11.8,84.14,57.6,1,0,0,,,
42,11.64,85.28,63.2,1,0,0,,,
43,11.79,84.22,57.6,1,0,0,,,
44,10.28,96.69,63.4,1,1,1,0.611,MEDIUM,Person on your right
45,11.82,84.01,58.8,1,0,0,,,
46,11.79,84.23,57.6,1,0,0,,,
47,11.49,86.48,58.8,1,0,0,,,
48,11.78,84.32,55.2,1,0,0,,,
49,11.85,83.78,56.3,1,0,0,,,
50,11.75,84.52,62.2,1,0,0,,,
51,11.98,82.93,61.1,1,0,0,,,
52,11.87,83.62,58.1,1,0,0,,,
53,11.92,83.33,60.0,1,0,0,,,
54,11.85,83.8,61.1,1,0,0,,,
55,11.79,84.21,60.6,1,1,0,,,
56,11.52,86.2,61.1,1,0,0,,,
57,11.89,83.54,57.6,0,0,0,,,
58,11.81,84.04,59.4,0,0,0,,,
59,11.64,85.2,62.2,0,0,0,,,
60,11.83,83.89,56.3,0,0,0,,,
61,11.93,83.26,58.1,0,0,0,,,
62,11.93,83.17,54.8,0,0,0,,,
63,11.75,84.5,56.3,0,0,0,,,
64,11.78,84.25,62.9,0,0,0,,,
65,11.87,83.62,58.8,0,0,0,,,
66,11.8,84.11,54.5,1,0,0,,,
67,11.78,84.32,57.6,0,0,0,,,
68,11.77,84.36,59.4,1,1,1,0.513,MEDIUM,Person on your right
69,11.76,84.43,61.1,1,0,0,,,
70,11.71,84.8,54.8,0,0,0,,,
71,11.73,84.66,62.2,1,1,0,,,
72,11.75,84.5,63.9,1,0,0,,,
73,11.81,84.12,56.3,2,0,0,,,
74,11.76,84.41,58.8,1,1,1,0.564,MEDIUM,Person on your right
75,11.83,83.97,62.2,2,0,0,,,
76,11.84,83.79,61.8,2,0,0,,,
77,11.72,84.71,57.6,2,0,0,,,
78,11.62,85.48,60.0,2,0,0,,,
79,11.69,84.97,56.2,2,0,0,,,
80,11.71,84.81,61.1,2,0,0,,,
81,11.71,84.76,59.4,2,0,0,,,
82,11.5,86.37,58.8,2,0,0,,,
83,11.73,84.68,57.6,2,0,0,,,
84,11.58,85.72,61.1,2,0,0,,,
85,11.74,84.61,57.6,2,0,0,,,
86,11.62,85.45,61.1,2,0,0,,,
87,11.73,84.65,58.8,2,0,0,,,
88,11.68,85.0,61.1,2,0,0,,,
89,11.64,85.31,60.6,1,0,0,,,
90,11.62,85.43,62.2,2,0,0,,,
91,11.65,85.22,54.8,2,0,0,,,
92,11.66,85.14,62.2,2,0,0,,,
93,11.72,84.7,57.6,2,0,0,,,
94,11.57,85.78,62.2,2,0,0,,,
95,11.71,84.78,60.6,2,0,0,,,
96,11.67,85.06,62.2,1,0,0,,,
97,11.73,84.64,57.6,0,0,0,,,
98,11.7,84.82,60.0,0,0,0,,,
99,11.74,84.57,60.0,1,0,0,,,
100,11.73,84.65,60.0,1,0,0,,,
101,11.69,84.95,63.9,1,0,0,,,
102,11.1,89.49,64.9,1,0,0,,,
103,11.64,85.34,60.0,2,0,0,,,
104,11.78,84.28,60.6,1,0,0,,,
105,11.64,85.34,58.8,1,0,0,,,
106,11.58,85.75,61.1,1,0,0,,,
107,11.74,84.61,58.8,1,0,0,,,
108,11.75,84.45,56.2,2,0,0,,,
109,11.75,84.5,58.1,1,0,0,,,
110,11.74,84.59,60.0,1,0,0,,,
111,11.79,84.22,58.8,1,0,0,,,
112,11.76,84.44,57.6,1,0,0,,,
113,11.73,84.69,61.1,1,0,0,,,
114,11.56,85.91,59.4,1,0,0,,,
115,11.71,84.83,62.2,1,0,0,,,
116,11.74,84.55,58.8,1,0,0,,,
117,11.66,85.21,59.4,1,0,0,,,
118,11.71,84.78,58.8,1,0,0,,,
119,11.75,84.54,56.3,1,0,0,,,
120,11.66,85.17,62.2,1,0,0,,,
121,11.72,84.71,57.6,1,0,0,,,
122,11.73,84.66,58.8,1,0,0,,,
123,11.79,84.23,63.9,1,0,0,,,
124,11.7,84.85,58.8,1,0,0,,,
125,11.7,84.86,58.8,1,0,0,,,
126,11.65,85.2,58.8,1,0,0,,,
127,11.85,83.81,60.0,1,0,0,,,
128,11.64,85.29,61.1,1,0,0,,,
129,11.56,85.9,58.1,1,0,0,,,
130,11.64,85.27,61.1,1,0,0,,,
131,11.61,85.51,58.8,1,0,0,,,
132,11.73,84.66,56.3,1,0,0,,,
133,11.6,85.65,60.0,1,1,1,0.562,MEDIUM,Person on your right
134,11.7,84.83,57.6,1,0,0,,,
135,11.64,85.31,58.8,1,0,0,,,
136,11.71,84.74,56.7,1,0,0,,,
137,11.67,85.13,56.2,1,0,0,,,
138,11.75,84.46,62.2,1,0,0,,,
139,11.65,85.21,56.3,1,0,0,,,
140,11.44,86.78,62.2,1,0,0,,,
141,11.69,84.94,57.6,1,0,0,,,
142,11.72,84.72,57.6,1,0,0,,,
143,11.7,84.86,57.6,1,0,0,,,
144,11.64,85.29,62.2,1,0,0,,,
145,11.58,85.77,59.4,1,0,0,,,
146,11.63,85.32,57.6,1,0,0,,,
147,11.62,85.49,57.6,1,0,0,,,
148,11.66,85.14,57.6,1,0,0,,,
149,11.64,85.3,62.2,1,0,0,,,
150,11.56,85.88,58.8,1,0,0,,,
151,11.67,85.12,62.2,1,0,0,,,
152,11.49,86.38,57.6,1,0,0,,,
153,11.82,83.98,60.6,1,0,0,,,
154,11.68,85.01,54.8,1,0,0,,,
155,11.65,85.24,63.2,1,0,0,,,
156,11.67,85.1,57.6,1,0,0,,,
157,11.59,85.68,62.2,2,1,0,,,
158,11.7,84.89,53.3,1,0,0,,,
159,11.68,85.07,63.2,1,0,0,,,
160,11.25,88.3,64.7,1,0,0,,,
161,11.5,86.21,62.2,1,0,0,,,
162,11.73,84.61,60.6,2,0,0,,,
163,11.41,87.04,62.2,2,0,0,,,
164,11.64,85.31,63.2,2,0,0,,,
165,11.72,84.77,58.8,2,0,0,,,
166,11.64,85.33,60.0,2,0,0,,,
167,11.64,85.28,58.8,2,0,0,,,
168,11.6,85.56,61.1,2,1,1,0.624,MEDIUM,Person ahead
169,11.71,84.79,57.6,2,0,0,,,
170,11.57,85.79,60.0,2,0,0,,,
