frame,fps,latency_ms,cpu_percent,raw_messages,context_messages,decision_messages,priority_scores,priority_levels,final_messages
0,0.76,143.54,18.8,1,1,1,0.706,HIGH,Person very close ahead
1,11.8,84.1,62.2,1,0,0,,,
2,11.82,84.0,56.3,2,1,0,,,
3,11.79,84.21,58.8,1,0,0,,,
4,11.87,83.6,50.0,1,0,0,,,
5,11.9,83.4,56.3,2,1,0,,,
6,11.91,83.34,61.8,2,0,0,,,
7,11.75,84.46,60.0,2,0,0,,,
8,11.67,85.04,57.6,1,0,0,,,
9,10.22,97.21,58.3,1,0,0,,,
10,11.86,83.69,58.8,1,0,0,,,
11,11.89,83.44,56.3,2,0,0,,,
12,11.78,84.21,59.4,2,0,0,,,
13,11.9,83.37,53.3,2,0,0,,,
14,11.73,84.61,58.8,2,0,0,,,
15,11.83,83.89,59.4,1,0,0,,,
16,11.94,83.1,57.6,1,0,0,,,
17,11.9,83.37,58.8,1,0,0,,,
18,11.84,83.81,59.4,1,0,0,,,
19,11.6,85.55,56.3,1,0,0,,,
20,11.95,83.05,60.0,1,0,0,,,
21,11.68,84.99,61.8,1,0,0,,,
22,11.88,83.55,57.6,1,0,0,,,
23,11.93,83.21,58.8,1,1,1,0.724,HIGH,Person very close ahead
24,11.84,83.83,59.4,1,0,0,,,
25,11.94,83.12,56.3,2,0,0,,,
26,11.99,82.77,57.6,1,0,0,,,
27,12.05,82.37,59.4,1,0,0,,,
28,12.04,82.4,54.8,2,0,0,,,
29,12.01,82.64,59.4,2,1,1,0.703,HIGH,Person very close ahead
30,11.99,82.68,60.0,2,0,0,,,
31,11.74,84.57,62.2,2,0,0,,,
32,11.93,83.2,56.7,2,0,0,,,
33,11.95,83.07,54.8,2,0,0,,,
34,11.93,83.2,56.7,2,1,1,0.641,MEDIUM,Person on your left
35,11.93,83.22,54.8,2,0,0,,,
36,11.99,82.76,56.7,2,0,0,,,
37,12.05,82.38,56.3,2,0,0,,,
38,11.89,83.45,62.9,2,0,0,,,
39,12.07,82.2,58.8,2,0,0,,,
40,11.82,83.93,61.1,2,0,0,,,
41,12.0,82.7,63.9,2,0,0,,,
