frame,fps,latency_ms,cpu_percent,raw_messages,context_messages,decision_messages,priority_scores,priority_levels,final_messages
0,0.58,488.27,7.9,1,1,1,0.687,MEDIUM,bed ahead
1,10.94,90.7,59.0,1,1,1,0.455,MEDIUM,chair on your right
2,11.62,85.42,57.6,2,1,1,0.821,HIGH,Person very close ahead
3,11.58,85.78,58.8,2,1,1,0.861,HIGH,Person very close on your left
4,11.73,84.61,58.8,2,0,0,,,
5,11.62,85.48,58.8,3,2,1,0.908,HIGH,Person very close ahead
6,10.88,91.34,55.9,2,0,0,,,
7,11.69,84.87,58.8,2,1,0,,,
8,11.58,85.75,58.8,2,0,0,,,
9,11.63,85.44,62.2,1,0,0,,,
10,11.77,84.42,57.6,1,0,0,,,
11,11.4,87.14,61.1,1,0,0,,,
12,11.7,84.86,58.8,1,0,0,,,
13,11.55,85.97,58.8,1,0,0,,,
14,11.31,87.79,62.2,2,1,0,,,
15,11.69,84.95,61.1,2,0,0,,,
16,11.69,84.94,58.8,3,1,1,0.592,MEDIUM,surfboard ahead
17,11.65,85.25,62.2,2,0,0,,,
18,11.68,85.03,56.2,2,1,1,0.88,HIGH,Person very close on your left
19,11.68,85.03,63.2,2,0,0,,,
20,11.6,85.6,58.8,3,1,1,0.522,MEDIUM,suitcase ahead
21,11.73,84.68,62.2,2,0,0,,,
22,11.47,86.51,60.0,2,0,0,,,
23,11.64,85.32,57.6,3,0,0,,,
24,11.64,85.27,60.0,2,0,0,,,
25,11.64,85.24,57.6,2,0,0,,,
26,11.55,85.98,60.0,2,0,0,,,
27,11.63,85.37,56.3,2,0,0,,,
28,11.61,85.51,62.2,3,2,1,0.88,HIGH,Person very close ahead
29,11.58,85.76,54.8,3,0,0,,,
30,11.68,84.98,57.6,3,0,0,,,
31,11.63,85.39,58.8,3,0,0,,,
32,11.63,85.33,54.8,3,0,0,,,
33,11.65,85.24,58.8,3,0,0,,,
34,11.43,86.83,61.1,3,0,0,,,
35,11.6,85.59,57.6,3,0,0,,,
36,11.62,85.48,61.1,3,1,1,0.877,HIGH,Person very close on your left
37,11.22,88.57,57.1,3,1,1,0.628,MEDIUM,surfboard ahead
38,11.59,85.71,58.8,3,0,0,,,
39,11.69,84.93,54.8,4,1,1,0.478,MEDIUM,surfboard ahead
40,11.64,85.28,58.8,4,0,0,,,
41,11.51,86.3,58.8,4,0,0,,,
42,11.61,85.53,60.0,4,0,0,,,
43,11.71,84.84,57.6,4,0,0,,,
44,11.66,85.13,58.8,4,0,0,,,
45,11.59,85.68,58.8,4,0,0,,,
46,9.67,102.8,56.8,4,0,0,,,
47,11.64,85.35,61.1,4,0,0,,,
48,11.72,84.7,54.8,4,0,0,,,
49,11.68,85.06,62.2,4,0,0,,,
50,11.74,84.54,59.4,4,0,0,,,
51,11.67,85.13,62.2,4,0,0,,,
52,11.53,86.11,56.3,3,0,0,,,
53,11.51,86.33,54.5,3,0,0,,,
54,11.64,85.32,61.1,3,0,0,,,
55,11.48,86.55,57.6,3,0,0,,,
