frame,fps,latency_ms,cpu_percent,raw_messages,context_messages,decision_messages,priority_scores,priority_levels,final_messages
0,0.73,140.17,18.9,1,1,1,0.724,HIGH,Person very close ahead
1,11.81,83.93,58.8,1,0,0,,,
2,11.81,83.99,60.0,1,0,0,,,
3,11.83,83.83,60.6,2,1,0,,,
4,11.76,84.29,61.1,2,0,0,,,
5,11.78,84.18,53.3,2,0,0,,,
6,11.83,83.82,60.6,2,0,0,,,
7,11.84,83.74,63.2,2,0,0,,,
8,11.85,83.65,61.8,2,0,0,,,
9,11.75,84.34,61.1,2,0,0,,,
10,11.38,87.2,61.1,1,0,0,,,
11,11.92,83.23,56.2,2,1,1,0.631,MEDIUM,Person very close on your right
12,11.75,84.41,60.0,2,0,0,,,
13,11.91,83.3,63.9,2,0,0,,,
14,11.87,83.53,61.1,3,1,1,0.651,MEDIUM,Person very close on your left
15,11.84,83.76,60.0,3,0,0,,,
16,11.86,83.64,59.4,3,0,0,,,
17,11.89,83.45,57.6,2,0,0,,,
18,11.89,83.44,58.1,2,0,0,,,
19,11.8,84.07,60.0,2,0,0,,,
20,11.56,85.81,58.8,2,0,0,,,
21,11.87,83.57,53.3,3,2,1,0.747,HIGH,Person very close ahead
22,11.76,84.31,61.8,4,2,1,0.749,HIGH,Person very close on your left
23,11.85,83.68,61.1,3,0,0,,,
24,11.73,84.52,58.8,3,0,0,,,
25,11.87,83.58,58.1,2,0,0,,,
26,11.88,83.44,57.6,3,1,1,0.758,HIGH,Person very close ahead
27,11.93,83.12,56.2,3,1,1,0.749,HIGH,Person very close on your left
28,11.87,83.54,58.1,3,0,0,,,
29,11.91,83.25,58.8,4,2,1,0.753,HIGH,Person very close ahead
30,11.9,83.36,61.8,4,0,0,,,
31,11.91,83.31,58.8,4,0,0,,,
32,11.69,84.83,61.1,5,1,0,,,
33,11.8,84.03,59.4,6,1,0,,,
34,11.81,83.98,62.2,5,0,0,,,
35,11.86,83.64,61.1,5,0,0,,,
36,11.88,83.44,61.8,5,0,0,,,
37,11.87,83.55,60.0,5,0,0,,,
38,11.89,83.42,55.2,5,0,0,,,
39,11.85,83.67,57.6,5,0,0,,,
40,11.84,83.79,58.8,6,0,0,,,
41,11.83,83.88,58.8,6,0,0,,,
42,11.8,84.08,63.9,5,0,0,,,
43,11.94,83.04,58.8,5,0,0,,,
44,11.54,85.97,57.6,5,0,0,,,
45,11.9,83.34,57.6,5,0,0,,,
46,11.87,83.55,62.9,5,0,0,,,
47,11.86,83.62,61.1,5,0,0,,,
48,11.88,83.47,57.6,5,0,0,,,
49,11.86,83.61,59.4,5,0,0,,,
50,11.94,83.03,56.3,5,0,0,,,
51,11.73,84.56,57.6,5,0,0,,,
52,11.23,88.35,62.2,6,0,0,,,
53,11.35,87.39,60.0,6,0,0,,,
54,11.74,84.48,60.0,6,0,0,,,
55,11.73,84.53,54.8,6,0,0,,,
56,11.64,85.19,58.8,6,0,0,,,
57,11.07,89.63,67.6,5,0,0,,,
58,11.75,84.38,58.8,6,0,0,,,
59,11.75,84.47,57.6,5,1,1,0.799,HIGH,Person very close ahead
60,11.75,84.43,60.6,5,0,0,,,
61,11.74,84.53,61.1,6,0,0,,,
62,11.85,83.68,56.2,5,0,0,,,
63,11.68,84.89,58.8,5,0,0,,,
64,11.68,84.96,59.4,5,0,0,,,
65,11.63,85.27,53.3,5,0,0,,,
66,11.69,84.8,57.6,6,0,0,,,
67,11.53,86.02,56.2,5,0,0,,,
68,11.47,86.46,57.6,5,0,0,,,
69,11.5,86.15,61.1,6,0,0,,,
70,11.65,85.08,63.9,6,2,1,0.735,HIGH,Person very close on your right
71,11.7,84.74,56.2,6,0,0,,,
72,11.69,84.85,62.2,6,0,0,,,
73,11.69,84.84,54.8,5,0,0,,,
74,11.69,84.8,60.0,5,0,0,,,
75,11.63,85.22,59.4,6,0,0,,,
76,11.8,84.01,53.3,6,0,0,,,
77,11.7,84.76,61.1,4,0,0,,,
78,11.75,84.35,58.1,3,0,0,,,
79,11.62,85.35,60.0,3,0,0,,,
80,11.78,84.13,57.6,3,0,0,,,
81,11.81,84.01,56.2,3,0,0,,,
82,11.81,84.0,59.4,4,0,0,,,
83,11.81,83.92,61.1,4,1,0,,,
84,11.81,83.94,56.2,4,0,0,,,
85,11.81,83.98,58.1,3,0,0,,,
86,11.81,83.96,58.8,3,0,0,,,
87,11.79,84.12,62.2,2,0,0,,,
88,11.85,83.62,59.4,2,1,0,,,
89,11.76,84.28,56.2,1,0,0,,,
90,11.74,84.41,57.6,1,0,0,,,
91,11.72,84.64,62.9,2,1,1,0.582,MEDIUM,Person very close on your left
92,11.8,84.05,56.2,1,0,0,,,
93,11.84,83.75,60.6,1,0,0,,,
94,11.78,84.17,61.1,1,0,0,,,
95,11.88,83.45,60.0,1,0,0,,,
96,11.78,84.17,61.8,1,0,0,,,
97,11.83,83.82,56.3,1,0,0,,,
98,11.75,84.39,60.0,1,0,0,,,
99,11.82,83.88,64.9,1,0,0,,,
100,11.77,84.22,58.8,1,0,0,,,
101,11.84,83.75,56.3,1,0,0,,,
102,11.58,85.59,63.9,1,0,0,,,
103,11.64,85.11,58.8,1,0,0,,,
104,11.66,85.07,62.2,1,0,0,,,
105,11.76,84.32,58.8,1,1,1,0.741,HIGH,Person very close on your left
106,11.72,84.64,60.6,0,0,0,,,
107,11.76,84.31,57.6,0,0,0,,,
108,11.66,85.06,58.8,1,0,0,,,
109,11.78,84.15,63.9,0,0,0,,,
110,11.0,90.17,58.3,1,0,0,,,
111,11.7,84.77,59.4,1,0,0,,,
112,11.76,84.32,57.6,1,0,0,,,
113,11.62,85.31,62.2,1,0,0,,,
114,11.57,85.73,60.0,1,0,0,,,
115,11.0,90.21,67.6,1,0,0,,,
116,11.69,84.79,60.0,1,0,0,,,
117,11.74,84.44,59.4,1,0,0,,,
118,11.76,84.31,54.8,1,0,0,,,
119,11.75,84.4,61.1,1,0,0,,,
120,11.77,84.25,59.4,1,0,0,,,
121,11.75,84.35,58.8,1,0,0,,,
122,11.65,85.08,61.1,1,0,0,,,
123,11.73,84.51,59.4,1,0,0,,,
124,11.69,84.78,60.0,1,0,0,,,
125,11.7,84.72,60.0,1,0,0,,,
126,11.48,86.4,62.2,2,1,0,,,
127,11.6,85.49,60.6,2,0,0,,,
128,11.66,85.0,60.0,1,0,0,,,
129,11.7,84.74,57.6,2,0,0,,,
130,11.72,84.62,64.9,2,0,0,,,
131,11.73,84.55,56.2,2,0,0,,,
132,11.75,84.41,63.2,2,0,0,,,
133,11.68,84.9,61.8,2,0,0,,,
134,11.71,84.64,58.8,3,1,0,,,
135,11.76,84.32,62.2,3,0,0,,,
136,11.69,84.78,61.8,3,0,0,,,
137,11.52,86.04,62.2,3,0,0,,,
138,11.59,85.53,57.6,3,0,0,,,
139,11.83,83.83,58.8,3,0,0,,,
140,11.81,83.96,57.6,3,0,0,,,
141,11.79,84.08,60.6,3,0,0,,,
142,11.7,84.74,58.8,3,0,0,,,
143,11.85,83.69,60.0,3,0,0,,,
144,11.76,84.27,60.6,3,0,0,,,
145,11.68,84.93,54.5,3,0,0,,,
146,11.77,84.24,58.8,3,0,0,,,
147,11.79,84.06,58.1,3,0,0,,,
148,11.7,84.71,54.8,3,0,0,,,
149,11.62,85.34,58.8,3,0,0,,,
150,11.77,84.22,57.6,3,0,0,,,
151,11.75,84.4,64.9,2,0,0,,,
152,11.77,84.2,57.6,2,0,0,,,
153,11.78,84.19,56.3,2,0,0,,,
154,11.61,85.37,61.1,3,0,0,,,
155,11.66,85.02,58.1,3,0,0,,,
