frame,fps,latency_ms,cpu_percent,raw_messages,context_messages,decision_messages,audio_accepted,audio_spoken_total,audio_dropped_total,audio_repeated_blocked_total,final_messages
0,0.76,140.37,18.4,1,1,1,1,0,0,0,Person very close ahead
1,11.78,84.17,54.8,1,0,0,0,0,0,0,
2,11.86,83.58,63.9,1,0,0,0,0,0,0,
3,11.82,83.91,58.8,1,0,0,0,0,0,0,
4,11.74,84.5,60.0,1,0,0,0,0,0,0,
5,11.92,83.22,61.1,1,0,0,0,0,0,0,
6,11.83,83.86,61.1,1,0,0,0,0,0,0,
7,11.82,83.92,63.9,1,0,0,0,0,0,0,
8,11.83,83.8,58.8,1,0,0,0,0,0,0,
9,11.94,83.03,59.4,1,0,0,0,0,0,0,
10,11.84,83.72,60.0,1,0,0,0,0,0,0,
11,11.84,83.78,56.3,1,0,0,0,0,0,0,
12,11.9,83.38,58.8,1,0,0,0,0,0,0,
13,11.79,84.16,58.8,1,0,0,0,0,0,0,
14,11.85,83.69,63.2,1,0,0,0,0,0,0,
15,11.84,83.79,58.1,1,0,0,0,0,0,0,
16,11.75,84.42,60.0,1,0,0,0,0,0,0,
17,11.84,83.77,57.6,1,0,0,0,0,0,0,
18,11.76,84.3,62.2,1,0,0,0,1,0,0,
19,11.88,83.5,60.6,1,0,0,0,1,0,0,
20,10.96,90.5,64.9,1,0,0,0,1,0,0,
21,11.82,83.91,58.8,1,0,0,0,1,0,0,
22,11.83,83.79,60.0,1,0,0,0,1,0,0,
23,11.78,84.2,58.1,1,0,0,0,1,0,0,
24,11.85,83.71,64.1,1,0,0,0,1,0,0,
25,11.82,83.95,61.1,1,0,0,0,1,0,0,
26,11.86,83.59,60.0,1,0,0,0,1,0,0,
27,11.8,84.06,58.8,1,0,0,0,1,0,0,
28,11.83,83.84,58.1,1,0,0,0,1,0,0,
29,11.67,84.99,62.2,1,0,0,0,1,0,0,
30,11.64,85.19,57.6,1,0,0,0,1,0,0,
31,11.64,85.27,63.2,1,0,0,0,1,0,0,
32,11.39,87.06,62.2,1,0,0,0,1,0,0,
33,11.71,84.67,59.4,1,0,0,0,1,0,0,
34,11.57,85.73,60.5,1,0,0,0,1,0,0,
35,11.7,84.75,58.1,1,0,0,0,1,0,0,
36,11.59,85.57,62.2,1,0,0,0,1,0,0,
37,11.68,84.92,58.8,1,0,0,0,1,0,0,
38,11.57,85.7,62.2,1,0,0,0,1,0,0,
39,11.49,86.32,54.5,1,0,0,0,1,0,0,
40,11.62,85.04,58.8,1,0,0,0,1,0,0,
41,11.64,85.23,62.9,1,0,0,0,1,0,0,
42,11.69,84.81,57.6,1,0,0,0,1,0,0,
43,11.52,86.1,62.2,1,0,0,0,1,0,0,
44,11.66,85.05,60.0,1,0,0,0,1,0,0,
45,11.7,84.72,60.0,1,0,0,0,1,0,0,
46,11.76,84.36,56.3,1,0,0,0,1,0,0,
47,11.56,85.86,64.1,1,0,0,0,1,0,0,
48,11.6,85.47,58.8,1,0,0,0,1,0,0,
49,11.71,84.65,61.1,1,0,0,0,1,0,0,
50,11.71,84.65,56.3,1,0,0,0,1,0,0,
51,11.53,86.05,62.2,1,0,0,0,1,0,0,
52,11.57,85.71,62.2,1,0,0,0,1,0,0,
53,11.74,84.46,59.4,1,0,0,0,1,0,0,
54,11.68,84.93,61.1,1,0,0,0,1,0,0,
55,11.75,84.37,60.0,1,0,0,0,1,0,0,
56,11.7,84.78,54.8,1,0,0,0,1,0,0,
57,11.67,85.03,61.1,1,0,0,0,1,0,0,
58,11.75,84.36,55.2,1,0,0,0,1,0,0,
59,11.62,85.24,62.2,1,1,1,1,1,0,0,Person very close ahead
60,11.73,84.52,57.6,1,0,0,0,1,0,0,
61,11.62,85.41,63.2,1,0,0,0,1,0,0,
62,11.82,83.87,56.3,1,0,0,0,1,0,0,
63,11.61,85.42,58.8,1,0,0,0,1,0,0,
64,11.66,85.04,58.8,1,0,0,0,1,0,0,
65,11.79,84.14,60.6,1,0,0,0,1,0,0,
66,11.67,84.98,60.0,1,0,0,0,1,0,0,
67,11.82,83.87,57.6,1,0,0,0,1,0,0,
68,11.77,84.27,56.3,1,0,0,0,1,0,0,
69,11.63,85.27,61.1,1,0,0,0,1,0,0,
70,11.68,84.9,59.4,1,0,0,0,1,0,0,
71,11.67,85.02,60.0,1,0,0,0,1,0,0,
72,11.71,84.68,58.8,1,0,0,0,1,0,0,
73,11.69,84.84,60.0,1,0,0,0,1,0,0,
74,11.49,86.25,61.1,1,0,0,0,1,0,0,
75,11.71,84.7,61.1,1,0,0,0,1,0,0,
76,11.8,84.05,54.8,1,0,0,0,1,0,0,
77,11.57,85.71,62.2,1,0,0,0,2,0,0,
78,11.14,89.0,66.7,1,0,0,0,2,0,0,
79,11.57,85.65,63.2,1,0,0,0,2,0,0,
80,11.71,84.69,60.6,1,0,0,0,2,0,0,
81,11.6,85.47,61.1,1,0,0,0,2,0,0,
82,11.78,84.22,56.3,1,0,0,0,2,0,0,
83,11.61,85.44,61.1,1,0,0,0,2,0,0,
84,11.68,84.89,57.6,1,0,0,0,2,0,0,
85,11.67,84.99,61.1,1,0,0,0,2,0,0,
86,11.45,86.59,60.0,2,1,0,0,2,0,0,
87,11.72,84.6,58.8,2,0,0,0,2,0,0,
88,11.71,84.7,62.9,2,1,0,0,2,0,0,
89,11.7,84.8,57.6,3,1,0,0,2,0,0,
90,11.45,86.63,57.6,2,0,0,0,2,0,0,
91,11.68,84.9,60.0,3,0,0,0,2,0,0,
92,11.63,85.31,63.2,2,0,0,0,2,0,0,
93,11.66,85.04,54.8,2,0,0,0,2,0,0,
94,11.6,85.49,62.2,2,0,0,0,2,0,0,
95,11.73,84.58,56.3,3,0,0,0,2,0,0,
96,11.66,85.05,57.6,2,0,0,0,2,0,0,
97,11.66,85.09,58.1,3,0,0,0,2,0,0,
98,11.53,86.03,61.1,3,0,0,0,2,0,0,
99,11.63,85.32,60.0,3,0,0,0,2,0,0,
100,11.72,84.58,57.6,4,1,0,0,2,0,0,
101,11.67,85.03,57.6,3,0,0,0,2,0,0,
102,11.73,84.51,56.3,3,0,0,0,2,0,0,
103,11.7,84.74,56.3,3,1,0,0,2,0,0,
104,11.65,85.15,61.1,2,0,0,0,2,0,0,
105,11.68,84.93,56.3,3,0,0,0,2,0,0,
106,11.65,85.1,62.2,3,0,0,0,2,0,0,
107,11.65,85.18,59.4,3,0,0,0,2,0,0,
108,11.61,85.42,61.1,2,0,0,0,2,0,0,
109,11.4,87.0,54.5,2,1,0,0,2,0,0,
110,11.74,84.45,57.6,1,0,0,0,2,0,0,
111,11.62,85.37,61.1,1,0,0,0,2,0,0,
112,11.7,84.74,59.4,1,0,0,0,2,0,0,
113,11.63,85.28,60.0,1,0,0,0,2,0,0,
114,11.68,84.86,57.6,1,0,0,0,2,0,0,
115,11.6,85.49,61.1,1,0,0,0,2,0,0,
116,11.76,84.33,56.3,1,0,0,0,2,0,0,
117,11.66,85.09,61.1,1,0,0,0,2,0,0,
118,11.73,84.54,57.6,1,1,1,1,2,0,0,Person very close ahead
119,11.79,84.13,58.8,1,0,0,0,2,0,0,
120,11.56,85.77,60.6,1,0,0,0,2,0,0,
121,11.5,86.23,55.9,1,0,0,0,2,0,0,
122,11.68,84.86,59.4,1,0,0,0,2,0,0,
123,11.7,84.72,60.0,1,0,0,0,2,0,0,
124,11.71,84.62,57.6,1,0,0,0,2,0,0,
125,11.67,85.03,57.6,1,0,0,0,2,0,0,
126,11.79,84.11,58.8,1,0,0,0,2,0,0,
127,11.85,83.69,58.1,1,0,0,0,2,0,0,
128,11.72,84.64,54.8,1,0,0,0,2,0,0,
129,11.62,85.32,60.0,1,0,0,0,2,0,0,
130,11.73,84.56,56.3,1,0,0,0,2,0,0,
131,11.57,85.77,62.2,1,0,0,0,2,0,0,
132,11.46,86.54,54.8,1,0,0,0,2,0,0,
133,11.74,84.48,56.3,1,0,0,0,2,0,0,
134,11.62,85.31,63.2,1,0,0,0,2,0,0,
