frame,fps,latency_ms,cpu_percent,raw_messages,context_messages,decision_messages,audio_accepted,audio_spoken_total,audio_dropped_total,audio_repeated_blocked_total,final_messages
0,0.76,141.47,18.5,1,1,1,1,0,0,0,Person very close ahead
1,9.06,109.66,73.8,1,0,0,0,0,0,0,
2,10.74,92.41,66.7,1,0,0,0,0,0,0,
3,11.53,86.17,60.0,1,0,0,0,0,0,0,
4,11.55,85.95,62.2,1,0,0,0,0,0,0,
5,11.6,85.68,58.8,1,0,0,0,0,0,0,
6,11.47,86.55,58.8,3,2,0,0,0,0,0,
7,10.82,91.84,65.7,2,0,0,0,0,0,0,
8,11.49,86.4,57.6,2,0,0,0,0,0,0,
9,11.69,84.94,62.9,1,0,0,0,0,0,0,
10,11.54,86.03,54.8,1,0,0,0,0,0,0,
11,11.56,85.91,57.6,2,0,0,0,0,0,0,
12,11.67,85.13,62.2,1,0,0,0,0,0,0,
13,11.45,86.62,56.2,1,0,0,0,0,0,0,
14,11.56,85.88,57.6,1,0,0,0,0,0,0,
15,11.59,85.73,62.2,1,0,0,0,0,0,0,
16,11.67,85.07,58.8,1,0,0,0,0,0,0,
17,11.55,86.01,60.0,1,0,0,0,0,0,0,
18,11.64,85.3,62.9,1,0,0,0,0,0,0,
19,11.24,88.41,63.2,1,0,0,0,0,0,0,
20,11.6,85.58,59.4,1,0,0,0,0,0,0,
21,11.65,85.25,57.6,1,0,0,0,0,0,0,
22,11.65,85.24,60.0,1,0,0,0,0,0,0,
23,11.58,85.8,58.8,1,0,0,0,0,0,0,
24,11.53,86.07,62.2,1,0,0,0,0,0,0,
25,11.52,86.28,58.8,1,0,0,0,0,0,0,
26,10.39,95.67,62.2,1,0,0,0,0,0,0,
27,9.68,102.58,65.0,1,0,0,0,0,0,0,
28,11.69,84.95,57.6,1,0,0,0,0,0,0,
29,11.68,85.03,58.8,1,0,0,0,1,0,0,
30,11.74,84.55,60.0,1,0,0,0,1,0,0,
31,11.58,85.8,57.6,1,0,0,0,1,0,0,
32,11.73,84.66,59.4,1,0,0,0,1,0,0,
33,11.77,84.42,60.0,1,0,0,0,1,0,0,
34,11.83,83.89,62.2,1,0,0,0,1,0,0,
35,11.73,84.72,61.1,1,0,0,0,1,0,0,
36,11.78,84.27,55.2,1,0,0,0,1,0,0,
37,11.73,84.66,58.8,1,0,0,0,1,0,0,
38,11.61,85.54,60.0,1,0,0,0,1,0,0,
39,11.86,83.75,59.4,1,0,0,0,1,0,0,
40,11.74,84.52,61.1,1,0,0,0,1,0,0,
41,11.7,84.93,56.3,1,0,0,0,1,0,0,
42,11.78,84.28,57.6,1,0,0,0,1,0,0,
43,11.64,85.37,63.9,1,0,0,0,1,0,0,
44,11.76,84.41,54.8,1,0,0,0,1,0,0,
45,11.8,84.18,57.6,1,0,0,0,1,0,0,
46,11.79,84.24,62.9,1,0,0,0,1,0,0,
47,11.7,84.91,58.8,1,0,0,0,1,0,0,
48,11.74,84.55,57.6,1,0,0,0,1,0,0,
49,11.78,84.32,58.8,1,0,0,0,1,0,0,
50,11.76,84.39,60.0,1,0,0,0,1,0,0,
51,11.77,84.42,59.4,1,0,0,0,1,0,0,
52,11.62,85.47,62.2,1,0,0,0,1,0,0,
53,11.56,85.93,56.3,1,0,0,0,1,0,0,
54,11.49,86.42,60.0,1,0,0,0,1,0,0,
55,11.5,86.38,60.0,1,0,0,0,1,0,0,
56,11.67,85.06,62.2,1,0,0,0,1,0,0,
57,11.63,85.37,60.0,1,0,0,0,1,0,0,
58,11.64,85.31,62.2,1,1,1,1,1,0,0,Person very close ahead
59,7.55,131.74,66.0,1,0,0,0,1,0,0,
60,11.51,86.33,57.6,1,0,0,0,1,0,0,
61,11.47,86.63,56.3,1,0,0,0,1,0,0,
62,11.4,87.11,61.1,1,0,0,0,1,0,0,
63,11.45,86.8,56.3,1,0,0,0,1,0,0,
64,9.77,101.73,59.0,1,0,0,0,1,0,0,
65,11.17,88.94,58.8,1,0,0,0,1,0,0,
66,11.48,86.55,60.0,1,0,0,0,1,0,0,
67,11.56,85.88,58.8,1,0,0,0,1,0,0,
68,11.58,85.74,61.1,1,0,0,0,1,0,0,
69,11.58,85.84,60.6,1,0,0,0,1,0,0,
70,11.38,87.3,60.0,1,0,0,0,1,0,0,
71,11.62,85.47,58.8,1,0,0,0,1,0,0,
72,11.58,85.74,65.8,1,0,0,0,1,0,0,
73,11.59,85.75,58.8,1,0,0,0,1,0,0,
74,11.59,85.68,56.3,1,0,0,0,1,0,0,
75,11.61,85.56,61.8,1,0,0,0,1,0,0,
76,11.42,86.98,60.6,1,0,0,0,1,0,0,
77,11.53,86.15,57.6,1,0,0,0,1,0,0,
78,11.62,85.4,57.6,1,0,0,0,1,0,0,
79,11.64,85.31,60.6,1,0,0,0,1,0,0,
80,11.62,85.48,58.8,1,0,0,0,1,0,0,
81,11.51,86.31,64.9,1,0,0,0,1,0,0,
82,11.59,85.65,54.8,1,0,0,0,1,0,0,
83,8.76,113.65,63.4,1,0,0,0,1,0,0,
84,10.85,91.51,57.1,1,0,0,0,1,0,0,
85,11.18,88.87,58.3,1,0,0,0,1,0,0,
86,11.16,88.95,57.1,1,0,0,0,2,0,0,
87,11.13,89.25,58.3,1,0,0,0,2,0,0,
88,10.94,90.82,57.9,1,0,0,0,2,0,0,
89,11.19,88.8,58.3,1,0,0,0,2,0,0,
90,11.09,89.39,59.5,1,0,0,0,2,0,0,
91,11.15,89.09,55.9,1,0,0,0,2,0,0,
92,11.15,89.12,57.1,1,0,0,0,2,0,0,
93,11.15,89.12,60.5,1,0,0,0,2,0,0,
94,11.1,89.49,60.5,2,1,0,0,2,0,0,
95,11.21,88.52,54.5,1,0,0,0,2,0,0,
96,11.22,88.45,59.5,1,0,0,0,2,0,0,
97,11.24,88.39,61.1,1,0,0,0,2,0,0,
98,11.18,88.82,58.3,1,0,0,0,2,0,0,
