frame,fps,latency_ms,cpu_percent,raw_messages,context_messages,decision_messages,audio_accepted,audio_spoken_total,audio_dropped_total,audio_repeated_blocked_total,final_messages
0,0.75,141.52,18.7,1,1,1,1,0,0,0,Person very close ahead
1,7.56,131.54,69.2,1,0,0,0,0,0,0,
2,11.28,88.02,62.2,1,0,0,0,0,0,0,
3,11.51,86.3,63.2,1,0,0,0,0,0,0,
4,11.51,86.31,56.3,1,0,0,0,0,0,0,
5,11.52,86.27,60.0,1,0,0,0,0,0,0,
6,11.48,86.49,56.3,1,0,0,0,0,0,0,
7,11.57,85.88,64.9,2,1,0,0,0,0,0,
8,11.56,85.94,56.3,2,0,0,0,0,0,0,
9,11.22,88.56,64.1,2,1,0,0,0,0,0,
10,11.59,85.67,56.3,1,0,0,0,0,0,0,
11,11.58,85.77,58.8,1,0,0,0,0,0,0,
12,11.69,84.96,61.1,1,0,0,0,0,0,0,
13,11.42,86.98,61.8,1,0,0,0,0,0,0,
14,11.63,85.35,59.4,1,0,0,0,0,0,0,
15,11.64,85.34,63.2,1,0,0,0,0,0,0,
16,11.53,86.09,56.3,1,0,0,0,0,0,0,
17,11.67,85.1,62.2,1,1,1,1,0,0,0,Person very close on your right
18,11.53,86.16,60.6,1,0,0,0,0,0,0,
19,11.57,85.86,57.6,1,0,0,0,0,0,0,
20,11.58,85.72,61.1,2,1,1,1,0,0,0,Person very close on your right
21,11.63,85.39,57.6,1,0,0,0,0,0,0,
22,11.63,85.41,60.6,1,0,0,0,0,0,0,
23,11.64,85.37,61.1,1,0,0,0,0,0,0,
24,11.41,87.02,58.8,1,0,0,0,0,0,0,
25,11.54,86.09,57.6,1,0,0,0,0,0,0,
26,7.92,125.71,67.9,1,0,0,0,0,0,0,
27,11.8,84.16,57.6,1,0,0,0,0,0,0,
28,7.88,126.35,67.3,1,0,0,0,1,0,0,
29,10.44,95.01,63.9,1,0,0,0,1,0,0,
30,11.53,86.13,57.6,1,0,0,0,1,0,0,
31,11.65,85.27,57.6,1,0,0,0,1,0,0,
32,11.61,85.52,60.0,1,0,0,0,1,0,0,
33,11.61,85.56,59.4,1,0,0,0,1,0,0,
34,11.63,85.36,61.1,1,0,0,0,1,0,0,
35,11.51,86.34,56.3,1,0,0,0,1,0,0,
